"","x"
"ACTG1P4",0
"OR7E8P",0
"GSTO1",37.3297
"CFL1P7",0
"RNU6-68P",0
"NECTIN1",3.5528
"ANXA10",0.1502
"RHOT1P3",0.0913
"PLEKHB1",0.19
"NLRP9P1",0
"SLC25A35",0.6129
"LENG1",5.4308
"RNA5SP341",0
"RN7SL818P",0
"CDC42EP5",9.006
"MAL2-AS1",0.02
"ALOX15",0.0266
"PDHB",7.7487
"PKD1L1",0.0697
"LINC00994",0.0142
"TRBV12-3",0
"ATP6V1FNB",0.3663
"SBDSP1",6.8077
"PRKN",0.2654
"GAPDH",819.1767
"TAF4B",1.0647
"CHPF2",11.6111
"RPL5P28",0.3926
"CDH17",0.0077
"TRAJ10",0.4724
"HMX1",0.0423
"TALDO1",35.8056
"SVOPL",0.0048
"STX8P1",0.7664
"RNU6-172P",0
"ARID4A",1.6698
"ABCC4",2.2619
"RWDD2A",1.4212
"EXOSC9",7.6687
"RNU4-46P",0
"NOSIP",10.2339
"ABHD17AP7",0
"NEUROG2-AS1",0
"SHPRH",0.1903
"SF3A2",27.0005
"MTATP6P4",0
"RPS3AP12",0.2409
"CLEC11A",311.8699
"NOVA1",0.0843
"RPSAP74",0
"GRHL3",1.3658
"MIR34B",0
"MEP1B",0
"RN7SKP226",0.1008
"RNU6-978P",0
"POPDC2",1.5456
"OR7E140P",0
"RFC5",4.8665
"IGLV2-11",0.0756
"ANKRD26P2",0
"ITGA2",1.0167
"FAAP24",2.5512
"NDUFB4P4",0.8709
"DPH7",3.4927
"RGS14",2.1577
"MFF",4.5569
"SMARCA1",10.3661
"RPL7P37",0.3277
"HSDL2",6.1252
"WASF1",4.3772
"B3GNT9",6.5708
"RNU6-577P",0
"YIPF7",0
"PPP1R1A",0.038
"RNA5SP519",0
"FRS3",1.9569
"NPTX2",11.5175
"PRR23B",0
"CDC42EP3",6.5601
"MTCYBP33",0
"RBX1",21.5496
"PNLIPRP2",0
"TP53TG3C",0
"APLP2",46.4497
"GRK5-IT1",0.0756
"TRIM6-TRIM34",0
"AGAP3",3.9544
"MIR381HG",0
"ZC2HC1B",0
"H2BW2",0.0321
"MIR339",0
"RNU6-1066P",0
"KCNH3",0.3119
"CRYL1",6.4291
"CYP7B1",2.5304
"GSDMB",0.4301
"KIF13B",2.8485
"ARL5AP1",0
"MIR105-1",0
"GAGE12F",0
"RNU6-171P",0.2825
"RN7SKP289",0
"RNU6-760P",0.935
"LRRTM2",0.1389
"RN7SL790P",0
"SPECC1",2.4471
"SMDT1",8.4356
"RNA5SP294",0
"GRIFIN",0
"ATF7IP",3.0807
"MTATP6P27",0.0487
"CLK3",1.1505
"MIR6776",0
"LUZP2",0
"IGKV1-27",0.2374
"ELL2",6.346
"LINC00701",0.163
"LINC00887",0.0582
"RPE",4.3777
"OR10AH1P",0
"LINC02199",0
"RPL7P56",0.1265
"ZNF706",5.2384
"ACTRT3",0.8896
"MIR3130-2",0
"GOLGA8N",0.0437
"DDX23",17.3727
"CCDC80",19.75
"FAM166A",0.0168
"IGHV3-20",0
"ZHX3",3.9595
"RCBTB2P1",0
"CSH1",0
"KRT222",0
"KATNBL1P5",0
"AHCY",26.2105
"RPS26",93.2947
"PIGO",3.0404
"TSPAN5",4.6793
"C1S",13.8341
"HNRNPA1P29",0
"RN7SKP288",0
"EVX1-AS",0
"ZNF493",0.3262
"RNU6-249P",0
"FCF1P5",0
"DCAF4",3.4831
"RNU6-463P",0
"GNPDA1",10.1206
"LINC01695",0
"RCAN2",2.6469
"BCAP31P1",1.1779
"SMARCB1",34.2045
"CLIC4",49.0304
"MTND5P4",0
"PRAMEF11",0
"HMGB1P23",0
"IFNA11P",0
"YARS2",5.8722
"TRBV11-2",0.1482
"C1GALT1C1L",3.3983
"ERVW-1",0.0049
"SNORD114-6",0
"ACE",1.1637
"LINC00208",0
"ZNF490",0.2949
"ST3GAL1P1",0.0894
"MIR302C",0
"DENND1B",0.3549
"RPL23AP87",0.0134
"RNU7-62P",0
"IGLV2-8",0
"ZIM2",0
"COX6CP13",0
"MIR320C2",0
"USP49",0.5426
"BMS1P10",0.081
"ZNF557",2.763
"SAR1AP3",0.0511
"PP2D1",0.012
"RN7SL318P",0
"TNFRSF14-AS1",0.1281
"ABCC5-AS1",0.4512
"MIR6752",0
"LINC02789",0
"APOOL",2.7286
"LTB4R2",0.1216
"RGS9",0.0578
"LINC01847",0
"SLC16A6",0.2159
"OLA1",9.9568
"TRAF7",10.6274
"OR2T5",0
"XRCC3",3.1815
"ZMIZ2",4.7126
"LINC02172",0.0267
"LINC02074",0
"MTND3P20",0
"HLA-DPA1",57.4609
"LINC02298",1.3613
"RN7SL356P",0
"RNU6-468P",0
"PLA2G4B",0.0408
"BRD4",10.1124
"SPAG9",8.9208
"CD6",0.5531
"TRIM26",10.2224
"RN7SKP268",0
"MIR6128",0
"CTBP2P4",0.4929
"ZNF329",4.2868
"PRSS48",0.0611
"RYKP1",0.1392
"NFIL3",5.0314
"GRXCR2",0
"PDS5B",1.469
"MIR3169",0
"RNU1-36P",0
"TTLL9",0.0663
"RPL35P8",0
"TRAJ19",0
"RN7SL186P",0
"ARID1A",10.4992
"MSRB1P1",0
"CCBE1",0.1977
"CKLF-CMTM1",0.2314
"RPL7L1",14.816
"ENPP5",0.0213
"NOL10",10.9892
"RPL7AP23",0
"TNK2-AS1",0.0433
"PGAM1P2",0
"ARHGEF17",4.1043
"MIR3923",0
"LINC00028",0
"KLHL15",1.634
"C4B-AS1",0
"LRRC6",0.2829
"DSN1",8.8743
"DENR",19.2248
"HNRNPH3P1",0
"MT1M",14.6346
"ENSAP3",0.1816
"SNX5P1",0.1452
"RNU6-652P",1.4127
"PPP1R26P5",0
"OCA2",0.0367
"FIGNL1",2.3422
"LINC02322",0.0894
"RPL23AP90",0
"ERI3",34.6605
"COLCA1",0.0623
"NRG4",0.0361
"MIR6507",0
"ATP1A1-AS1",0.7503
"SUCLA2P3",0
"DHRS4L1",0.2642
"TPP2",2.5746
"ST8SIA6",0.0115
"AK3P4",0
"UBL5P4",0.3843
"NPM1P38",0
"FGF8",0.0215
"ABHD1",0.1894
"RPL7L1P1",0
"RN7SL4P",12.2978
"AJUBA",2.5889
"SPATS2",4.8354
"ZNF670",0.3487
"C20orf203",0.006
"TTTY1",0
"IGKV1D-32",0
"RPL7P51",0.0404
"TMEM202",0
"UPK1A",0.2213
"GUCA2A",0
"NDUFAB1P1",0
"AQP2",0
"RNU6-1186P",0
"KCNJ6",0.0031
"PAXIP1-AS1",1.0051
"ECE2",1.8826
"ZFP2",0.2289
"ARHGAP19-SLIT1",0
"RNU6-169P",0
"PRR29-AS1",0
"ERGIC1",8.5186
"ZNF160",2.0389
"ARHGEF19-AS1",0
"CLN5",2.0102
"UNKL",0.7705
"KRASP1",0
"TPM3P1",0
"S100G",0
"LINC02061",0
"CLSTN1",46.3352
"ITSN1",2.4911
"OR1K1",0.0636
"BMS1P11",0.1025
"TRAJ52",0
"STS",1.1915
"WNK4",0.1188
"RNU6-582P",0
"FBXO28",2.6661
"CAPN1",9.3062
"MTND1P15",0.063
"MAP3K10",3.2775
"PRPF38A",8.0095
"TLR7",1.4626
"RNU6-656P",0.5651
"USP22",33.2606
"MFSD5",10.3546
"CT45A8",0
"RNU6-174P",0
"TCF23",0.0295
"LMO1",0
"MKRN2",9.5643
"H2AZP2",2.77
"HOXA10",1.8839
"DYNC1LI1",6.2959
"DGCR6",0.293
"LINC00518",0
"CXorf66",0
"IGHVII-1-1",0
"RPL21P120",0.9033
"LINC01522",0
"NIBAN3",0.1277
"NUP205",7.309
"RNF17",0
"B4GALNT3",3.7237
"NSG1",0.125
"YIPF2",24.7332
"HLA-DPA2",0
"INPP5E",2.2091
"IGFL1P1",0.168
"OR10AB1P",0.0645
"HERC4",0.9749
"C5orf60",0
"SLC25A15P4",0.1046
"NR1H3",2.9545
"MAP2",0.1229
"ADAMTSL2",1.7776
"SLITRK6",0.6791
"ZMYND8",4.3138
"MTCO2P15",0
"CNN2P7",0
"TRIM60P16",0
"MRPL35",8.0061
"ALDH1L1-AS1",0
"ADAMTS6",0.2929
"SNORD114-1",0
"PAICSP6",0
"AP2B1",23.7848
"KRT8P3",0.0417
"MIR548S",0
"LINC02018",0.1624
"GALNT18",1.9505
"TLE4",2.2415
"SMYD4",1.9807
"UBE2V1P5",0
"LINC01386",0
"SLC2A5",0.926
"LINC00395",0
"RN7SL68P",0
"CSAG2",0.623
"RNU6-1228P",0
"CTNNA3",0.0326
"RPS27AP16",37.7634
"NFKBIB",10.4329
"RPS26P30",0
"CDK10",1.9143
"TP53TG5",0.1492
"PRDM5",1.0038
"E2F3-IT1",0
"KRT8P31",0
"LINC01910",0.0115
"XKRYP5",0
"SNORD113-2",0
"SEZ6",0.0059
"GAPDHP58",0.0902
"SNORD63B",0.8638
"TRDJ1",0
"RN7SKP231",0
"JAKMIP2-AS1",0.0144
"ZNF114P1",0
"KDM4D",0.9644
"DPEP1",0.1215
"MEMO1P1",0.9873
"TMEM86A",2.2729
"TEPP",0.0585
"NXPE1",0.007
"ZBTB8A",3.3629
"RAC1P6",0
"KLHL40",0
"PRAMEF25",0
"GAGE12D",0
"EFCAB6-AS1",0
"MIR206",0
"FAM83B",0
"SMARCD2",18.3546
"SEPTIN14P2",0
"ECM1P2",0
"DISP2",0.0972
"SNORD115-45",0
"POFUT1",14.1704
"RN7SL165P",0
"CDV3P1",0.0818
"CCDC107",5.3875
"MYH7",0
"LTB4R",0.7516
"OR52N5",0
"TREX1",0
"LINC00517",0.022
"RFX4",0
"RPL23AP86",0.1118
"CHRNA9",0.0095
"PIGQP1",0
"CCDC32",1.3669
"GUCY2EP",0
"STAG3L4",1.3418
"KATNBL1P2",0
"SNORA59B",0
"CATSPER3",0.2486
"CTAGE9",0
"OR13I1P",0
"IL1R1",17.6279
"VN1R82P",0
"FERP1",0
"FAM92A1P1",1.3248
"CABYRP1",0
"UBTFL3",0
"CDH18",0.0125
"LINC02836",0
"AHSA2P",1.5617
"CDH12P1",0
"PRSS8",0.0402
"CD52",3.9124
"RPS29P31",0.3687
"RNA5SP126",0
"C8orf37",0.6347
"LINC00578",0.0245
"OR6S1",0
"SLA2",0.2522
"PEX1",1.3597
"TSPAN15",24.2679
"OR9G4",0
"RNU6-154P",0
"CXCL5",0.0834
"C22orf46",2.4396
"OR10J4",0
"MAPK8IP1",4.5288
"LINC02479",0
"UBE2E2-AS1",0
"SLC15A2",0.1947
"LY96",12.9495
"IGKV2OR2-2",0
"RNU2-29P",0
"SFI1",0.7375
"QPRT",0.8882
"THAP4",9.2992
"TM4SF1",7.9866
"NPAS2-AS1",0.0644
"USP9YP16",0
"RN7SL851P",0
"TMPRSS6",0.037
"USP17L14P",0
"DCAF4L2",0.0091
"NRARP",2.9207
"FOXP2",0.09
"PLEKHA5",3.3415
"RNU6-1086P",0
"ALG5",10.5964
"PPBPP2",0
"POLR3DP1",0.0257
"TMPOP2",0.0252
"FRG1",11.9547
"RNA5SP35",0
"GCG",0.0253
"TMCO1-AS1",0.0984
"ERICH4",0.0639
"FTH1P8",6.9993
"ANKRD20A21P",0
"PRTFDC1",3.7125
"SPTAN1",11.3982
"F2R",3.621
"CATSPERB",0.0054
"NPVF",0
"CHMP2B",11.174
"MIR4273",0
"OR4K5",0
"LINC01970",0.1002
"PPP2R3B",2.0859
"RPL7AP51",0
"MTND5P33",0
"KCTD21",1.8078
"RBPJP7",0.0209
"NGFR",1.1874
"RANP7",0
"RNA5SP434",0
"GEMIN7",6.9936
"HLA-V",0.0107
"ZNF705A",0.0161
"DGKQ",2.3115
"RNU6-386P",0
"OR10AD1",0.0463
"DLL4",2.2962
"RPL7AP53",0.2287
"NRP1",6.2553
"HSPD1P2",0
"MEMO1P5",0
"PKDREJ",0.0432
"RBFA",2.2256
"ENG",49.4008
"LOXL2",44.1059
"RARRES2P4",0
"CCDC70",0
"EEF1A1P7",1.4314
"SNHG30",7.9656
"METRNL",82.8562
"ST7",2.8071
"REXO1L11P",0
"RNU6-1165P",0
"HLA-S",0
"RN7SKP74",0
"CASP4",3.8457
"AKR1B1P7",0.1911
