"","x"
"GOLGA8S",0
"IGHD3-3",0
"RPS15AP18",0.0422
"SEC62-AS1",0.2866
"ELOCP18",0
"SEC31B",0.4997
"TRAV8-4",0
"RN7SL72P",0.1229
"TMEM39A",7.3794
"BCL6B",8.1641
"FLT4",1.9512
"NANOGP7",0.036
"CPSF1",17.2226
"ENPP4",4.9468
"RNU6-20P",0
"UCK2",11.107
"MIR1185-2",0
"RNU6-842P",0
"ZNF648",0.0045
"PAWRP1",0
"CPNE3",8.589
"USP9YP12",0
"MIR2467",0
"UBE2Q1",35.1026
"C5orf17",0.025
"HMGB1P21",0.1138
"RNU6-106P",0
"RN7SL664P",0.5961
"CEP162",1.7452
"MTND4LP30",6.3442
"NDUFA7",1.0177
"RBMY2JP",0
"SLC25A39P2",0
"ZNF680",0.7308
"LINC02270",0
"MARK2P15",0
"OR5AP1P",0
"RNA5SP441",0
"LINC00558",0
"MIR6803",0
"LINC00317",0
"LINC00380",0
"NUP205",12.0725
"URM1",10.8316
"SH3BP5",4.3835
"RN7SL79P",0.057
"COX6A2",44.2082
"LINC01414",0
"RN7SL127P",0
"ATP5MD",45.2231
"CDCP2",0.0053
"ABCF2P2",0
"KRTAP4-1",0
"LINC02045",0.073
"FAM201B",0.0554
"CEP83",1.4965
"RPL6P30",0.2876
"EMC10",21.1757
"HRH1",1.0818
"SCN7A",0.0141
"FAAP20",5.3525
"MIR4711",0
"PNMA1",23.2802
"LINC02629",0
"MCM3",90.1456
"HIF1AP1",0.9445
"HMGB1P8",0.2438
"SNRPGP13",0.2801
"SNORD115-47",0
"RNU6-425P",0
"RPS26P39",1.3572
"RPL27AP8",0
"SKIL",3.6765
"DEFB104A",0
"SLC35A1",4.4595
"RNA5SP141",0.5509
"DPPA2P3",0
"TBPL1",2.0599
"RNU6-1099P",1.0813
"PURB",5.5806
"RPL37AP1",9.3602
"ZFR",9.0843
"OR7E11P",0.2257
"RN7SL186P",0
"SATB1",0.7531
"OR10AD1",0.038
"HAUS1P2",0.0632
"PPP3CC",6.8189
"KIF17",0.1849
"NDST1-AS1",0
"WDR53",3.3112
"PRDM1",1.5804
"VN1R74P",0
"NUTM2A",0.2407
"LINC01948",0.0578
"B4GALNT4",0.2988
"CENPE",2.844
"RPL7AP7",0.0207
"RN7SL146P",0.2783
"MRGPRE",0.0235
"RUFY3",1.0568
"E2F8",0.543
"MTND4P19",0
"RNU6-18P",0
"ERGIC1",6.4435
"ZNF74",2.5331
"ACE2",0.0674
"PLA2G12AP2",0
"SUB1P1",1.9038
"HDAC9",0.443
"LINC02798",0.4423
"MIR500A",0
"LINC02179",0.0045
"COL21A1",0.7356
"BOD1",10.6722
