"","x"
"RPS12P26",0.1158
"TBXA2R",24.5828
"RNU6-761P",0
"RPLP0P6",40.8649
"MT1X",15.1848
"POLA1",2.5119
"FBXW11",10.8556
"RBM24",0.0666
"DYNLRB2",0
"HMGB1P46",0.0752
"ABCG1",2.7125
"HMGB3P16",0
"CC2D2B",0.0599
"POU6F2",0.0446
"ABTB2",0.2213
"OR4A17P",0
"PTF1A",0.0597
"MIR3129",12.6732
"PPL",0.0328
"TUBB2B",1.3379
"LINC01440",0.0849
"RNA5SP455",0
"TSTD2",0.5192
"SPEF2",0.1571
"RBM12",7.4388
"LYPD9P",0
"RNU6-875P",0
"RPL12P44",0.2284
"HOXC5",0.2668
"LINC02766",0
"LUZP6",0
"FERP1",0.0868
"DES",0.2234
"GOLGA8T",0
"ZNF415",0.9039
"SFXN3",12.7364
"RPL39P40",1.2566
"SNHG10",2.1812
"CAPN1",10.5903
"RNU6-590P",0
"MIR3180-5",0
"LINC00602",0.0222
"CDH6",0.2445
"SAA2",0.0515
"H3P15",0.1149
"STRC",0.0305
"TPSD1",0.0299
"FLCN",1.3849
"RN7SL820P",0.1534
"HOXD9",6.3401
"PRSS16",0.0607
"FGFBP1",0
"GLCCI1",1.3723
"ARID4B",2.6965
"ISL1",0.0955
"LRRC28",1.5941
"ASB10",0.0869
"RNY1P1",0
"CTBP1-AS",0.118
"FAM98A",19.4
"ESPNL",0.2694
"OR1L4",0.0245
"KCNT2",0.084
"LINC01894",0
"CD2AP",4.365
"TSPY4",0
"LINC01828",0.0212
"DLX3",45.2905
"SNRPGP6",0
"HNRNPA3P9",0.0937
"RN7SKP57",0.0783
"ZNF653",0.9726
"BSG",152.341
"IGHD1OR15-1B",0
"GOLIM4",15.0613
"CCDC65",0.6088
"MT-ND4L",3938.815
"TMEM250",15.0317
"CNBD2",0.0458
"OR11H13P",0
"ERMAP",1.0647
"LINC02389",0.0347
"LINC00838",0.0781
"SOGA1",2.6937
"CAPZA1P",0.0275
"DEFB131E",0.0672
"MIR4440",0
"CSTB",97.4397
"RNU6-1106P",0
"CACNA1I",0.0255
"MIR8056",0
"ADAMTS8",0.0963
"RRAGD",3.1559
"POMGNT2",8.3977
"RPPH1",0
"OR4K5",0.0425
"FGF3",0.18
"SGCZ",0.0102
"CCDC170",0.3343
"FTH1P1",0.5173
"ATRNL1",0.077
"FAM157B",0.0205
"PLAAT1",0.1177
"RNU6-462P",0
"TESK1",24.7542
"PCSK4",0.1935
"ZMAT2",32.7787
"AGGF1P6",0
"FAM204A",1.7652
"FLT4",4.1787
"ATP5PBP3",0.1047
"MIR5787",0
"OR1AC1P",0.3017
"MRC2",114.0971
"TMEM238",0.4816
"CLEC11A",155.4377
"TNPO1P1",0.0806
"RPL37P10",0
"RPS27AP16",18.192
"RPL7AP30",2.3336
"RNU6-1284P",0.4586
"EPYC",0.432
"RIMS2",0.1073
"LIFR",6.9914
"PRDX2P1",0.3115
"IGHD2-21",0
"MAP3K13",1.7858
"MIR3928",0
"NOL11",7.6831
"REXO1L10P",0
"EEF1B2P5",0.0837
"RNU6-786P",0.2548
"RNU6-836P",0
"CD8A",0.2272
"ATP2A1",1.0149
"MRPL34",19.6408
"RIOX1",3.2572
"PHKG1",0.6891
"ZNF16",0.8364
"RN7SL788P",0.1451
"HHLA3-AS1",1.7548
"SLC35E3",0.3316
"LINC01728",0.1313
"TRIM23",2.0132
"FAM87B",0.1178
"RNU6-263P",0
"MAX",11.1815
"SLC25A2",0.0971
"SAP25",0.0165
"LARGE-IT1",0
"MIR182",0
"DHRS7C",0.0456
"MIR6879",0
"GPM6B",4.4895
"RN7SL632P",0
"SDHB",25.3449
"THEMIS3P",0.0723
"SNORD1A",0
"MIR346",0
"VSTM2B",0.0154
"LINC00173",0.3332
"KRT8P44",0.017
"CLSTN3",1.7137
"SLC7A5",45.8262
"LINC01742",0
"A2ML1",0.0408
"NBPF10",0.245
"ERI2",1.835
"KLHL3",0.7912
"SYNPR",0.0271
"KCNMB2-AS1",0.1356
"RPL21P127",0.0962
"LAMA4-AS1",0.1221
"MIR5581",0
"LINC01354",0.0479
"CLMN",0.4323
"SNORA22C",0
"GPR137C",0.4851
"PSD2-AS1",0
"FBXO16",0.9238
"HSD17B7P1",0.0225
"EEF1A1P14",0.4
"SWSAP1",1.0894
"NAT8B",0.1799
"GRIK4",0.2337
"MARCO",0.0772
"RNU6-413P",0
"NOSTRIN",0.7603
"RPA3",4.1083
"KRT8P42",0.0328
"LDAH",5.1524
"ARHGEF28",0.2056
"RN7SL170P",0.2332
"MIR515-2",0
"OR2X1P",0
"TCL6",0.026
"MIR5689",0
"RNA5SP62",0
"CBX3",28.9113
"EEF1A1P12",1.6697
"BNC2",0.1721
"SPG11",8.567
"ALG14-AS1",0.0209
"RPS6KB2",7.1885
"RPS15AP24",1.3319
"OR4C6",0
"RPL23AP59",0.0995
"RNA5SP24",0
"ACAN",3.0862
"NF1P4",0.0136
"TRGV4",0.0333
"IGLVI-20",0
"SNTG2-AS1",0.0431
"MIXL1",0.2034
"LINC01878",0.0408
"UBAC2-AS1",0.6345
"CDY2A",0
"LINC00330",0.0901
"RNU6-1160P",0
"GAGE12H",0
"CDH4",0.0499
"DKK4",0
"FTLP19",0
"MIR3122",0
"GALNT12",1.1696
"PTTG3P",0.1514
"RN7SL680P",0.1534
"RNU4-12P",0
"RNA5SP63",0.4095
"ZNF330",9.5763
"FAM76A",1.2507
"PTPRR",0.0357
"PDCL3P3",0.0641
"PHKG1P1",0.0373
"ACVRL1",5.8241
"FXYD6",19.111
"CEND1P1",0
"FRMD6",8.1734
"DSG3",0.0125
"RN7SL670P",0.234
"E2F6P2",0
"URAHP",0.147
"RUNX2-AS1",0.0606
"ZMYM5",2.5199
"SEC14L4",0.0437
"MIR411",0
"MAGI3",0.4317
"LCN1P1",0.0454
"MCM3AP",5.738
"RPL10P16",13.0839
"RN7SL556P",0.077
"APOC3",0.0265
"HM13",24.4207
"RNU6-984P",0
"ASH1L-IT1",0
"RNU6-1281P",0.2184
"MIR1284",0
"OR2A25",0
"EHBP1L1",5.0277
"PPP1R3G",0.201
"CHST12",2.584
"OR7G3",0.0488
"MAP2K6",2.1042
"HOXD12",0.0852
"SYP-AS1",0
"GAL3ST1",0.0152
"ATP5MC1P8",0.078
"RPS27P22",0
"RNU6-173P",0.2205
"AQP6",0.0402
"DCAF12L2",0.0161
"RNU6-1128P",0.2104
"NUP210L",0.0545
"ZDHHC7",11.0682
"RN7SKP115",0.0723
"PRRT3",0.7627
"PTGER3",0.019
"PGK1",89.4131
"KRT17P5",0.0077
"UBE2Q2P10",0
"MYO9B",12.1416
"RPL12P26",0.0942
"PCNPP1",0.359
"RN7SL445P",0
"PELI3",1.4311
"ARL9",0.5104
"PGLYRP2",0.0719
"PSMC1P10",0.1383
"RNA5SP414",0
"MTND4LP7",0.156
"PCDHB2",0.1556
"RANP8",0.3216
"PKIA",0.5711
"GJC1",3.6544
"PAQR8",1.0385
"THAP7",3.8234
"FAM180A",0.1362
"CFAP97D1",0.0244
"DPPA5P2",0
"DIS3L2",1.8933
