"","x"
"KIDINS220",10.2511
"JAK1",26.4781
"OR2H5P",0
"PTGR2",0.8983
"PSG4",0
"GTF2E2",9.0039
"KRT12",0.1381
"FTX",0.5072
"GPR119",0
"MAN1C1",1.5639
"PRKACA",18.1124
"CSPG4P5",0
"JMJD4",1.3892
"PDE6D",2.8213
"RN7SL578P",0
"ATP10B",0.0071
"ARHGAP23",12.6369
"FASTKD1",2.5306
"PPP2R2A",5.0217
"MIR6749",0
"CLEC12A",0.0446
"LILRB5",0.7142
"PCDHGC3",28.4128
"LINC01217",0
"POLD3",3.4521
"PIEZO2",1.2611
"LINC01980",0
"OR5BC1P",0
"IL21",0
"USP13",4.5707
"GSTA1",0.0791
"UBE2J1",17.7966
"LINC01544",0.0062
"KDM7A-DT",5.8159
"CD81",59.4844
"ANP32BP3",0.0913
"WNT8B",0
"MAP3K6",10.6428
"RASL10A",0.2014
"MYADM",29.9038
"KRTAP4-4",0.0149
"EGFLAM-AS3",0
"NREP-AS1",0
"CYP3A7",0.0346
"FAM135B",0.0118
"LTV1",7.1976
"RNA5SP493",0.7083
"SNORD3C",0
"HLA-S",0.6081
"LINC01193",0
"FAM230B",0
"TRAJ59",0
"TPRKBP1",0
"YAF2",0.6853
"KCNH1",0.002
"SIGLEC10",0.5141
"ADI1P2",0.6761
"SLC7A14",0.0046
"RPL19P13",0
"LINC01762",0.2558
"WAKMAR2",0.2917
"KCTD13",3.0464
"LINC00297",0
"MTND5P19",0
"MAP1LC3A",8.2581
"ATP5MG",13.8602
"WDR59",1.7444
"RRM2P2",0.2224
"FSCN3",0.005
"PKP1",0.1167
"SILC1",0.0079
"PAN2",4.3026
"TMED5",3.5535
"USH2A",0.0063
"NLN",2.7789
"EXOC5P1",0.1064
"HMGB3P21",0
"RBM17P3",0.027
"TM4SF19-AS1",0.2565
"POLR3DP1",0
"LRRC55",0.0566
"RPL12P23",0
"CCND1",6.1086
"TATDN2",5.2431
"HOXB-AS1",1.0646
"EPB42",0.0202
"HTD2",0.0684
"DTX2P1-UPK3BP1-PMS2P11",0.1814
"LINC01465",0.216
"HES5",0.1974
"GOLGA8UP",0.0735
"RPS29P5",2.4501
"SPATA41",0.0308
"ALX3",0
"CYTL1",0.5302
"DERL1",9.2232
"LINC02131",0.3461
"HHAT",0.4173
"DOCK3",0.5411
"ACTR5",3.361
"ATM",1.8268
"MRPL20",10.8543
"RNASEH2C",3.5131
"HOXC-AS3",0.0466
"SMPX",0.031
"DOC2A",0.0476
"PLPBP",9.9513
"RNU1-82P",0
"ZNF101",1.0194
"TMEM128",5.3435
"RPL21P6",0
"TEX33",0
"OPCML-IT1",0.011
"RBM43P1",0.2087
"FAR2P2",0.0511
"BMP4",2.8181
"LINC01879",0
"SLC13A5",0.2763
"HLA-DQB2",1.1045
"RNU7-97P",0
"H2BW2",0.0171
"TRIM60P11Y",0
"MED19",9.3233
"UBE2K",12.719
"PLS3",33.4406
"NT5C1A",0
"AGO3",2.4096
"KRTAP13-2",0
"MIR6868",0
"CD320",32.0862
"CCL21",13.1143
"MIR2113",0
"NDUFA5P6",0
"ZNF227",1.6435
"MTMR14",2.037
"LINC02572",0
"RNU6-151P",0.1506
"RN7SKP225",0
"TMEM231",0.5653
"SEPTIN7P1",0.0404
"IL27",0.0381
"ZNF22",7.7379
"RN7SL505P",0.275
"IL12RB2",0.1283
"KCNC1",0.1261
"RORC",0.0158
"OTOAP1",0.109
"C11orf21",1.2549
"IGLV3-13",0
"TPP2",3.6013
"RFESDP1",0
"HLA-G",0.2102
"LINC02724",0.0275
"NFATC4",14.7043
"MIR3663HG",0.027
"SMCHD1",2.8889
"DDTP1",0.3366
"FTH1P19",0.0305
"ACTBP13",0.0174
"VPS25P1",0.0317
"GLB1L3",0.0324
"SLC39A8",4.1553
"CYP4F10P",0
"G2E3",1.9015
"SMCO4",11.3047
"LINC02133",0
"ADAMTS9-AS2",0.2161
"RNA5SP331",0
"RNU6-1066P",0
"RSPO1",0.2504
"OR2L9P",0
"PANK2",5.3745
"KANK4",0.0701
"CCNQP2",0.0252
"RN7SL321P",0
"CSDC2",0.5702
"RPS27P14",0.571
"DHCR24",7.7612
"RNU7-155P",0
"OR13J1",0
"DUXA",0.032
"RNU6-615P",0
"TPST1",19.0212
"KRT18P27",0
"PRADC1P1",0.399
"KLHDC9",0.0843
"SEMA7A",5.3364
"RNU11-2P",0
"ERICH6",0.0155
"LINC01650",0
"HTR6",0.1218
"SIM2",1.1077
"AMOTL2",4.462
"MIR548XHG",0.0443
"SRP72P2",0.114
"PSPC1-AS2",0.1714
"HYLS1",1.3164
"SETD2",5.8077
"LINC00863",0.5491
"KRTAP3-2",0
"PEA15",35.9202
"DR1",8.2593
"MIR6752",0
"MIR766",0
"LINC01215",0.0124
"B3GALNT2P1",0
"PNMA1",21.7133
"TMEM165",9.5082
"ACTG1P2",0
"TLE7",0
"MIR151A",0
"TUBAL3",0.0179
"OR2G2",0
"IL12A-AS1",0.1048
"MIR200CHG",0.0921
"FABP7",0
"LHPP",3.5527
"IWS1",4.3697
"MASP1",0.1665
"MIR3659HG",0.0236
"ADIPOR2",10.6421
"DEFB118",0.0417
"CCAR2",9.0533
"CHMP1AP1",0
"HBE1",0.0347
"LINC01720",0
"PLCB2-AS1",0
"MIR548AN",0
"SCARNA7",0.2441
"RN7SL847P",0.0597
"RPL39P40",0.1104
"GAGE12G",0
"AQP8",0.0567
"LINC01678",0.3345
"RNU6-1062P",0
"DUSP5P1",0.1556
"ST13P21",0.0587
"LINC02157",0
"MIR610",0
"UBA52P5",1.0692
"KRTAP4-17P",0
"RNU6ATAC14P",0.1771
"ZNF101P2",0.0393
"MC1R",0.4516
"NPM1P28",0.0959
"ARL9",0.602
"BMS1",6.1375
"LDHC",0.4692
"MAFTRR",0.1302
"ADAMTS5",1.411
"CACNA1C-AS2",0.2381
"REP15",0.8819
"CAMK4",0.1657
"CACNG1",0
"MREGP1",0
"OR2U1P",0
"PPP2R3B",1.3299
"BSPH1",0
"FAM83D",4.7918
"KCTD1",0.5763
"SLC25A1P5",0.1441
"KRT8P2",0
"GAPDHP37",0.1998
"COA6-AS1",0.8127
"VAMP7",10.9903
"ABHD17AP9",0
"TERF2IP",17.039
"SYNJ2BP-COX16",0.8493
"NADK2",4.8457
"NCAPG",3.5103
"CD53",6.2751
"IGSF3",14.165
"GMPPA",5.595
"RN7SL423P",0
"LINC01743",0.0167
"UNC79",0.0966
"CD2BP2-DT",0.601
"OR2W6P",0.2402
"LNCSRLR",0.8409
"OR5AP1P",0
"UVSSA",1.0269
"LINC02742",0
"RPL12P1",0.0647
"DPRXP5",0
"HORMAD2",0
"GPATCH2L",1.6241
"ELOCP10",0
"TM6SF2",0.4492
"SHISA8",0.0229
"SPDYE3",1.0298
"RXRG",1.0699
"ZFC3H1",1.8747
"DUX4L28",0
"RNU6ATAC3P",0
"PHBP18",0.0198
"CAPS2-AS1",0
"CEP250",2.3328
"SIN3A",2.531
"TOMM20",20.5404
"KRT16P6",0
"COL7A1",18.9273
"LST1",1.0667
"AAR2",10.2368
"RPL3P4",21.2185
"RN7SL28P",0.0541
"PDX1",0
"IGHD1OR15-1A",0
"EEF1E1-BLOC1S5",0
"H3P32",0
"SPINK6",0.022
"SNHG28",0.335
"TSNAX",1.5466
"CEBPA",1.427
"LAMA4-AS1",0.0312
"INTS1",14.0316
"ATP5MC1P1",0
"SLC30A8",0.0077
"MIR219A1",0.293
"VPS8",2.4701
"MLPH",0.4589
"ATP1A3",0.2643
"FRMD4B",1.4271
"PARD3",7.5683
"GGH",7.8973
"RNU6-777P",0
"TRMT112P4",0
"LUZP2",0.0164
"GKN2",0
"RPL39P29",0.1026
"CLDN7",0.2199
"IFT57",5.8063
"USP9YP25",0
"SCARNA22",0.6446
"SLC35B4",5.3131
"CHIC2",7.9836
"RN7SKP217",0
"LRRC74B",0.0727
"NDUFS5",144.2602
"PGAM1P12",0.0431
"BOLA2P3",0.0629
"CCDC125",1.1214
"IQSEC1",11.2436
"NAP1L1P1",0.5306
"LINC02119",0
"KDM5B",2.4027
"POLR3D",9.7441
"LRRC2",0.1175
"C19orf73",0.1083
"SAMD9",2.9172
"WBP1LP1",0
"LINC00303",0
"CCDC75P1",0
"WNT3A",0.0275
"ST6GAL2-IT1",0.0415
"RN7SL495P",0
"SNORD83A",0.8481
"DPPA5P2",0
"RNU6-114P",0
"RPS23P6",0.673
"ANKRD30A",0
"UBXN1",10.5835
"SSH2",1.8698
"RBM10",18.5171
"RN7SL617P",0
"DNM1P46",0.1782
"KRTAP19-9P",0
"MUTYH",2.8485
"SYP-AS1",0
"MYRF",0.4843
"SMIM25",0.2498
"LINC01109",0.0209
"PODNL1",10.3882
"TEP1",2.6088
"MIR3928",0
"TRAJ30",0
"ESRRG",0
"LONRF2P1",0
"DEK",33.3584
"CEPT1",2.3884
"SLC22A12",0.0095
"SAMD4A",3.6544
"TDGF1P3",0.0178
"RPL23AP59",0
"MED30",4.4873
"BIK",0
"TMEM38A",0.7668
"AP1S1",23.6002
"RNU6-1299P",0
"SNRPCP15",0
"RNU4ATAC18P",4.8597
"MAGEA10",0.0278
"TBX20",0.2922
"FEM1AP1",0
"CACNA1C-IT1",0
"OR51F5P",0
"CLUH",9.687
"TXLNG",2.1967
"NDUFB4P6",0.0881
"CFAP69",0.194
"MESTP2",0
"BLOC1S2P1",0
"RN7SL340P",0
"THUMPD3",4.7936
"BANF1",68.1484
"LRRIQ3",0.0883
"HNRNPA3P8",0.0662
"RNU6-768P",0
"LINC02202",0.2407
"SLC31A1P1",0.341
"PDE9A",1.9767
"C2CD2L",0.8952
"SNX30",2.6638
"CAMK2A",0.49
"C9orf147",0.1501
"POU5F1P7",0
"VN1R4",0
"RBMS3-AS3",0
"RPSAP14",0.2693
"RPS20P25",0
"TERF2",4.5237
"MIR302A",0
"DESI1",7.2435
"MAPK7",4.8906
"IFI6",115.7031
"NPIPB9",0.0455
"SPHKAP",0.0046
"EIF4EP2",0.8377
"MIR3200",0.586
"LINC00622",3.0688
"USF1",10.0643
"VENTXP6",0
"BOD1",9.6939
"C3orf80",3.3878
"MT1B",0
"RGN",1.3299
"IRF5",0.8803
"ERLIN1",4.5376
"SNX19P2",0.038
"ASH1L",8.5708
"RNA5SP201",0.5198
"FAM214B",1.5966
"RPL10",146.6779
"FAM13C",0.1336
"AMOTL1",6.1645
"SPAG16-DT",0
"PCDHGB8P",0.1402
"GALNT1",25.0918
"SMC2",4.8705
"TMEM120A",4.6558
"PTCSC3",0.0282
"KRT18P1",0
"MIR3689B",0.1089
"RBPMS2",0.3068
"SERTAD1",5.1833
"GGTLC4P",0.1941
"PRELID2",0.6506
"VPS26AP1",0.0658
"GM2AP1",0
"LINC02330",0
"SPANXB1",0
"TRIM64",0
"RACK1",48.0591
