"","x"
"VSNL1",0.0692
"MASP2",0.2442
"NDRG1",18.618
"YRDC",7.1376
"C1QC",147.4991
"RNF157-AS1",0.0097
"LINC01344",0.028
"IMMT",18.7317
"DPY19L3",3.596
"VDAC1P6",0.31
"FAM83B",0.0488
"RABGGTB",4.483
"DCAF4L2",0.1063
"RNU6-781P",0
"ARAFP3",0
"CCDC73",0.014
"RNY3",0.4331
"DHX40P1",0.0782
"KREMEN1",0
"RNA5SP426",0
"ANKRD20A10P",0
"HEXB",18.0749
"SPANXC",0
"PTCH1",0.7443
"SNORD1C",0
"TATDN3",2.0527
"RNU6-205P",0
"FAM53B-AS1",0.0251
"DUX4L51",0
"FAM86C2P",0.2078
"CCL3",1.3603
"MTND2P30",0
"PYCR2",4.2132
"SKINT1L",0.0769
"RER1",18.4414
"ATP5F1C",27.9308
"ATRNL1",0.2518
"XPA",3.6877
"RNA5SP471",0
"LINC02429",0
"RNU7-157P",0
"PRPF3",4.1771
"CCL14",0.0473
"NRN1",12.5728
"HORMAD1",0.0367
"SNORA79B",1.0448
"SNORD115-39",0
"KPNA2P2",0.0445
"LINC01276",0.0221
"H3P6",28.701
"CASTOR2",2.2366
"GAPDHP74",0.2474
"ERCC1",13.319
"ILDR2",0.0748
"LINC02718",0.0238
"RNU6-128P",0
"KIRREL3-AS3",0
"DDIT3",13.0168
"LINC01164",0
"RNA5SP411",0
"KCTD1",0.8973
"OR11I1P",0
"SKA2",11.6836
"ENOPH1",15.1086
"VBP1",13.8036
"CTBP2",3.5196
"OR7A11P",0.0232
"PRDM16",0.484
"UBTFL10",0
"LINC02142",0.0383
"BSG",85.4334
"NUBP2",10.6084
"TBRG4",10.731
"TCAF2P1",0.0456
"OTX2P1",0
"SERPINA10",0.0161
"ALMS1",1.2024
"VN1R25P",0.3891
"RPS3AP25",1.4207
"SELENBP1",7.1995
"RPL23AP81",0.8514
"CICP26",0.0271
"RPSAP14",0.6153
"LINC01607",0.448
"CPM",5.3356
"HNF4A",0.0091
"RPS6P25",2.4807
"NDUFA3P3",0
"RPL12P22",0
"VN1R46P",0.052
"TBCCD1",3.9769
"IGHJ4",0
"NLRP3P1",0.0124
"RPL21P32",0
"MCTS2P",2.0634
"WDR74",4.1663
"C3orf84",0.1251
"PTGS2",0.0838
"LRRC10",0.0255
"C5orf34-AS1",0.1545
"MIR6780B",0.8389
"SNRNP27",8.234
"GLP2R",0.0803
"MEAF6P1",0
"PTGFRN",11.0416
"PNMA6F",0
"GLIS3-AS1",0.0903
"SNORD123",0
"PABPC5",0.0192
"PGM2",9.1724
"LINC01257",0
"RNU1-20P",0
"FCF1",13.2671
"ZNF395",5.9638
"OR8D1",0.0431
"MYADML",0.4456
"AKR1B1",39.9554
"CMTM5",0.0077
"ZC3H14",2.3178
"MTND6P19",0.1265
"RSRC2",5.8075
"WNT3",1.7024
"ABCB11",0.06
"NMD3P1",0.0297
"MIR548AR",0
"MTND4P3",0
"ILVBL",13.2305
"NAP1L1P1",1.2469
"DRD1",0.0381
"PPIAP15",0.3195
"SDF4",63.2775
"SYCP1",0.0255
"ZNF847P",0.2872
"CC2D1A",7.6279
"SYBU",0.5346
"TNFRSF25",0.4398
"RPS25",248.211
"TCEAL4P1",0.0751
"SHROOM2",5.1483
"KLRF1",0.2104
"SNORD36A",0
"PI3",0.0383
"DOCK4-AS1",0.0886
"MTCO3P43",0.2292
"MACROH2A1",10.7759
"RFPL4AP7",0
"TTTY19",0
"RBM14",9.4936
"MYRIP",0.1016
"NCLP1",0.5964
"TRIM29",0.1081
"TMEM256-PLSCR3",0.0086
"RPL22P21",0.5198
"RNU6-461P",0
"KRI1",14.423
"RNU6-523P",0
"PSAT1P3",0.4175
"MFN1",3.4264
"ERVK-28",0
"NOP56",22.7081
"PAGE2",0.3008
"SLC39A1",22.3314
"CCT8",26.844
"NLGN4Y",0.0027
"RNA5SP336",0
"TUBAP",0.0654
"RPS4XP4",0.0869
"RNU6-1027P",0
"ABHD15-AS1",1.1813
"ABCA7",1.8877
"ZDHHC20P3",0.0657
"EPHA4",0.8948
"GSTT2",0.4557
"MED11",4.7859
"NUDT8",2.0368
"MIR6882",0
"EMC1",10.0847
"RNU6-774P",0
"CCDC37-DT",0.0224
"CHTF8",15.2012
"MYOT",0.5574
"LINC01180",0.0436
"RN7SKP191",0.0722
"RSL24D1",23.2354
"LINC00475",0.0229
"CRIP1",1.8845
"GTSCR1",0
"FOXL1",1.1807
"GPR150",0.107
"TBC1D31",1.4674
"CFAP74",0.1759
"RNU7-183P",0
"USP32P3",0.8186
"HDDC2",4.836
"FAM222A-AS1",0.1241
"LINC01741",0
"TTC27",4.2862
"TERT",0
"ELOVL3",0.2095
"RPL17P10",0.1592
"DENND10",3.2233
"RNU4-57P",0
"CAP2",0.0607
"SLC13A4",0.2839
"MIR126",0
"LINC01877",0.0804
"SNORD114-13",0
"LINC02555",0
"RNU6-707P",0
"LINC02377",0.9909
"DUX4L22",0
"ZSCAN22",1.1501
"FCGR2A",14.8653
"RNU7-47P",1.0689
"GALNT5",5.022
"CDKL1",0.4275
"IL1RN",1.1534
"ADRA2C",6.0218
"OR4U1P",0
"DYTN",0.031
"HIF3A",0.0396
"DDX12P",0.7946
"H3P5",0
"PAXIP1",1.4982
"NUP37",3.8398
"DEPTOR",7.3128
"CT47A8",0
"RPS3AP40",0.1131
"RPS19P1",6.8714
"RPL36AP41",1.0107
"IGLVIV-65",0.1227
"CEP192",1.0241
"COIL",5.2783
"USP9YP17",0
"DDX39B-AS1",0
"OR5AS1",0.0906
"RN7SL255P",0
"SEPTIN14",0.0396
"FUCA1",7.9209
"MCCD1P1",0.0673
"AMPD2",9.3308
"ACSM1",0.1154
"RN7SKP29",0.3249
"MT-TK",0
"IFNA2",0
"ARSD",9.8824
"SNHG29",115.3282
"TRAJ50",0
"LINC02654",0
"CCDC141",0.0329
"KDR",4.8281
"PLAT",2.6736
"SLC1A1",1.3095
"LHFPL4",0.0415
"SH3RF2",0.0275
"C18orf63",0.0129
"ST13P10",0.1021
"RNA5SP143",0.1921
"DNAJC18",2.8178
"PPP1R3F",1.8528
"EXOC5P1",0.1571
"FTH1P10",4.8456
"TRGV4",0.0642
"RNA5SP418",0
"NINL",0.5111
"GFRA2",0.1391
"LINC00992",0.0193
"RNA5SP78",0
"LINC02672",0.0532
"NAT16",0.0114
"RPL7P61",0.0588
"MIR6076",0.1955
"RNU6-1017P",0.8336
"PTGS1",1.9915
"VMO1",3.1361
"NANOGP3",0
"SCN4B",8.9627
"MIR5696",0
"ZNHIT1",19.9212
"MTND1P5",0
"LINC02382",0
"DCP1A",14.0754
"GPX3",34.6542
"SAMD1",25.4481
"MDFI",418.3027
"TTC39DP",0.0916
"SPATA6L",0.039
"MTND4P10",0
"LAMTOR5",20.092
"NACC2",3.501
"RN7SL751P",0.1556
"ZNF414",4.6135
"CFAP46",0.0146
"HEXIM1",7.2468
"TTC17",10.4049
"HIRAP1",0
"PCDHB15",1.3968
"RNU6-1251P",0.6193
"MIR4502",0.8182
"RNU6-1004P",0.398
"RPL5P2",0.1293
"COASY",10.0699
"CDK14",12.9874
"RPL3P2",8.5937
"LUADT1",0.0488
"HDLBP",75.707
"CYP4F2",0.0562
"FAAP100",3.6844
"CAV3",0.1016
"ITGAV",7.9956
"EFNB3",0.6239
"OR12D3",0
"PGD",29.0612
"ACSM2B",0.0406
"SMAD9",3.9564
"RPS15AP1",31.751
"TNKS2-AS1",0.3483
"HSPB8",0.2626
"PI4K2A",5.305
"TPT1P8",0.1194
"SYN1",1.1014
"TRBV19",0.2801
"DBNDD2",1.6464
"AK4P2",0
"LUCAT1",0.2815
"CST2P1",0
"LRRIQ4",0.0484
"NRIR",0.4087
"C1QBPP2",0.482
"MIR30C2",0
"TGFA",0.3338
"LYG2",3.004
"RPL4",183.3476
"SLC17A7",0.1616
"RPL29P30",0.3269
"PPP1R26P3",0
"H2AC7",1.1804
"CNR2",0.0547
"RNU5B-2P",1.1729
"APOBEC3C",18.3274
"SLC10A7",2.1307
"MIR6782",0
"NOB1",20.5681
"SNORA35",0
"LINC02539",0
"XCR1",0.0286
"HAT1",3.7511
"SCN1A-AS1",0.0203
"KLF8P1",0
"GNA11",21.8247
"GRHL3",0.0729
"CRPPA-AS1",0.0956
"MIR504",0
"RPS6P8",0.2723
"GALR3",0.0382
"TOR3A",4.4496
"MICOS10P3",2.1764
"CLEC14A",11.4494
"NEURL1",0.1291
"CHTOP",10.2066
"MYO15B",1.0247
"CDY13P",0
"MIR8056",0
"RN7SL380P",0
"RNU6-66P",0
"CABP4",2.8882
"ARHGAP27",0.9873
"DISC1-IT1",0.058
"RPSAP74",0.2248
"NDUFV2P1",3.02
"TMTC1",0.3396
"ARRDC3-AS1",0.078
"TAB1",9.7908
"MOSPD2",1.8747
"GLRX2",5.3397
"RNU7-62P",0.7126
"COL11A2",13.1426
"PLEKHG4B",0.1557
"PTPN22",1.1185
"MCM3AP-AS1",0.4183
"FBXL17",3.8688
"MAGOH2P",1.3427
"RNU7-22P",0
"IMPDH1P11",0.1175
"RNU7-152P",0
"NRG1",0.0039
"MIR130A",0.2482
"BOK",1.6378
"DBET",0.0066
"SLC24A2",0.0123
"USP17L3",0
"RNU6-1313P",0
"PBX4",0.5276
"RN7SL690P",0
"CUTA",21.6073
"PSMC3IP",1.7514
"ECHDC2",0.9793
"DDX41",15.7251
"RPL36AP33",0.6413
"LINC00622",2.2231
"DERL2",4.6768
"RNA5SP502",0.1856
"MIR590",1.5941
"CYP2U1",3.9426
"SNX13",2.2537
"RN7SL118P",1.3898
"CAPRIN1",17.3153
"RNU6-207P",0.6193
"OR5L1",0
"RNA5SP306",0
"LINC02403",0
"UGT2B29P",0.0227
"LMNTD1",0.0358
"SLC25A21",0.0044
"RN7SL569P",0.1534
"SRGAP2B",1.0846
"CRNDE",2.1501
"CNN3P1",0.0473
"RN7SKP83",0.1241
"PHF3",3.4695
"TNFSF14",0.2635
"RNU6-911P",0
"ZNF84",3.2485
"CCDC7",0.1398
"RPSAP21",0.1997
"RN7SL670P",0
"OLFML3",49.1966
"CCDC63",0.1214
"SERHL",0.4185
"RAD51AP1P1",0.0662
"C5orf34",1.9662
"PLPP7",10.5269
"CHDH",0.0313
"SCN11A",0.0258
"SNORD3H",0
"FAM192BP",0.6958
"MIR1249",0.3945
"SSBP3",20.0785
"LINC01327",0.0413
"CTBP2P10",0
"STING1",7.6254
"MCM7",33.4398
"MRPS18B",24.4302
"MID2",0.9487
"RABGEF1",1.4359
"MOSMO",2.1397
"MEGF8",10.5711
"INSL3",0.2393
"PTPRR",0.3222
"RN7SL748P",0
"MKLN1",5.405
"RBM12B-AS1",0.9472
"CRYBB2P1",2.3995
"C12orf49",4.8265
"RNVU1-28",1.751
"RPS26P2",1.333
"PCDHGA4",0.5289
"ALDH16A1",7.8169
"MT2A",92.0677
"FBXO28",3.0043
"MIR4499",0
"KIT",0.4606
"MIR493",0
"C5orf38",1.8934
"ECRG4",0.0761
"MIR1179",0
"CYCSP40",0.3757
"RNU6-84P",0
"VN1R66P",0
"ZMYND8",28.9967
"PSD2",0.1175
"UFL1",5.1685
"MRPL44",6.9632
"LINC02046",0.0293
"CYP2C61P",0
"MIS18BP1",3.4885
"TSPY22P",0
"GAD1",0.0241
"OR2G3",0.1425
"EPHB4",12.0114
"MTND4LP30",6.9915
"TCIRG1",18.5478
"CHMP4BP1",1.0143
"SPTSSA",14.2945
"FAM90A2P",0.0182
"RN7SKP251",0
"CSNK1G3",6.3222
"WDR86",5.8284
"PCGF6",2.7053
"MAN2B1",13.4169
"RNU7-53P",0
"RNU6-750P",0
"MIR520A",0
"RNA5SP308",0
"CACNA1D",0.0518
"KRTAP6-3",0
"SNORD36C",0
"SMIM24",0.6931
"H3C15",0.1868
"ARHGEF3-AS1",0
"OR8R1P",0
"LEMD2",5.3208
"MACF1",5.5007
"EMC3-AS1",1.3323
"VARS1",12.3546
"SIGLEC14",0.9125
"PCBD2",0.8687
"TM7SF3",2.4772
"LINC02322",0
"YWHAEP7",0.0369
"MIR1265",0
"POLR2A",18.2811
"CYCSP38",0.1372
"CYCSP6",0.0731
"CLEC4F",0.0714
"SCIMP",0.8662
"RNY4P3",0
"TVP23BP2",0.2155
"CLIC4P2",0.1849
"LINC02536",0
"NPM1P4",0.0816
"LETM1P2",0.0406
"MAN1B1-DT",1.1446
"STK26",5.3875
"TSPAN17",7.3069
"PCNPP5",1.1022
"PEPD",9.8202
"HMGB3P16",0
"LINC00410",0.0219
"LMX1A",0
"ZNF519P3",0
"ST18",0.0598
"SNUPN",3.1351
"ELOCP24",0
"RNA5SP494",1.8837
"CDKL2",0.0993
"RNU6-645P",0.2084
"HMGN2P35",0.1636
"FAM171A1",8.8305
"KRTAP5-9",0
"ECHDC1",7.4542
"APBA1",0.2445
"BRD7P1",0.0461
"FTHL17",0.0272
"ANXA7",8.1121
"FAM13B",3.235
"BMP1",15.5615
"MTCO2P33",0.0475
"UBE2FP2",0.0956
"LYRM2",2.5681
"PPARG",7.9166
"SAMD14",0.296
"FADS2B",0.0764
"PRR13P1",0.2166
"DRAM1",3.1286
"LLPHP1",0
"C1GALT1P1",0.0811
"BRD7",4.3728
"ANTXRLP1",0.0242
"GOLGA8F",0.0039
"GALNT7",1.1423
"KISS1",0.0312
"ZNF776",1.5951
"SORBS2",0.2271
"IGKV1D-42",0
"MTCO3P29",0
"ABCA9",0.2707
"FTH1P8",22.4339
"LINC01687",0
"ERI3",20.9948
"HSPA12A",0.1668
"NSMF",8.7147
"PLEKHM3",0.3653
"MIR1972-1",2.0082
"TLR10",0.0681
"MTCO3P15",0.1155
"DSG3",0.012
"NMNAT1",6.0472
"CSF2",0
"TBC1D22B",8.5566
"WDR12",2.5324
"TBC1D3B",0.0513
"ZMAT3",2.313
"MATN2",35.0485
"RPS5P3",0.2869
"NRP2",6.5336
"RNA5SP312",0
"RNU6-1147P",0
"RNF20",10.7533
"MIS18A",24.9748
"DFFBP1",0.0451
"RNU6-346P",0
