"","x"
"YWHAG",66.3338
"DEFB127",0
"CHIAP1",0
"ECHS1",34.0314
"SNORD114-15",0
"OSBPL10",1.8422
"MIR3690",0.1519
"RHPN1",0.4473
"PEX5L",0.0824
"TPT1P6",1.7958
"RNU7-111P",0
"MT-TV",0.4955
"CT47A12",0
"KMT2A",3.5913
"RNA5SP459",0
"ANKRD11",7.0031
"LINC01626",0
"PDXDC2P",0.1431
"MOAP1",6.0324
"MOCS1",1.7598
"PAPOLB",0.0053
"TCTE3",0.7985
"RN7SKP189",0
"RPS12P18",0.0422
"GPR27",1.6951
"VN1R87P",0
"ZNF582-AS1",0.3412
"SNX6P1",0.0279
"HOXB-AS3",0.5599
"SCARNA7",0.6906
"HSPA8P13",0
"RNU7-60P",0
"MT-RNR1",688.6379
"SPNS3",0.743
"LPIN1",1.7851
"RSL24D1P11",0.2089
"LINC01789",0.0286
"LINC02144",0
"RNU1-7P",0
"LRRC37A",0.4291
"TMBIM7P",0
"NOTO",0.0041
"FOXI1",0.0099
"LINC00615",0
"TTC8",1.7192
"SPATA6",1.109
"TAGLN3",0.0127
"UQCRHP3",0
"MYO6",10.4628
"LINC02161",0
"RNU6-897P",0
"FGF2",0.0992
"GPC5",0.0229
"PBK",1.6791
"SLC25A20P1",0
"TMEM130",0.0415
"KRT18P31",0
"SLC7A11",0.3521
"PITPNB",11.0844
"HDAC5",11.5495
"CDX2",0
"RDH10",1.7326
"KLK9",0
"RPS29P31",0
"MIR4456",0
"RNA5SP118",0.1045
"PIN1",8.1713
"PGBD4P2",0.0185
"CASD1",3.7812
"TRIM48",0.0079
"ENPP7",0.0096
"MIR3132",0
"ADIPOQ-AS1",0
"EEF1GP3",0.0708
"ZNF597",0.8702
"RPS4XP8",0.5469
"ELAVL3",0.0096
"RN7SL217P",0
"SCGB3A2",0.1378
"NAP1L6P",0.1951
"LRRTM2",0.1028
"PTPN13",6.3026
"VN1R12P",0.026
"VSIG10L",0.7252
"LINC02805",0.0081
"SLC6A19",0
"RPS20P23",0
"RPH3AL",0.3137
"PARD3",4.1992
"KLRC4",0.7965
"C2CD5",5.5013
"DDX19A",3.7023
"C12orf65",2.1184
"MIR553",1.0055
"RNA5SP361",0
"RPS3P2",0.13
"EIF1P4",0
"SEPTIN7P4",0
"MORC1",0.1272
"MT1JP",0
"MIR323B",0
"AMFR",18.1243
"LINC00448",0.0152
"SNX18P23",0.1852
"LINC00572",0
"RNA5SP62",0
"RN7SL659P",0.0381
"OR4A12P",0
"ZMYND12",0.758
"TEN1",0.1749
"SDR42E1P1",0
"TRAPPC12-AS1",0.7907
"ACSM5P1",0
"CFHR2",0
"C18orf21",3.7809
"RNU6-288P",1.0957
"MYO1A",0.0437
"RN7SKP18",0.0829
"MTCYBP17",0
"MRNIP",1.7758
"SNHG22",0.4087
"GLIDR",0.5991
"HNRNPUL2-BSCL2",1.5722
"SELENOS",10.5694
"RBM14-RBM4",0.5527
"UBQLN2",14.0948
"IGLV1-44",1.5617
"RNASE13",0.0284
"NFKBIL1",8.1671
"HMGB3P2",0
"MIR378H",1.5102
"OR2A9P",0.1605
"MAGEA5",0
"ATP5PO",9.9915
"NEBL-AS1",0
"CBX8",1.3081
"MAN1C1",0.8282
"LINC02688",0.0894
"AGGF1",7.0841
"PIN4P1",0.4892
"SNORA11C",0
"RNF115",7.9121
"PIM1",6.8863
"LINC02193",0.0253
"FMR1-IT1",0.7974
"SLC23A2",5.3331
"RNU6-1218P",0
"SPDYE9P",0
"OR51A5P",0
"CYP2C61P",0
"ZNF423",0.3242
"ZNF765",0.7764
"RPS15AP12",1.3216
"RN7SL446P",0.077
"RN7SL116P",0.1494
"RBM41",2.0733
"LINC00632",0.1212
"FBXO48",0.8427
"AJAP1",0.0404
"RPS12P21",0
"IFNA14",0
"DOK7",0.0537
"MIR4789",0
"OR5BS1P",0.0243
"MED21",4.5631
"TUBB4B",54.2243
"MTND5P24",0.0258
"RNU6-317P",0
"SMG6",2.3981
"RPS29P7",0.3332
"ZHX1-C8orf76",0.2536
"KCNS1",0.1607
"HAUS1P2",0.0291
"DOCK9",2.8364
"ZNF383",1.2144
"HNRNPA1P70",0.0105
"LINC02561",0.0329
"RDM1",0.0288
"MIRLET7I",0.1055
"RBM17",7.394
"MEGF6",6.3089
"REXO1L6P",0
"AP1S2P1",0
"GNG13",0.0463
"RNA5SP264",0
"LTBR",15.1861
"GINS3",1.4465
"TRBV11-1",0
"MIR361",0
"MAPKAPK5P1",0
"RPSAP67",0.0132
"SNORA30",0.0883
"RNU7-161P",0.1838
"ST6GAL2",0.1508
"CTRL",0.042
"DPYD-AS1",0.1772
"TSEN15P2",0.4138
"ITGB7",0.4094
"TLE6",0.0749
"USP9YP9",0
"LINC-ROR",0.0131
"C2orf68",6.4634
"EIPR1-IT1",0.1905
"RNVU1-15",0.2763
"CXorf40B",4.61
"DDX11",1.3091
"RAB33A",0.5073
"RBM17P4",0.1052
"RN7SL719P",0
"LINC01392",0
"CYP4F36P",0.0613
"IGFBP1",0.0207
"RNU6-9",0.1065
"TRAF6P1",0.0146
"ATP10B",0.0131
"MIR6499",0
"SZT2-AS1",0.0652
"HIGD1AP1",0.9116
"XIAPP1",0.1329
"IPCEF1",0.2905
"RN7SL130P",1.3824
"BACH1-IT2",0.2295
"LINC01845",0.0113
"RN7SL543P",0
"MTUS2-AS1",0.0044
"GNAI1",4.9171
"SERTAD2",11.9313
"HMGB4",0.0044
"SPRY3",0.2628
"FAM162B",0.275
"RN7SL294P",0
"C2orf69P4",0
"CAPRIN1",28.3027
"STEAP1",6.0028
"NPAS4",0.0233
"PPIAP79",0
"CLEC18B",0.0616
"HPYR1",0
"CACNB2",0.2284
