"","x"
"NAT8B",0.0373
"TRIML2",0.014
"RHOA",222.6777
"SAMHD1",18.8155
"RIPK3",1.3088
"DDX50",10.9699
"SMG9",5.3561
"MTND5P21",0
"SNCAIP",3.2688
"ACCS",1.8788
"TMBIM6",101.3769
"RNU6-845P",0
"TNFSF4",3.9084
"TSSK2",0
"RNU6-650P",0
"ANKRD36BP2",0.0957
"AK8",0.2609
"PCDHGB2",0.4393
"MIR3200",0
"STK31",0.0092
"LINC02016",0.0154
"LRRC25",1.5403
"PDIA6",85.9311
"LINC00476",0.7965
"ACTR3BP1",0
"VN1R12P",0
"BRCA2",1.4783
"POU6F1",1.728
"RNA5SP510",0
"TAS2R40",0
"GP9",0.7535
"POU6F2",0.1281
"COL4A4",0.0821
"RNU2-60P",0
"F5",16.9543
"AFDN-DT",0.175
"RNU7-13P",0
"RNU6-1193P",0
"CERS6-AS1",0.0099
"NANOGP5",0.1138
"RN7SKP167",0
"RPL36AP6",0.0444
"RAB3A",3.0574
"ZFAND5",43.4683
"TRABD2B",0.002
"PRADC1P1",0.6244
"RNU6-137P",0
"TRAV36DV7",0.04
"PTPN11",20.4332
"RPSAP61",1.7694
"PAPPA2",0.0261
"SF1",36.4828
"RNA5SP341",0.1218
"SSXP3",0.011
"RNU6-653P",0
"HS3ST3A1",5.8029
"RPL39P34",0
"SOCS5P1",0
"HNRNPH1",25.3836
"DUX4L31",0.0125
"LCEP1",0
"MTCO2P16",0.5474
"PABPC1P4",3.5574
"ZNF639",5.2529
"TRGV8",0
"RNVU1-24",0.088
"FOXI1",0.0062
"DEFA8P",0
"RGPD1",0.0124
"HMX2",0.0175
"PDCD5P1",1.1531
"JRKL-AS1",0
"GUCA1C",0.0121
"RN7SL30P",0.0466
"TM4SF19-AS1",3.9968
"AMZ2P2",0.0405
"KIDINS220",25.6895
"TMTC3",5.0458
"SF3B2",28.6298
"RNU7-111P",0
"KLHDC8A",0.0625
"C1QL4",2.3123
"SNORA11F",1.8929
"MBIP",8.1577
"LINC00502",0.032
"MOB1A",30.1557
"PRMT6",9.872
"CLCA4",0.0124
"EFCAB2",0.7816
"USH2A",0.1126
"PARD3B",3.1712
"MIR1290",0.1827
"MPHOSPH9",2.4192
"TFF3",0.3417
"MIR504",0
"SLC33A1",7.993
"RNA5SP416",0
"SALRNA3",0
"KCNB1",0.4534
"DRD3",0
"FAM120C",4.9468
"LCE4A",0
"VENTXP4",0
"LINC01554",0.0968
"MIR5704",0
"LRRFIP2",3.863
"HLA-DPA1",12.4324
"LINC01215",0.011
"ARL15",11.1144
"C19orf18",0.2648
"ADM",10.5346
"LINC00355",1.4723
"ANGPTL3",0.0965
"CTXN2",0
"MIR548X",0
"MIR367",0
"IPCEF1",1.5221
"RAD54L",5.6042
"PSME1",47.4225
"PHBP18",0
"CADM1",79.1725
"EIF1P5",1.2181
"RPL35AP26",0.0888
"LYZL1",0.0126
"CD40",4.0665
"MTCO1P49",0
"BZW1P2",7.3677
"CLDN11",0.0969
"HLA-K",3.917
"SWSAP1",1.4388
"CICP14",3.6048
"SNRPEP4",7.9691
"SNX25P1",0.5469
"RABL2A",0.4389
"RNA5S14",0
"OR5AP2",0.0142
"CXCR5",0
"SSU72P6",0
"HSD17B13",0.1665
"KMT2B",8.0517
"FRMD4A",2.3695
"ATP1A3",0.0223
"MIR4769",0
"ITFG2",5.8765
"SMIM15",16.2602
"CRYBB2P1",2.7995
"SPAM1",0.0047
"TRAJ35",0
"AHCYP3",0.0111
"LINC01571",0.0149
"MBD4",7.8481
"CRIM1-DT",0.2336
"FAM189A2",1.6364
"RNU1-97P",0
"RNF208",4.412
"RPL35AP30",0
"PLA2G12A",4.2528
"SLC39A13",26.7884
"TNPO1P2",0.0802
"RN7SL606P",0
"TCF4",4.9579
"ABCA4",0.6291
"COTL1",17.8544
"TBCK",1.5879
"BLVRA",33.1929
"RNU6-389P",0
"EIF4A2P1",0.9385
"RNA5SP140",0.3098
"LYPLAL1-DT",0.2756
"MTND4P2",0
"ZNF442",0.5641
"KCNK13",0.1582
"RPL36AP40",0.3996
"NDRG3",15.9681
"MFAP5",0.2795
"ART4",0.0055
"RNU6-75P",0
"SPANXN1",0
"RNA5SP357",1.4372
"RNU6-1035P",0.1332
"PRICKLE2-AS1",0
"LINC00900",5.4784
"BFSP2",0.0069
"TAF11L12",0
"EMBP1",0.6282
"FAM163A",0.0343
"ITPRIP-AS1",0.0299
"CRPP1",0
"AP3S2",1.5414
"MIR3670-2",0
"NUDT17",1.6514
"LINC00347",0.0216
"RNA5SP203",0.2096
"LINC01627",0
"WNT9B",0.0774
"EIF2AK3",9.6572
"FRY-AS1",0.0511
"RNU7-95P",0
"MIR3180-3",0
"OR2G1P",0
"PLGLA",0
"PRPS2",15.5959
"SNORD34",0
"GPR26",0.0076
"HYAL2",12.512
"RNF41",5.6316
"HSPB9",0.1261
"GUSBP2",0.1858
"QARS1",34.577
"LINC01424",0.1521
"RAX2",0.0059
"DCLK1",1.1035
"CCND3P2",0
"EIF4E3",1.99
"ARAP3",3.9352
"RNA5SP452",0.3593
"TLK2P2",0.14
"SFXN1",3.3843
"OMG",0.0743
"RNU6-1180P",0
"HFM1",0.1443
"MTND5P23",0
"H2BC19P",0.4915
"TFAM",3.3406
"RNU6-557P",0
"RNVU1-6",0.4345
"MTND1P11",0
"WDR72",1.513
"GKAP1",0.2993
"PCDHGA11",0.1177
"MIR516B2",0
"TRAV1-1",0.0364
"UBE2V1P5",0.0704
"NCEH1",2.8665
"RNU6-297P",0
"WFDC21P",0.1686
"ZDHHC22",0
"OR7E121P",0
"LINC01689",0
"RPRM",0.0678
"B4GALT1-AS1",0.7777
"PDGFRL",22.0855
"SNRPD2P1",0.6039
"RN7SKP81",0
"TSNAX-DISC1",0.004
"LRP1-AS",0.6161
"VWFP1",0.0196
"ITPRIPL2",12.3865
"CYP3A43",0.1351
"SNRPCP14",0.139
"PUS7",6.3057
"LINC00334",0.0159
"RPL5P31",0.0224
"MIR1205",0
"TUFM",58.8168
"RNU4-79P",0
"CYP2T1P",1.3088
"HNRNPA1P42",0.1638
"SLC4A1APP2",0
"SS18",12.1344
"RNU4-51P",0
"EGLN3-AS1",0
"FAM135A-AS1",0.0817
"CSRNP3",0.473
"AGAP13P",0.1178
"ST6GALNAC4",11.0659
"CCNT2-AS1",0.3602
"KIF15",3.7161
"SMARCA5",15.1039
"PLAG1",0.7169
"FOXD4",0.0505
"TTC17",5.7494
"RAB9AP1",0
"EFNA1",11.9789
"GXYLT1",6.3154
"UQCC3",6.6745
"RN7SL854P",0
"SNORD8",0.7774
"GALNT9",0.0082
"FAM90A3P",0
"USP42",2.1483
"EIF4A1P10",10.6307
"LCE1C",0
"RN7SL91P",0
"TACSTD2",0.1637
"RNU7-45P",0.4525
"MIR548BB",0
"RNF213-AS1",0.1574
"RNU6ATAC16P",0.4131
"RUNDC1",4.5241
"MIR378D1",0
"NTF6B",0
"MRPS18CP4",0
"LINC02243",0.0148
"USP30",2.2981
"RN7SL163P",0.1033
"SNORD116-3",0
"SPSB1",2.1946
"ELK4",5.153
"USP45",1.6888
"MAP3K2",6.4215
"BRINP3",0.929
"TPI1P3",1.1556
"MCUR1P2",0
"OR2U2P",0
"RN7SL531P",0.0505
"MIR3118-1",0
"LINC01674",0
"HSPE1P7",0.2664
"TUBB4BP7",0
"MIR4420",0
"MIR4668",0.2036
"LINC00309",0.0043
"RFX6",0.0104
"SNORD9",0.8223
"RNU6-927P",0
"SNHG20",1.1793
"LIMS1-AS1",0.5378
"RNU2-46P",0.1261
"PPIAP3",0.3387
"ITGA2B",0.0591
"RN7SL75P",0.3043
"OR2AI1P",0
"MIR1587",0
"RNU6-329P",0
"CYB5AP4",0
"ADAMTS8",0.1166
"CRY1",5.4143
"RNU6-129P",0
"CYP4F2",0.0045
"PNPT1P1",0.0493
"SLC49A4",1.4229
"LINC01140",0.558
"B4GALT4",1.889
"BIN1",3.5482
"MTND1P29",0
"ETFDH",3.3022
"CAMK1G",0.2716
"MED26",2.0643
"DHFRP1",2.2947
"TMEM97",12.425
"RN7SL677P",0
"LINC01778",0.0322
"ZDHHC20-IT1",0.4859
"LY75-CD302",0.0025
"VIT",2.1206
"LINC01649",0.0613
"NPIPB10P",0.0842
"MIR4300HG",0.0077
"RNU7-79P",0
"LINC00921",0.6352
"NTF3",0.9668
"MIR518E",0
"REP15",0.2115
"KCNB2",0.0119
"CDK5RAP3",7.9433
"STAU2-AS1",0.0375
"RPL26P30",0.8839
"RNU6-581P",0
"RN7SL569P",0.0495
"LINC00544",0.0664
"PKN2",8.3051
"TPM3P1",0.1336
"GPR89B",1.2969
"MTND6P17",0
"FAAP20",2.9259
"PCMT1",21.0262
"C12orf65",2.2655
"GPR55",0.0207
"CEACAMP7",0
"ZNF343",3.4994
"MELTF",5.7991
"LINC01388",0
"MYOZ1",0.0647
"MIR3168",0
"DLGAP5P1",0
"SPRR2G",0
"RN7SL246P",0.0963
"ZNF70",6.3646
"DNM1P34",0
"SUMO4",0.1337
"LURAP1L-AS1",0
"AZU1",0.04
"IPMKP1",0
"ELOBP2",0.3212
"MFSD2A",4.2327
"RPS3AP26",22.0875
"SNORD65C",0
"HRG",0.0056
"AP1G2",2.5562
"ZNF510",3.1124
"BLOC1S6",6.0508
"RNU6-945P",0
"NOL4L",3.5148
"RPL31P52",0.2718
"DEFB135",0
"MIR4655",0.1926
"RNU6-79P",0
"MIR6724-4",0
"MED8",25.4371
"SEPTIN4",3.0188
"RUNX1T1",1.0962
"RN7SKP173",0.1357
"SYP",0.6067
"MTND4LP7",0.097
"LINC00330",0.042
"TRAJ44",0.4525
"CA8",0.0271
"TDRD7",4.5264
"ESPN",0.8785
"LINC02325",0
"MIR577",0
"MIR450B",0
"RNU7-175P",0
"DUSP7",10.9239
"CYFIP2",1.3064
"LINC01551",0.0154
"PHKA1",1.1537
"RN7SL789P",0.1459
"MLNR",0.115
"IARS1",36.5697
"HSPE1P11",0
"GXYLT1P6",0.06
"HSPE1P28",0
"KBTBD7",3.411
"FUT8",6.839
"TRAF3IP2-AS1",0.6004
"MIR4646",0
"B3GAT3P1",0.389
"VTA1",6.4236
"HLA-P",0.0191
"CCND1",33.3794
"RNU6ATAC",0.6787
"RPL21P65",0.1835
"IL18BP",1.8825
"CYCSP52",0.2299
"PRKACG",0.0443
"RNU6-241P",0
"EFNB1",29.3046
"RNU7-56P",0
"OR7E108P",0
"APONP",0
"ACBD7",0.0666
"USP28",9.4725
"CTNNA2-AS1",0
"RAD1P1",0.1402
"SPACA7",0
"PIGC",8.0959
"PNMA8C",0
"LINC01497",0.1979
"RNU6-464P",0
"RNU2-52P",0.5251
"HSPE1P24",0
"KCNK2",8.8758
"H3P30",0.0364
"RANBP17",0.2334
"GPHA2",0.0308
"PLAAT5",1.5482
"MIR216B",0
"IGKV1-32",0
"FAM107A",0.2009
"RPS2P39",0
"MT1G",5.0358
"HNRNPA1P58",0.0235
"CFAP73",0.0908
"BACH2",0.8039
"SSBP2",1.0307
"PHLDB2",2.0809
"RPS2P5",83.7791
"TANC2",3.253
"NPM1P13",0.0659
"RN7SL183P",0
"F13B",0.1222
"MTND1P31",0
"PPP1R2P1",0.1051
"IL1R1",23.3676
"CROT",3.8501
"SNORD115-8",0
"RNA5SP420",0
"RPSAP23",0
"CEACAMP5",0.0148
"MIR6089",0
"NCBP2-AS1",0.4058
"FGF12-AS3",0.049
"ARRDC5",0.0522
"EFCAB6-AS1",0
"OR1F2P",0
"NANOGNBP2",0.0773
"TDRD12",0.0122
"AKAP8P1",0.0211
"COX18",3.2668
"TMPRSS5",0.2088
"LINC02144",0
"CCDC174",4.2284
"POLR1C",6.0996
"PHC3",2.357
"OR12D1",0
"KCNH7",0.0029
"LINC01431",0.2542
"GOLGA4",14.5391
"LINC01733",0.0124
"BACH1",7.5851
"HEG1",17.4029
"RNU6-763P",0
"A2ML1-AS2",0.0369
"GAPDHP50",0.0144
"OPTN",10.1969
"OR2T5",0
"SNRPFP2",0
"OR6C76",0
"OR5B10P",0
"KHDC1L",0.015
"EFNB2",7.8818
"ROPN1L",0.0314
"ID2",15.5321
"ADAMTSL4",0.4299
"KAZN-AS1",0.0492
"LINC00686",0
"DIP2A",2.112
"SNORA28",0.4525
"TUBB1P1",0
"FTH1P24",0.0308
"KRT18P38",0.0111
"TOPBP1",13.3576
"RPL5P35",0.2445
"RNF180",0.2465
"LINC00622",0.4993
"UHMK1",14.0489
"ASF1A",7.4687
"LINC01389",0.5902
"SLC14A2-AS1",0
"APOBEC1",0
"MTBP",1.051
"USF1",25.3199
"RNU6-561P",0
"ORMDL1",9.5424
"TYW3",7.2929
"HMGN1P20",0
"SCMH1",10.6788
"DDX56",15.8114
"EXOC8",3.0489
"CHAT",0.0048
"ZNF528",1.4403
"MAGED4B",1.1294
"MTRF1",3.9926
"S100B",0.2165
"MPIG6B",0.0243
"NOP16",3.1323
"RPL21P42",0.0307
"RNY1P13",1.0859
"YTHDF3",14.5645
"SEPHS1P4",0.3515
"RPS10P2",2.1927
"LAYN",6.8542
"ZNF100",1.8861
"IL6",0.3513
"CENPX",17.0172
"FBXO45",5.1753
"RN7SKP29",0
"LINC00265-2P",0
"LINC00278",0.2391
"FAM230E",0.0048
"DDX18P4",0.029
"OR5D3P",0
"C1QA",14.5101
"PLS3",49.5376
"HCAR2",0.0278
"PRR27",0
"BECN2",0.0108
"ZNF497",0.1682
"CNOT9",10.7869
"IFNA1",0.0124
"MRPL3",36.2267
"LINC02199",0
"LINC02137",0.2006
"DGAT2L7P",0.0575
"LINC00884",0.1268
"ZNF462",4.9841
"MIR3685",4.1378
"DEFA9P",0
"SEC22B4P",2.2779
"KIAA1109",2.6527
"H3-4",0.0296
"LINC01470",0.3679
"CENPB",42.9879
"CPD",7.489
"SINHCAFP1",0.1949
"H2AC17",1.4869
"CAP1",181.7603
"ZNF324",1.4469
"ADH5P3",0.0877
"ATOH1",0
"NPHP3",0.7302
"RNU6-957P",0
"ZBTB20-AS1",0.028
"LINC01444",0
"RNU5A-5P",0
"RPL23AP77",0.0616
"LINC01250",0
"EPB41L1",3.3949
"RBM22P7",0
"EIF2AK4",13.3882
"GAGE12J",0.1317
"MIR8065",0
"ATP5MGP7",0
"ARRDC3-AS1",0.1409
"RPL23AP27",0
"RCHY1",2.4597
"DPM1",26.4147
"ZBTB5",3.1326
"FANCD2OS",0.0526
"ZNF830",4.6196
"RPS15AP28",0.0369
"RPS26",60.3322
"MIR379",0
"RAI14",21.5908
"RNU6-434P",0.1332
"MRPS14",16.6479
"BLK",0.0386
"LINC01775",1.3446
"STX16",9.0338
"LINC02337",0
"RN7SL89P",0
"FAM221A",0.279
"RNU6-359P",0
"ELOCP32",0.132
"RNA5SP334",0
"RFESDP1",0
"S1PR5",0.6755
"NBPF17P",0.0673
"KRTAP10-2",0
"LINC01039",0
"CNN2P9",0.3293
"GOLGA6L16P",0.0439
"NANS",13.8904
"TPM1-AS",0.153
"RBPMS2",1.6348
"KLHL32",0.0138
"NPM3",11.15
"MIR3942",0.2615
"RNU6-529P",2.1927
"RN7SL453P",0
"TULP3",29.7592
"TRAV8-6",0.0254
"UBASH3A",0.0184
"RN7SL106P",0
"RBBP8NL",0
"RUNX2-AS1",0.0094
"LINC00266-4P",0
"ADAD1",0
"C2orf27AP2",0
"RNU6-940P",0
"CREB3L3",0.0053
"BMS1P13",0.0161
"PCDHB2",4.9776
"PACRG",0.0437
"ATOX1",6.6678
"CUX2",0.0261
"SNRPC",46.2392
"CCDC175",0
"GPR20",0.0376
"A2ML1",0.0254
"PPIAP44",0.1101
"RNA5SP499",0
"NPTX2",0.7892
"SNORA46",0.4223
"NFE2L3P1",0.1019
"ELMSAN1",3.4035
"SNX4",18.5244
"MTCO1P39",0
"SLC52A3",0.2524
"GABARAPL3",0
"APCS",0
"KLF4P1",0.012
"ANKLE2",4.3879
"LINC01118",0.0189
"RNA5SP295",0.1178
"KCNIP4",0.1377
"IER3",17.91
"SCGB1C1",0
"NLGN4Y-AS1",0.1607
"SLC7A5P1",0.4247
"RN7SL87P",0
"EIF4EBP2",22.6777
"RNU6-727P",0
"LHFPL3-AS2",0.036
"KRT17P3",0.0226
"C3orf52",0.5563
"ZNF169",0.5932
"HLTF",9.2342
"NPR3",0.0448
"RAB1B",67.2921
"SNORA47",0.6197
"BMP7",3.7827
"WNT7B",1.2557
"SNORD32A",0
"HNRNPA1P6",0.222
"RPL19P20",0.1688
"DLGAP1-AS4",0
"MIR28",0
"RN7SL454P",0
"RNU6-411P",0
"ARL1",17.298
"PPIAL4C",0.1425
"C3P1",0
"TPM4",258.7029
"ACSL5",2.9036
"SEC22B3P",0.3464
"ZNF807P",0.1419
"DLGAP4",23.3966
"KCNJ3",0.0084
"PPBP",0.1993
"ELAC2",13.7222
"NMNAT1P3",0
"GNRH2",0.1212
"ACTG1P1",0.6691
"MTPAP",2.86
"FAR2P2",0.0558
"MAGEA1",2.292
"PCDHA8",0.026
"LINC00337",0.6682
"TPI1",260.5592
"LCEP4",0.0439
"IFI44L",3.9862
"LINC01626",0
"KCNAB3",0.6939
"GABPB2",2.7872
"RN7SKP88",0
"LINC02237",0.0308
"MERTK",2.3744
"SNORA1B",0
"GLRXP3",0.1776
"AK3",7.5601
"PTPRK",2.4973
"DNAJC14",4.871
"LAMA1",0.1266
"ZNF718",1.1733
"RNA5SP293",0
"LINC02494",0
"CCDC18",2.6617
"RHOT2",10.5639
"MRPL53P1",0.2234
"C22orf34",0.3558
"ASGR2",0.3606
"CYP2AC1P",0
"LINC02284",0.0168
"NPY5R",0
"LYST-AS1",0.0547
"RASAL2-AS1",2.1717
"IGHV1-24",0.1387
"DMBT1",0.0318
"CATSPERB",0.0101
"MRPL13",7.1685
"MAGEC1",20.0668
"FTH1P14",0.0517
"CCDC13-AS1",0.0066
"ZNF792",0.993
"GPIHBP1",0.6058
"IGFBP7-AS1",0.385
"MIR5698",0
"EGR2",0.2704
"ZNF550",2.1181
"SLC25A5P8",0.2539
"NAA60",3.3489
"MIR551A",0
"OTUD6B",2.7236
"RNU6-99P",0
"CBX6",6.8688
"BLOC1S3",10.1573
"RPL31P54",0
"RN7SKP51",0
"CXCL13",7.0913
"PAXIP1-AS1",1.2509
"DHFR2",1.6458
"MTCO1P54",0.04
"BCAS2P3",0.0186
"ZNF317",8.5486
"RNA5SP105",0
"LINC01305",0.0249
"EGFLAM-AS2",0.6105
"SNORD55",0
"MOXD2P",0
"RNA5SP177",0
"PTMAP9",3.7047
"SNORA65",3.3986
"LINC01823",0
"TMEM189",5.7487
"MIR211",0
"H4C4",0.4111
"CEP192",4.3415
"METTL5",7.3873
"HSPH1",20.2421
"SNORD91B",0.2568
"ELOCP20",0
"TPTE",0.5271
"RNU6-55P",0
"ZNF90P2",0
"AGAP12P",0.0713
"OR7A10",0
"IGLVIV-59",0
"RPL10AP2",2.5715
"RPS6KB2-AS1",0
"RNU6-309P",0
"CLCF1",2.4896
"MCOLN1",8.8375
"ITPK1",4.7088
"LRRC75A",1.4773
"BIRC6-AS2",0.121
"ASXL1",9.4357
"LIMD2",4.5505
"RNU2-18P",0
"GOLGA2P7",0.1189
"CPEB4",3.9918
"TMOD4",0
"CTBP2P6",0.058
"OR5M12P",0
"AOAH",0.5157
"ANKDD1B",0.0173
"VKORC1L1",22.8535
"SLC22A10",0.0045
"MKI67P1",0.1074
"KLF2P3",0
"ONECUT2",0.0992
"RPL12P25",0.0846
