"","x"
"RNA5SP499",0
"RN7SL731P",0
"RNA5SP488",0.28
"NSMCE1",8.6142
"TMEM256-PLSCR3",0.0381
"PKHD1L1",0.0059
"RGS22",1.1662
"HOXD8",8.8384
"COMMD7",8.3828
"RPL9P33",0.0861
"SPTBN2",0.6096
"FBP2P1",0
"STXBP1",6.0946
"DKKL1P1",0
"PACRG-AS1",0
"PTK6",0.1322
"PCDHGA9",0.1128
"RPS4XP6",1.5076
"SNORD72",0.203
"S100A8",0.9523
"DNAJC21",5.4505
"GPAT2P2",0.1693
"SHKBP1",26.2006
"ZNF227",3.2578
"SUCNR1",1.2156
"COL11A2",4.9604
"XKR8",3.3209
"RPS23P2",0.5478
"ZNF624",1.8822
"ZMYND8",12.6473
"PHACTR3",0.1705
"UHMK1",11.5083
"RN7SL633P",0
"CFAP299",0.058
"RPS6P12",0
"RPL7P40",0
"MATN3",2.1508
"ISYNA1",8.3512
"LINC02794",0
"CEP57",6.3227
"RPS20P31",0.0978
"HDAC7",8.9775
"RNU6ATAC25P",0
"OR10AG1",0
"RN7SKP209",0
"RNU6-301P",10.7745
"OR7E106P",0
"RPS10P3",4.2731
"TUBB1P2",0
"OPRM1",0.002
"EPYC",0.1439
"MIR7848",0.4823
"MTND2P2",0
"CSAG2",0.1181
"HSPB6",114.654
"EDF1",133.8934
"RNA5SP323",0.9767
"ALDOAP1",0.1958
"HMGN2",63.2876
"PGPEP1L",0.0103
"GALNT4",0.012
"DPRXP1",0
"RN7SL808P",0
"RPL23AP65",4.8227
"RPL24P8",9.2836
"RHOXF2",0
"PTOV1",14.1106
"RNU7-24P",0
"MIR6889",0
"RNA5SP372",0.1412
"MIR3678",0
"RFX3",0.6237
"RN7SL794P",0
"LINC02323",0.0405
"NR4A3",0.8692
"CROCCP2",5.313
"MAF",20.7743
"PDE10A",0.2341
"ZFYVE27",3.8647
"HNRNPA1P32",0.1012
"EXOSC2",4.6224
"MTND1P28",0
"TRAJ21",0
"RBBP4P2",0.334
"IGLVV-66",0
"SCAT1",0.6899
"MLLT1",27.1416
"BDKRB2",0.4436
"RIIAD1",0.1221
"ZSCAN22",0.9787
"CA13",0.0911
"TRAPPC11",6.2605
"KCND3-IT1",0
"COX17P1",0.9303
"ANKRD65",0.5404
"NECTIN3",1.2971
"ID3",188.2381
"UBBP4",8.7292
"GMCL1",6.4595
"MTCO1P49",0.0202
"CSAG1",9.0408
"HSFY8P",0
"MIR1252",0
"OS9",176.9152
"ATP5PBP7",0.1923
"UBE2F-SCLY",0.0152
"ZNF626",0.5993
"EMID1",0.126
"TPM3P3",0
"E2F3-IT1",0.1218
"SPATA31D5P",0
"RPL26P19",9.0457
"GABRA4",0.0013
"PSMC1P1",3.8872
"VDAC1P6",0.1709
"WASF2",39.53
"MIR8061",0
"GTPBP4",8.7892
"MIR4632",0.5324
"RNA5SP365",0
"CSGALNACT2",18.8235
"SHC4",0.0321
"MIR3925",0
"CNGA4",0.6519
"SLC25A18",0.6062
"MIR4639",0
"MSH4",0.0795
"RNU6-596P",0
"RNU6-181P",0.3035
"MTHFD2P3",0.1469
"NPIPB2",0.1851
"MTCO3P5",0.0682
"PGBD4P8",0
"ELOCP16",0
"C9orf78",14.0722
"RN7SKP298",0
"SUSD2",5.1029
"RHOJ",3.8614
"MIR30C1",0.3649
"VAMP7",23.6838
"SAMD11",0.6366
"TOMM20P2",1.7356
"NAE1",10.0431
"RN7SKP24",0.0572
"CDKL5",2.4821
"TTC24",0.0172
"STK35",8.4261
"CACYBPP2",1.8202
"CASP3P1",0
"RABEPK",6.899
"SUMO2P10",0.0564
"HPCA",0.1305
"CYP2C19",0
"ACTR3",20.3588
"LINC02590",0.1141
"LINC01889",0
"PLOD2",13.152
"SLC2A14",0.0437
"WASH7P",2.0553
"MED28",2.0242
"PTPRD",9.9911
"HNRNPA1P70",0.1942
"MIR606",0
"FAM83C-AS1",0.0461
"PRDM14",0
"SCARF1",2.8279
"RPL7P20",0.2615
"LRFN3",2.2887
"NLK",3.0664
"RNU1-56P",0.297
"RNU6-9",0.607
"SLC35C1",5.4354
"LINC01953",0
"NDUFA8",47.7896
"SNORD1B",0
"SNCG",7.4482
"TRIM4",9.0202
"TFIP11",6.8762
"FDPSP3",0.0962
"RPL22P8",0.3832
"MMAA",1.3008
"HNRNPA1P40",1.6771
"CEP164",2.7499
"YTHDF2P1",0.511
"PLVAP",82.9356
"MIR5194",0.1353
"HIGD1AP12",0
"MIF4GD",8.5492
"DOC2GP",0.0514
"MED28P8",0.0312
"MARK2P10",0.1582
"CRTAM",0.2914
"VAMP1",1.6646
"CCT8L2",0
"LBX2",1.0331
"PLEKHG5",2.4662
"NCKIPSD",3.5211
"SNORD62B",3.021
"RHEB",30.6197
"ZNF853",0.522
"RNU7-129P",0.7857
"GMPPA",15.464
"UBQLN1P1",0
"SEPHS1P7",0
"RNU5D-1",0.6999
"PPP6R2P1",0
"GRIA4",0.0113
"CHMP4A",3.8693
"RTF1",18.5228
"PAPOLG",1.742
"CCR4",0.2886
"LNCPRESS2",0
"HNRNPCP9",0.0567
"TTTY4C",0
"COL6A4P2",0.0851
"FABP5",11.2577
"RSRC1",6.2958
"RNU6-1140P",0
"OR3B1P",0
"UBE2Q2",8.494
"OR4D1",0
"NAA35",4.977
"MIR361",0
"MIR6750",0
"OR11H1",0
"ABCC8",0.0311
"NARS1P2",0.033
"CCDC47",31.484
"ZNF263",2.5835
"MIR6796",0.2619
"COBLL1",0.4414
"LINC01788",0.0234
"LINC01625",0.0384
"TRBJ2-7",0
"RNA5SP190",0
"LYPLA1",10.5057
"AQP5",0.0086
"THAP6",1.2121
"ARRDC5",0.4164
"LINC00929",0
"PCDHGB1",0.2994
"MIR552",0
"DLG1-AS1",0.0383
"GPN3",5.3938
"MT-TA",4.2359
"OR8J2",0
"LCE2C",0
"PLA2G4E-AS1",0.091
"CYP2U1",14.0562
"RPL12P14",1.1267
"GCNT3",0.005
"IGKV2D-36",0
"GOT2P3",0
"MIR514A2",0
"DSG4",0.0035
"RPS15AP12",1.0881
"LINC01632",0.0346
"MIR26A1",0.2109
"TEN1-CDK3",0.2291
"LINGO4",0.0144
"CFAP410",1.3418
"CTHRC1P1",0
"TCAF1P1",0.5456
"TRBV7-4",0.0468
"TUBB2A",4.6729
"CXCL8",1.9422
"RNA5SP361",0
"FREM3",0.0047
"LINC01964",0
"EID1",48.1973
"GSTA11P",0
"OTOP2",0.0234
"NFYAP1",0.1169
"LEFTY1",0.249
"GSC",4.175
"TRIM22",18.3497
"BHLHB9P1",0
"TTC39CP1",0
"SNORD52",0
"SMG1P4",0.0155
"MORC4",0.2414
"MIR4708",0
"LINC02424",0
"CENPU",8.1821
"SLC4A1APP2",0
"RNA5SP379",0
"FBXO24",0.3487
"MIR4312",0.4273
"RNU11-6P",0.4884
"RPUSD4",4.1201
"TRAK1",4.4657
"RNF170",2.4269
"IGHVII-60-1",0
"RN7SKP279",0
"ASIC1",0.0933
"OR5AK1P",0
"CCDC3",18.473
"KCTD2",8.5756
"RGP1",3.5825
"PTPN20CP",0.0706
"YWHABP2",0.5921
"SYT12",6.6825
"POM121L10P",0
"LINC02404",0.0273
"PCNA",50.0046
"CIDEB",0.0559
"SYT5",1.4
"LINC02199",0
