"","x"
"CLCN7",12.8318
"XKR5",0.0277
"LINC01278",3.3524
"SNX9",14.2288
"OR52D1",0
"NARS1P2",0
"RPSAP73",0.2113
"LMCD1-AS1",0.0612
"LINC02276",0
"LINC02605",0.0311
"FAM99B",0.0218
"LMNA",81.4103
"PIP5K1C",19.0254
"FOXN3-AS1",2.482
"RNU6-1217P",0
"MRPL30P1",0.2483
"KRT4",0.007
"LINC02634",0
"RPL21P8",0.0869
"TPT1P12",0
"MIR4310",0
"EIF2S3",62.8442
"CTBP2P4",0.3032
"FUT3",0.0224
"EDC3",12.121
"NFAT5",2.5426
"IER3-AS1",0.6175
"LINC02660",0
"ZNF578",0.2619
"UBA1",117.5111
"OR4G2P",0
"UROD",11.1666
"KRT8P51",0
"RPL10AP6",6.738
"TAF9P1",0
"PRUNE1",18.1447
"KCNJ2",13.2748
"HSD3B7",9.894
"RPSAP68",0
"DNAJA1P3",0.0973
"NFIL3",6.3434
"GSTA4",14.8337
"MXD3",1.9258
"RPS16P9",0.3811
"C12orf10",11.1358
"MSANTD2",2.2286
"UGT1A10",0
"ARHGAP28",1.7955
"HLA-N",0
"RNU6-1336P",0
"ZNF670-ZNF695",0.1163
"TRIM3",2.7263
"PLCG2",1.8989
"MTCO3P15",0.0405
"WBP1LP4",0
"TRGV4",0.3041
"ZNF236-DT",0.8436
"MIR759",0
"REEP5",21.8212
"RHOD",6.0821
"TPTE2P5",0.1271
"NEK4P3",0.0855
"RPL5",181.2178
"GPR143P",0
"RPL22P17",0
"NF1P3",0
"C1orf158",0.0113
"PRTG",0.7532
"PAG1",0.9131
"LINC00278",0
"GTPBP8",1.1841
"BIVM-ERCC5",0
"RN7SKP9",0
"MNX1-AS1",0
"LINC01937",0
"RAB20",7.0897
"MAGED2",471.2208
"RNA5SP432",0
"RNU1-39P",0
"MYCLP1",0
"PLSCR1",9.0621
"PMS2P10",0
"RPS4XP2",0.3811
"LINC00379",0
"RPL35P8",0.069
"OR4A5",0
"CUL4B",42.5613
"RN7SL152P",0
"MRRF",2.1137
"TCTN1",2.5047
"FAM83F",0.0979
"CYP3A7",0.0333
"UBAP1",14.599
"CAPN5",2.2392
"NBEAL1",0.4116
"TSPAN4",20.1284
"ROR1-AS1",0.1115
"DSTNP2",5.5955
"SLC44A4",0.1932
"FRZB",18.9954
"RN7SL251P",0
"RPL23AP17",0.1397
"MIR4308",0
"HMGA2",0.2037
"RHD",0.3648
"RNU7-59P",0.3811
"NMRK1",5.8577
"HSPB1P2",1.2346
"GUCY1A2",1.891
"SNORD114-16",0
"HSPE1P25",0.1852
"MYL6",73.4753
"LINC01632",0.0248
"ZNF316",10.2482
"CACNA1G-AS1",0.0442
"SLFN5",5.1616
"GDF10",0.0473
"C16orf97",0
"METTL22",0.8308
"MIR4422HG",0.0364
"VASH2",2.6785
"LINC02472",0
"SNRPCP20",0
"RBM39",13.6314
"GPSM3",31.6946
"TAS2R15P",0.1753
"TNFRSF1A",70.1859
"GOLGA2P11",0.0088
"SLC37A1",2.2071
"SHISA7",0.0115
"SCGB2B3P",0
"TRAJ36",0
"MTCYBP23",0.0211
"ELOA3C",0
"LINC00518",0.0123
"DUX4L16",0
"GTPBP2",15.7342
"CAPS2",0.2919
"RHOQP2",1.1241
"BIK",0.2683
"NLRP6",0.6596
"MTCYBP16",0.7
"IL2RG",6.2659
"PPIAP86",0
"RNU6-103P",0
"TAS2R40",0
"CHST9",0.002
"ERI3",21.8719
"RBMX2P3",0.0243
"RNU6-853P",1.0862
"TRAJ1",0
"JPH3",0.0587
"NTF3",0.008
"TMEM60",17.2231
"EHD2",63.6066
"CDC42EP3",4.3402
"HSPB2",1.6193
"MIR4684",0
"LINC02544",0.2564
"EIF4EBP3",3.4984
"LINC01616",0
"HNRNPABP1",0
"ZNF747",3.7855
"HMGB1P29",0
"ANP32B",58.8272
"OR2T34",0
"HMGB1P10",0.5367
"RBM22P2",0.0897
"RNU6-256P",0.7189
"RPL18AP2",0.0964
"RNU6-914P",0
"SRSF5",10.9952
"LINC02175",0.0992
"LINC02779",0
"CDH26",0.1092
"CHRNB2",0.0555
"RHEX",0.2941
"ARNT",11.1763
"RNU1-97P",0
"MTMR11",1.4683
"RNU6-572P",0
