"","x"
"RDH11",15.8039
"TLE2",1.0104
"TOP1MT",3.7774
"HSD3B1",0
"RNU6-956P",0
"NBEAP1",0.163
"SERPINA4",0
"LINC01667",0.0086
"CRYBB2P1",5.96
"ERO1B",1.9667
"RAB44",0.0101
"SORBS2",0.0783
"PTGES3P5",0
"GABPA",3.5678
"CYCSP10",0.7304
"LINC02668",0
"TTC23",2.3332
"LINC00578",0
"A4GNT",0
"TLL1",0.02
"BTF3L4P4",0
"RPS12P18",0.2386
"RNU6-696P",0
"OR13Z2P",0
"LIMD1-AS1",0.2471
"MS4A12",0
"IMMP1LP3",0.0959
"HIBCH",1.4666
"MIR4288",0
"ELDR",0
"RPL29P33",3.058
"RNU6-121P",0
"KRTAP3-2",0
"POLR3B",2.2411
"KRT36",0.0115
"LINC01979",0.0407
"OR2L5",0
"DHFRP6",0
"LINC01682",0
"PIANP",0.1644
"GABRB1",0.0479
"ZNRF2",0.9354
"KRTAP24-1",0
"C21orf91",2.2765
"RPS6KA4",12.6407
"ZNF28",1.6176
"RN7SKP111",0
"PDZD8",1.8516
"LINC02101",0
"RN7SKP141",0
"PDGFC",12.0865
"MAGEA10",0.0148
"NDUFA8P1",0
"NID2",4.196
"FBXO25",0.5801
"HLA-G",1.4982
"MTND2P38",0
"LINC02532",0.0097
"LINC02000",0
"TMEM183A",6.3899
"PEBP1P2",1.27
"CEP85",2.6417
"SRMP2",0
"MIR222",0
"RNU6-829P",0
"IGHV5-51",0.3666
"EEF1A1P25",2.5084
"RPS23P6",0.0498
"RNY1P10",0
"GRASP",3.3095
"IQSEC1",12.0069
"AKT1",20.8737
"TMEM205",23.9209
"RPL21P12",0.2919
"OR52N4",0
"LRRD1",0.0029
"CEACAMP1",0
"LINC00504",0.2192
"KRBA1",0.9134
"LINC00161",0.074
"MIR7849",0
"SNRPD2P2",0
"RNA5SP138",0
"SNORA108",0
"CNN2P2",0
"RNF19B",14.8508
"MIR610",0
"MRPL57P7",0
"SLC15A3",5.3764
"CNBP",114.1006
"ZNF841",2.5096
"RAC1P7",0
"SRGAP3-AS1",0
"GUCA2B",0
"SWI5",9.4412
"BEGAIN",0.0425
"EGR1",62.1499
"TRIM80P",0
"BLOC1S2",4.2102
"TCAIM",1.2927
"MUC5AC",0
"SAMD3",0
"RPL7P19",1.4246
"IGLV3-32",0
"RN7SL11P",0
"SIGLEC14",0.5673
"RWDD2A",1.3536
"UQCC1",5.4176
"H2AC9P",0
"CRIP3",0.1838
"GINS2",3.2237
"SNORD114-17",0
"MIR7974",0
"FN3K",1.6194
"CD99P1",0.6383
"PHBP20",0.2888
"TRMT61B",4.3658
"TMEM26",0.227
"DOT1L",4.2883
"MED15P1",0
"HAR1A",0.1027
"CLIC3",0.4379
"ENOX1-AS2",0
"COG5",3.2159
"VN1R76P",0
"FBXO45",3.3814
"OR7E83P",0
"SNRPEP3",0.5446
"RPSAP71",0.0739
"AGAP14P",0.1148
"KCNJ6-AS1",0
"PTTG3P",0.6024
"ALDH7A1P2",0
"ZNF19",0.0675
"LAIR2",0.1195
"RNA5SP477",0
"RPL7AP10",0.1086
"RBPJP6",0.015
"MIR548U",0
"RNA5SP254",0
"GPR12",0.0041
"ZNF197-AS1",0.1379
"RN7SL484P",0
"GUCY1B2",0.0317
"UBE2V1P4",0
"LRG1",0.6991
"OR7E116P",0
"IGLV5-52",0
"RNU6-1230P",0
"SPANXA2",0
