"","x"
"SAMD15",1.8959
"MIR5000",0.6596
"UBE2Q2P9",0
"RGN",2.0302
"ANKRD2",0.6087
"TUBB4BP3",0
"RNU7-190P",0
"CYCSP46",0
"DIPK2A",13.744
"C1QBPP2",1.4823
"JRKL-AS1",0
"RPL37P21",0
"MCL1",149.5115
"SPAAR",0.0843
"VWF",1.5692
"DPP9",14.1936
"H2BC15",0.8931
"SLC25A5P9",0
"VNN3",0.3003
"TRIM60P18",2.7078
"SDR16C5",0.9117
"SNRPCP16",1.2941
"OR8B6P",3.8602
"PATE4",0.0943
"DBH",0.4179
"FCF1P4",0
"SNORD2",0
"MPV17",8.9258
"P2RY1",3.2827
"LRP4",14.6833
"AQP10",0.8893
"TATDN2",6.4867
"C1QL1",162.6363
"POLR3GP1",0
"ATXN3",4.4688
"RNU6-270P",0
"MTND5P16",0
"CACNG3",0.11
"MIR4422",5.7299
"RPS2",465.1341
"LINC01290",0.1353
"LINC01813",0
"SGK1",7.3774
"IZUMO1",0.2586
"EID3",1.253
"PHACTR2P1",0.1922
"TLR3",0.1516
"DPP10-AS2",0
"SLC16A7",3.7438
"PARP1P1",0.4715
"LRP10",25.6877
"PRR30",0.4737
"NPVF",0
"RALY",26.6135
"H2AC12",2.4578
"MIR1468",0
"ADCY3",7.2
"RNU6-454P",24.1282
"RNA5SP36",40.8662
"MIOS",4.2298
"RPL29P3",0.7337
"MSRB1",5.2601
"ZNF30-AS1",0
"ATXN2L",32.9991
"EIF1AXP2",4.6061
"SSX9P",1.324
"RN7SL40P",0.596
"PAX1",0.1392
"NINJ2",6.6679
"MRPL49P1",3.0478
"RNA5SP195",0
"LINC02181",0.1331
"ERGIC3",36.2301
"RNU6-938P",8.5749
"TBC1D15",4.7072
"SNORD116-11",0
"MRPL50P2",0.8457
"TMEM150C",7.0883
"HIF1A-AS3",10.9622
"PPIAP44",0.7869
"SPINK4",0
"MRPS15",30.0092
"WSCD2",0.1761
"VSIG8",0.4484
"LINC02663",2.9625
"ZNF850",1.428
"GUCY2EP",1.0363
"LINC00592",0.2603
"RAB6B",2.8624
"RNU7-107P",0
"RPL29P12",2.3277
"INTS4",3.7918
"OR1N2",0
"MRPS16P2",0
"GOLPH3L",6.8369
"C8G",2.7203
"POMGNT2",3.5396
"SLC5A9",0.5243
"RNF7",10.9023
"NRXN2",2.575
"FTH1P4",3.8086
"PRNP",15.1322
"CTRC",8.8872
"NUP210L",4.9608
"NPC1L1",0.8538
"RPL15",50.9342
"LMNB1-DT",5.7236
"AIMP1P2",0
"SSR4P1",3.5568
"FTH1P1",10.472
"RPS4XP4",5.1645
"PHBP8",1.0308
"AQP4",0.204
"JRK",9.3358
"PHBP12",1.5917
"OR51G2",0
"SECTM1",4.1301
"RNU6-218P",10.9998
"RPSAP55",0
"AKR1C5P",0
"RN7SKP52",0
"RN7SKP223",0
"RPL13A",260.4605
"SMPD3",0.8438
"FAM47E",0.3287
