"","x"
"OR2G1P",0.0085
"RNU6-1146P",0
"RNA5SP175",1.2001
"LINC01862",0.0166
"VWFP1",0.1719
"MAGEC1",16.1616
"FRMD8",6.6618
"RN7SL123P",0.0543
"SLC10A5",0.3059
"TMCC3",1.3274
"DNAJC15",7.1675
"PSORS1C3",0.1338
"RASGRF2-AS1",1.0819
"EFCAB2",1.5191
"ASZ1",0.0414
"LINC02464",0.0862
"PWWP3B",0.2941
"KL",0.171
"IGHD1-1",0
"PI3",5.6927
"FAM83E",0.0471
"WDR49",0.0245
"GLYAT",0.0127
"OR10J2P",0
"PCDHA9",0.0323
"URB1",3.4149
"CHCHD2P3",0.0176
"UBTFL6",0.0697
"MTCO2P11",0.1633
"PSMC3IP",2.0382
"CYP26B1",1.745
"AQP7P1",0.0076
"TMEM147",32.6888
"GAB3",1.1889
"RN7SL630P",0.0267
"COL7A1",0.7159
"FTH1P21",0.5434
"TBX21",0.1669
"PRODH2",0.0232
"KCNIP2",0.5347
"GLYATL1P2",0.0683
"CCT6P4",0.005
"SLC25A51P2",0.0178
"SNORD58C",0
"SLC25A6P6",0
"RPL23AP94",0.1314
"LRMDA",0.5672
"TBX22",0.003
"CYP7A1",0.0188
"NBPF22P",0.1138
"RNU6-294P",0
"BANF1P2",1.8032
"MIR4252",0
"PAGE2B",2.0813
"LINC02612",0
"SLC39A3",4.7723
"RNU6-1266P",0.0756
"FILIP1L",9.1343
"DUX4L29",0
"KCNMB2",0.5645
"MTCO3P28",0.0308
"TTF2",1.5196
"STAG2",7.6384
"MTERF1",1.5414
"RNY3P8",0.2519
"HSPBP1",8.7572
"RNF217",1.0046
"LINC02258",0
"ADAM2",0.0273
"TRBV28",0.2162
"DMKN",0.3858
"GJB7",0.023
"DCAF13P3",0.3866
"UCP1",0.152
"RIPOR1",12.2542
"HCG4",1.7649
"CTNNA1P1",0.2559
"SLC2A3P2",0.0804
"OR52H2P",0.044
"RPL7L1P7",0
"TYMSP2",0.0374
"LDHBP1",0.1134
"IGHJ2P",0
"MIR4538",0
"RPL26P30",1.1809
"NUP153",12.9668
"TMPRSS11B",0.0211
"GBE1",7.4952
"IL23R",0.4267
"TBC1D2",1.8666
"RN7SKP2",0.0249
"LINC01696",0
"MIR526A1",0
"RN7SKP18",0
"SGO1-AS1",0.0039
"TMEM120B",4.3112
"DHCR24",30.1418
"CSTF1",10.4101
"C3",6.1344
"RPL23AP38",0.0677
"RBMXP4",0.1679
"OR14A2",0.0084
"EXOSC6",7.5198
