"","x"
"STAT5A",1.715
"CT45A9",0
"ADH5P3",0.0787
"LINC02273",0.0111
"CYB5R2",0.8122
"RNA5SP459",0
"GTF2H2",0.5313
"TCF23",0.0349
"CYP26A1",0.0075
"NANOGNBP2",0
"PLCH1-AS2",0
"GPR55",0.0542
"PCLO",0.0157
"OR11H12",0
"ZNF793",0.356
"HNRNPA3P10",2.222
"RNU6-470P",0
"LINC02847",0.1601
"NPM1P27",19.9777
"MIR3665",0
"ENO2",23.9662
"NEDD8",11.1165
"SRRM1P2",0
"RNU6-62P",0
"LINC02408",0.0784
"C1S",0.6579
"DUOX2",0.0137
"RAB3GAP1",9.2088
"HCN2",1.8648
"SLC17A1",0
"LINC02459",0
"ZNF767P",2.6215
"RNU6-1322P",0.6274
"UGT1A5",0
"LINC01473",0.2161
"PTP4A1P5",0
"LINC00656",0.0118
"SMARCC1",20.0531
"TRAPPC12",5.5182
"PAICSP3",0.1341
"TMEM255A",0.7424
"LINC02326",0
"RPL12P41",0.6291
"KPNA2P2",0.2855
"NUS1P2",0
"PAFAH1B2",14.474
"TGFBRAP1",6.674
"RPL23AP54",0
"ARMC10",9.3662
"ELOA3",0
"MTRNR2L11",0.4902
"PRSS23",2.1051
"PRKDC",29.4603
"TAS2R42",0.071
"BOD1P1",0.1026
"LINC00362",0
"LINC01256",0
"MTND4LP14",0.1554
"MIR6719",0.2572
"RN7SKP18",0
"SNORA71C",3.8409
"ZNF579",2.3246
"OR4L1",0
"RN7SL604P",0
"FGD3",5.7444
"OSBPL10-AS1",0.0097
"FAU",84.4297
"H2AC7",3.4164
"NFATC2IP",12.0622
"LINC02453",0.105
"ATP1B2",0.7992
"LINC01222",0.2883
"CKS1BP5",0
"PCDHGB9P",1.7535
"RPL10P14",0.6758
"TRBV7-9",0
"KRTAP10-8",0.0255
"ATP5MC3",14.3736
"RNU1-39P",0
"IGHVIII-47-1",0
"UBA52P5",3.2876
"MIR4676",0
"CENPP",1.4805
"RNU6-159P",0
"HSPE1P11",0.2166
"NIFK",30.644
"HNRNPA1P11",0.0234
"FAM71C",0
"JMY",1.4527
"TRBC2",0.2834
"MIR8054",0.2602
"SMIM10L2B",0.166
"RPL23AP89",0.0878
"TAS2R38",0
"ZSWIM1",5.3902
"SRGAP3-AS2",0.0156
"PPM1N",0.4178
"RNU1-56P",0.1364
"CLDN12",5.5072
"B4GALNT1",8.2541
"CRYBB3",0.3355
"ANKRD33B",0.0915
"FAM66A",0.7142
"COX6CP13",0
"OR6F1",0
"SHISAL1",1.233
"CRLF1",8.9865
"HUWE1",17.5773
"CNOT6L",4.441
"TMEFF1",0.0343
"MIR3169",0
"RABGAP1L-DT",0.2319
"TOB1",9.2758
"RPL21P39",1.2046
"CTAGE6",0.0086
"TPT1P12",0.3639
"WHSC1L2P",0.0949
"ZC3H8",4.0482
"RPS11P7",0.8662
"ARHGAP17",6.9154
"LINC02504",0
"RN7SL252P",0
"MIR762",0
"PA2G4P2",0.6154
"OR4R2P",0
"HSP90AA6P",1.2067
"RN7SL586P",0
"LINC01653",0.0388
"FAM217B",5.4524
"MIR124-3",0
"VPS16",9.5389
"PNLIPRP2",0.0142
"TBC1D3C",0
"DKK3",18.007
"ACSL3",20.7916
"IGKV1-22",0
"MIR4633",0
"LINC02560",0
"HERC6",0.6992
"EMILIN3",5.0107
"SLC25A14P1",0.2235
"MIR4512",0
"VDAC3P1",0.6055
"RNU4ATAC8P",0
"UQCRHL",4.0238
"CFDP1",5.5117
"MTA2",26.6878
"ANGPT4",0.8614
"MIR221",0.4069
"MIR374A",0
"HTD2",0.0634
"VN1R64P",0
"SEPTIN3",0.1855
"RNU6-114P",0
"KMT5AP1",0.4001
"ACVR1C",1.0976
"MIR1302-3",0.4865
"RBIS",5.0202
"RHBDF2",8.0052
"RN7SL471P",0
"ZPR1",8.433
"PKN1",19.1707
"RALGDS",6.1989
"HARS1",7.9498
"GPR33",0
"SNX19",9.7749
"COL6A4P2",0.0117
"IGLVI-56",0
"CARMIL1",0.4149
"RPL39P28",0.2887
"RPP40",1.9617
"PTCHD1-AS",0
"LINC02634",0.0589
"SYS1-DBNDD2",0.2873
"TPPP",0.1449
"RNU6-1214P",0.4106
"SPATS2L",29.9842
"RN7SL357P",0
"RNU6-887P",0
"CDK4P1",0
"CCR10",0.4016
"LINC02307",0
"VMP1",9.9591
"TDO2",0.0723
"LNCARSR",0.0234
"MIR4664",0
"SPATA31D3",0
"PRSS47",0.0443
"ZNF623",7.6783
"TMLHE-AS1",0.0364
"RB1",3.7761
"RN7SKP81",0
"EIF4A3P1",0.0346
"FAM21FP",0.1072
"ZNF541",0.1154
"RPS6KB1",4.2647
"MTTP",0.0083
"FCAR",0.0284
"CLN6",24.6917
"MIR7106",0
"IFNL4P1",0
"RN7SKP122",0
"RNU6-588P",0
"LINC02168",0
"DCT",0.0356
"CEACAM20",0.0306
"CLDN8",0
"CFL1P8",0.1413
"KRT8P28",0
"RNA5SP92",1.8309
"UBE2E1-AS1",0.3451
"NUDT19P3",0.0403
"TPT1P9",18.8073
"RPF1",25.3686
"GUCY1B1",9.8787
"LCN2",0
"OR5M12P",0
"FTHL18",0
"BANF1P2",1.0171
"NLK",2.5
"ZNF141",0.5766
"EPHA1",0.0567
"ULK2",3.2101
"H3P44",0.3651
"OR6L1P",0
"ALOX12-AS1",1.4677
"PLCG1",21.7602
"SPANXA2",0
"PRRC1",19.2739
"MIR3689A",0
"ERFL",1.0445
"RNU6-1331P",0
"PI4K2A",7.9007
"TPTE",0
"ITPRID1",0.0124
"LINC02618",0.1146
"MFAP1",15.5594
"UTRN",4.1371
"RNA5SP225",0.4973
"LINC00374",0
"RNU6-1186P",0
"RPS17P13",0.055
"LINC01914",0.5482
"DDX55",6.1876
"RPL21P40",0.1853
"IGKV1OR2-3",0
"RNU6-630P",0
"MIR3160-1",0
"RNU6-399P",0
"OR9K2",0
"MIR3908",0.5328
"RBMY2CP",0
"WFDC5",0.0429
"HCG14",0.1625
"DRD3",0
"NDUFA3P6",0
"TBX22",0
"RN7SKP160",0.9872
"LRRC24",0
"RN7SKP59",0
"UROC1",0.0202
"MCUB",2.874
"JAKMIP1",0
"OR1L6",0
"SHLD2P1",0.0616
"FERP1",0.4515
"FAM171B",2.7002
"ANKDD1A",1.5711
"FIGNL2",1.0634
"ZNF276",2.3411
"CHRNA3",0.0704
"PDE4D",2.6356
"RN7SL833P",0.394
"CYP4F12",0
"LINC02506",0
"PRAMEF31P",0
"LINC01230",0.0593
"CFHR5",0.008
"BOLA2B",0.4098
"MFAP1P1",0.1248
"RNA5SP160",0.7459
"LRRC36",0.195
"MYH4",0.0074
"GABARAPL3",0
"TMA16P1",0.0724
"HDAC6",6.9569
"LINC02362",0.1132
"PHACTR2P1",0.1899
"RPL26P20",0.1036
"TFDP2",1.4539
"ATP5PFP1",0.3475
"LINC00888",3.9903
"RANP4",0.3416
"NRG2",0.1485
"SPOUT1",3.3958
"MIR3713",0.4973
"MIR325",0
"OR2I1P",0
"DOCK11",3.0557
"LINC02704",0
"MRPS16P3",0
"OCSTAMP",0.5038
"MIR4297",0.2944
"ARHGEF18",0.7501
"FAM149B1P1",0.0417
"TTC14",4.2207
"OR10J6P",0
"QRSL1",2.0477
"TATDN2",5.8192
"RPL32P3",1.9327
"CX3CR1",1.4755
"CT45A1",0
"OR4C10P",0
"NLRP3P1",0
"HHEX",3.1904
"TSPO",17.9633
"OR4C1P",0
"NDUFS5P3",0.4183
"ABCC11",0.0371
"ABHD8",5.5994
"RPL5P34",14.5163
"ASL",6.3314
"KIF28P",0.1275
"RN7SKP10",0
"SLC7A13",0
"ALCAM",14.4724
"RPL30P5",0.1998
"EIF4E",2.2907
"LRG1",0.0857
"RNU6-659P",0
"GGCX",16.2676
"LINC02427",0.1072
"LINC01945",0.0266
"RNU6-135P",0.2216
"NUS1P3",0.026
"MIR3171",0
"SYNJ2BP",5.315
"TAB3-AS1",0
"SIGLEC12",0.2542
"RN7SL352P",0
"KCNB2",0
"CNTLN",5.8471
"C5orf51",10.8593
"AMMECR1LP1",0
"RPSAP39",0.1267
"FAM163A",0.0692
"SCGB3A1",0.2116
"XAGE5",0
"ANGPT1",73.6018
"RN7SL326P",0
"RPS27AP10",0.1076
"SNORD108",0
"MCM9",0.8667
"ERVFRD-1",0.0276
"MTND1P1",0
"ZBTB20-AS3",0.0965
"MTND2P33",0.0434
"LINC00993",0
"FAM9A",0
"ELOCP33",0.0354
"TMEM262",0.699
"ZDHHC20P2",0.0522
"RPS6P14",0.0622
"RPS26P21",0.5787
"RPAP2",1.9477
"CPDP1",0
"DUSP18",0.9202
"BAG1",4.0568
"HSPE1P22",0.0684
"RNU6-967P",0
"NAT10",7.6455
"RSU1",12.7984
"MAT1A",0
"C11orf16",0.0429
"DCUN1D4",5.8166
"RNU4-47P",7.8516
"ZGPAT",1.872
"RNA5SP214",0
"ZYXP1",0
"RNU6-271P",0
"TRBV12-5",0.0544
"SNRPBP1",0.4761
"RPL7L1P13",0
"TRIM55",0.7045
"RN7SL683P",0.1658
"ATP5F1EP2",7.1491
"TUBB2B",3.7431
"LINC01411",0.1098
"CRADD",1.1461
"NCLP1",0.912
"NTNG1",0.1739
"RPL32P26",0.2776
"RN7SL14P",0
"SEC61G",103.3579
"MIR3122",0
"RAD51AP2",0
"LINC02446",0
"USP8P1",0.0914
