"","x"
"LINC01673",0
"MTND6P5",0
"DPYD-AS2",0
"ANKRD39",2.5425
"NECTIN3-AS1",4.6444
"DYRK3-AS1",0.734
"POTEH",0
"PTTG3P",0.0619
"KIAA0895",0.2399
"KRT33B",0.0224
"LINC00609",0
"LANCL3",0.2369
"VN1R13P",0
"RNU4-51P",1.6088
"ELOA",18.8495
"GRAPL",0.074
"CTRB1",0.0369
"RPS27P27",0.1472
"PRDX1P1",0.189
"PLSCR2",0.1174
"LINC02353",0
"CICP1",0.0156
"LYZL4",0
"CCNQP3",0.0606
"CCDC110",1.0858
"CEACAM4",0.4403
"CHMP1B2P",0
"OR2T12",0
"CCNDBP1",3.0295
"UGT1A8",0
"ST3GAL3",6.3283
"ZFP1",5.7391
"ALMS1-IT1",2.0311
"LINC01411",0
"ENO4",0.0949
"LPP-AS1",0.076
"RECQL4",8.7821
"RPS20P24",0.208
"UBR4",6.1751
"GRPEL2-AS1",0.0936
"TTTY8B",0
"GRIN1",0.0056
"NACC2",4.3358
"GOLGA2P3Y",0
"OSGEPL1-AS1",0.5674
"MIR4489",1.8164
"UGT2B28",0
"MT1XP1",10.8984
"SPANXB1",0.08
"RNU6-394P",0
"TBCCD1",5.0603
"NDUFS6",50.5261
"SLCO3A1",7.3765
"RPSAP44",0.3397
"CPDP1",0
"YWHAZP8",0
"IGHV3-48",0
"KLK1",0
"CORO2B",0.8544
"LMO2",5.6387
"CTDSPL2",5.1618
"ELL2",15.3606
"GZMA",7.5582
"ISCU",10.723
"IRF2BP2",25.7066
"NAGS",0.7981
"TMEM167B",26.8369
"CSMD2",1.4968
"RPL23AP19",0.1017
"KRT18P54",0
"MAP3K19",0
"C4BPA",0
"IGHV3OR16-12",0
"LPAR5",1.5555
"LRRC59",27.5504
"OLFML2B",87.7189
"LINC02690",0
"SEC22A",4.2988
"PGAM4",0.1963
"OR8B1P",0.0409
"BEAN1-AS1",0
"DMAC1",8.221
"TPRX1P1",0
"PGAM1P3",0
"GOT2",29.1559
"OR10S1",0.0335
"GOLPH3",56.3015
"PIK3IP1",3.4135
"FAM245A",0
"OR2B11",0
"NPM1P21",0.0493
"SRGAP1",1.0047
"BBOF1",4.087
"MRPS23",10.1394
"LINC01495",0
"ODAPH",0.1279
"LINC02474",0.2473
"MIR3202-1",0
"CBS",0.0055
"HDLBP",32.9844
"GTF2H1",5.2746
"RNU6-1319P",0
"MIR3622B",0
"SLITRK2",0.0334
"PIK3C2A",2.6266
"APH1B",3.2524
"HNRNPA1P25",0.0401
"RNU6-1047P",0
"MME-AS1",0
"CKLF",29.3909
"PPIL3",4.4057
"AGTRAP",22.3537
"PMM2P1",0
"RNU6-121P",0
"MIR323A",0
"LINC02022",0
"AKR1D1",0.0243
"RNU6-992P",0
"RPL26P9",0
"RNU6-83P",0
"GUSBP5",1.5934
"PABPC1P4",0.6607
"LINC01609",0
"UQCRHP2",0.2607
"SCX",0.1127
"AVPR1A",0.9569
"RNU6-1034P",0
"DNAJA3",5.6486
"C17orf64",0
"AKR1B1P8",0.0802
"KLHL10",0.0475
"DPP10-AS1",0
"MIR643",1.935
"APONP",0
