"","x"
"ATP5F1C",52.4325
"CHD1L",9.3868
"BRD7",9.8717
"FGF7P2",0
"COX15",8.6596
"HNRNPA1P63",0.0739
"RN7SL697P",0
"ZNF638",14.684
"MAP3K3",8.6718
"RN7SL181P",1.0272
"ZHX2",13.5977
"CFAP73",0.103
"PLAG1",0.4359
"IFNLR1",0.0867
"PPIAP33",0.0641
"MEP1A",0.0239
"CTBP2P5",0.0563
"EEF1DP5",0.4607
"OR4K5",0
"FAM27E3",0.2009
"PPIAP36",0.1094
"LYRM4",2.5386
"RNA5SP157",0
"VDAC2P1",0
"TEX13A",0
"LINC02149",0
"NCK1",5.4777
"SEC63",24.2841
"MT1H",1.5742
"TCAIM",2.3318
"OR7E39P",0
"TBC1D1",11.0693
"FITM2",5.6557
"MIR3196",0
"RPS7P12",0.0611
"ARID3A",0.8879
"MED28P1",0.1246
"CHIC1",2.2348
"EEF1A1P27",0.0313
"CCDC166",0
"TRAJ35",0
"RNA5SP163",0
"TYMSP1",0
"EIF4E2P2",0.0483
"RNU2-28P",0.3764
"IGHV3-47",0
"TRMT112",66.2306
"EIF4A1P3",0
"MTND2P2",0
"IGHVII-26-2",0
"RN7SKP172",0
"KCNMB3P1",0.021
"TMEM44-AS1",2.8924
"TVP23CP1",0
"RPL5P29",0.9548
"IGLC6",0.4488
"ADAM24P",0
"PVT1",0.4597
"KRT19P1",0
"DNM3",0.2763
"LINC02828",0.1277
"SOCS4",7.3628
"SLCO1B1",0
"MAGEA13P",0
"ACTA1",3.9968
"STXBP1",2.6367
"CNR1",0.1846
"GAGE12F",0
"SNORD14C",0
"TMEM125",0.0167
"RNU6-1032P",0
"RPS24P16",0
"GEMIN5",4.7889
"CDKN2B",4.4962
"RPS8P4",0.1135
"SLC4A1AP",7.8346
"RNA5-8SP7",0
"MCM8",5.7667
"LINC00379",0
"RAD1P1",0.0437
"DENND4B",5.0696
"TRIML2",0.0117
"FAM149B1",2.4225
"MIR320A",0.4337
"LINC02445",0
"RNF146",14.4578
"RNA5SP136",0.3324
"RBMXP2",0.4872
"FAM86FP",0.8945
"CHCHD5",3.1508
"CDCA4P2",0.0495
"LINC01298",0
"OR7E38P",1.6249
"INSL4",0
"KCNQ1-AS1",0
"MOAP1",11.2013
"RNA5SP30",0
"WDR26",10.3127
"SNX18P7",5.265
"C17orf77",0
"ABHD17AP8",0
"HOXC-AS2",0.7383
"ZNF519P4",0
"SNORD115-24",0
"RNU1-47P",1.091
"RN7SL862P",0
"LINC01939",0
"ANKDD1B",0
"SNORA12",0.2419
"TEX35",0
"CTBP2P6",0
"SYT13",0.0066
"NRBF2P1",0
"DCTN6",7.9415
"NDUFA5P4",0
"CSGALNACT1",0.9027
"LINC00330",0.0175
"LINC00958",0.0323
"CRYGA",0.0584
"RNU6-923P",0
"LINC01539",0.0103
"EPB41L1",1.3848
"RN7SKP206",0
"RNA5SP174",0
"TYMSP2",0
"LINC01106",0.6667
"NCOA4P3",0.0758
"PCBD1",9.7621
"SLK",9.1972
"VWA5A",4.2549
"GTF2H2C",0.6667
"DIAPH1-AS1",0.0143
"H1-9",2.3925
"OR5AR1",0
"RNU4-33P",0
"TOX4P1",0.1146
"COPS5",12.7837
"MYO1F",0.886
"RASSF5",0.6307
"RPL29P19",4.4072
"FITM1",19.5026
"EIF5P1",0.2889
"DOCK1",7.8192
"MIR4667",0
"RNA5SP38",0
"CDC42EP4",1.165
"CD2",0.7838
"CYP4F25P",0
"MEPCE",23.3055
"SIX3",0.4229
"MTDHP5",0
"RNU6-256P",0
"TUB-AS1",0
"RNY1P9",4.2419
"THAP12P4",0
"TRAV8-5",0.0859
"CCL22",0.0486
"HNRNPA1P39",0.4446
"H3C15",0
"IGSF3",6.527
"ABCF1",23.2367
"VN1R48P",0.0343
"TRGV5",0.3328
"TMTC1",7.9172
"CEP104",3.6533
"FASN",10.287
"MIR483",0.3176
"SNRPGP10",7.7456
"KRT8P47",0
"RPN2",183.0314
"C11orf24",13.9301
"ZNF497",0.5202
"LINC00211",0.0137
"PCDHA6",0.0116
"ZNF90P3",0.0298
"LINC01624",0.7584
"JOSD1",29.1291
"LMF2",24.8408
"TUBB8P9",0
"CFAP53",0.2498
"RPSAP62",0
"RNU6-1274P",0
"LINC01681",0
"GAGE12E",0
"MTCO1P14",0
"FAM223A",0
"IMPG2",0.0085
"AMOTL1",24.1577
"RNU6-697P",0
"RNU6-402P",0
"IGLL4P",0
"DDIT4L",316.7024
"TMEM244",0.4247
"UBA1",90.2841
"MIR4675",0
"CHRNA1",396.2001
"SALL4P6",0
"MIR1268B",0
"TMSB4X",1889.2879
"ANKRD36C",0.6139
"COCH",0.6581
"PPFIBP1",11.6771
"ECHS1",43.9689
"ACOT11",3.6047
"NIPSNAP3A",12.2179
"RNA5SP492",0
"UGT8",0
"NOX5",0.1763
"ZNF541",0.0153
"RPL36P2",0
"EGR3",2.6226
"NKX2-1-AS1",0.6412
"SLC25A39P2",0
"MMP23A",0.035
"LINC02205",0
"MIR3659",0
"ABHD14A",5.175
"LYPD6B",0
"CCDC73",0.0271
"RNU6-351P",0
"RNU6-425P",0
"TMED5",12.7161
"VN2R19P",0
"PLEKHA4",5.7446
"NAALADL2",0.0968
"RPL21P13",0
"GPAT2P1",0.1426
"MAN2B1",7.9353
"SEC62",28.3977
"GATAD1",11.2245
"HMGB3P21",0
"OR6C70",0
"RAD1",4.4892
"LUZP1",11.3203
"ACER1",0.1231
"TEAD2",4.5592
"SLC25A4",1.5272
"RPL7P29",0
"DCTN1",16.4426
"METTL8P1",0
"RLN1",0
"RARRES2P2",0
"CYP4F11",0
"ZNF766",2.7105
"MGST1",0.1052
"LINC02330",1.4739
"ZNF788P",1.4736
"SUMO2P17",1.3481
"SNX9",10.8706
"OTOF",0.0316
"SMAD1-AS2",0
"PLAUR",21.4102
"RNA5SP503",0
"RDX",18.6574
"SLC29A3",1.5107
"RNU6-918P",0
"TOMM22",39.4464
"RPL32P33",0.1805
"LSAMP-AS1",0.1286
"TRAJ2",0
"LMLN-AS1",0
"STOM",31.9299
"ZNF682",0.494
"PRPF31",27.0376
"SIX5",2.6505
"MTCYBP12",0
"RNU4ATAC2P",0.2823
"GPRIN1",0.2365
"NNMT",118.2509
"HEATR5A",3.2535
"RIPK1",4.2872
"STRA6",0.0833
"CYCSP29",0
"RNU6-518P",0
"RAPH1",0.4044
"GOLGA6L3",0
"PCDH9-AS1",0
"RNU6-1313P",0
"PAPPA",0.0215
"KRT8P51",0
"DIAPH2-AS1",0.0616
"FAAP100",9.5726
"OR5K1",0
"VGLL3",24.6699
"RNU6-938P",0
"DCDC2",0.0214
"SHLD2P1",0.0196
"LINC01760",0
"PFDN2",53.1136
"RN7SKP280",0
"RASD2",0.9173
"MIR1205",0
"FKBP3",27.925
"ME3",2.2426
"ETFBKMT",0.7561
"MAPK9",2.0494
"KIAA0895",0.4493
"GNL3",41.28
"SUGP1",2.8355
"FAM237A",0
"CCDC26",0.0702
"SNORD48",1.1115
"HMGN1P26",0.3521
"LRIT1",0
"DEFB131D",0
"LINC02458",0.0484
"RPL17P35",0
"RNU6-841P",0
"EIF4BP2",0.119
"RNU6-777P",0
"RNU6-39P",0.3324
