"","x"
"CBX3P6",0
"NPM1P33",0.1904
"OR5D2P",0.0163
"PTMAP11",0.6916
"TMPRSS11B",0
"HNF4A",0.0128
"RNA5SP96",0.097
"VPS37D",3.5091
"PRR26",0.1694
"USP38",2.7857
"FAM198B-AS1",0.2833
"WDR45P1",0.2972
"RN7SKP18",0
"NRAV",1.8718
"TNNT2",0.0071
"WDR11",2.1558
"TAX1BP1",8.5926
"ZNF346-IT1",0.5292
"MT-TH",0.4511
"MMP11",3.5636
"DAZ3",0
"CCN3",5.8916
"MTCYBP32",0.0096
"KCND3-IT1",0
"PIK3CG",0.4514
"PCDHB6",0.2033
"PERM1",0.2757
"RPL32P3",1.7022
"RN7SKP16",0.3817
"CENPC",2.2343
"RNA5SP222",0
"RNU5A-6P",0.0894
"LINC00910",0.4258
"VN1R70P",0
"SIRPA",5.4021
"FKBP4P2",0
"EIF4A2",53.8774
"ALG1L",0.0738
"IGHVII-62-1",0
"SLC9A3P3",0.0047
"PSAT1",55.2424
"CHD2",5.7311
"RN7SKP145",0
"WWOX",1.3292
"ANXA7",13.1074
"CHST15",5.9342
"FGF10",0.2033
"UBA1",103.5411
"SPTBN2",0.327
"TANGO2",2.1365
"MIR4257",0.3619
"RNU1-106P",1.5182
"RN7SL482P",0
"RNA5SP179",0.6002
"TSPY18P",0
"ACADS",7.4007
"EEF1A1",1123.4821
"HAUS3",1.4533
"TRAPPC13P1",0
"RN7SL364P",0.4577
"SLC39A12",0.0185
"OR9L1P",0
"ZNF800",2.7238
"MLYCD",0.3492
"CARD11-AS1",0.0214
"PSORS1C3",0.1225
"MEIS1",0.8577
"KRT8P27",0.0071
"RPL36AP36",0.2413
"ZNF114",0.4201
"CMTM8",1.9794
"ZNF454",0.491
"OR7A10",0
"RALBP1",11.1223
"B4GALT1",28.2842
"SYCP2",1.8242
"FAM83B",0
"ART3",0.0032
"LRRC70",0.143
"EHD2",32.6566
"TSPYL4",3.4324
"PKD1P1",0.0412
"GSTCD",1.1487
"RGMB-AS1",0.1859
"GPS2",1.5684
"TTTY3",0
"GOLM1",24.834
"RNY4P28",0
"HMGN1P11",0.0685
"FBP2P1",0
"SCLT1",1.6752
"LINC01777",0
"SLC25A46",5.9593
"RNA5SP417",0
"RNU6-634P",0
"MIR548AS",0
"RN7SL766P",0
"BTBD11",0.7292
"CPNE9",0.0933
"BPIFB9P",0.0515
"RPL39P28",0.0669
"RNU4ATAC8P",0
"NLRP13",0.0058
"TBC1D4",8.1009
"GSK3A",8.3904
"MINCR",2.2816
"TBX5-AS1",0.0893
"ZNF123P",0
"TMEM189-UBE2V1",0.0075
"NFAM1",0.7223
"MIR606",0.1081
"ASMT",0.0056
"FGF7P6",0.0139
"TREHP1",0.1339
"RIPPLY2",0
"RNA5SP199",0.1128
"RN7SL57P",0.0715
"MIR1226",0
"SHISA6",0.0061
"AQP6",0.0162
"ZNF180",0.77
"SQLE",7.4439
"MIR221",0.7545
"SH2D5",0.0211
"PPIL1P1",0.0416
"ILF2P2",0.1207
"SCYL2",5.3107
"CNOT6L",4.7214
"SAMD11P1",0.0942
"HAPLN1",64.2947
"CACNG7",0.0222
"TRBJ2-2P",0.4511
"SRBD1",3.2511
"ALLC",0.0163
"RNU6-160P",0
"GRIPAP1",2.7736
"NAE1",4.8507
"SETD9",0.9911
"FXYD6",9.2642
"TREML4",0.0038
"CCDC13-AS1",0.0096
"BMS1P16",0.009
"HECTD4",2.18
"PCOLCE",265.9298
"SLC7A7",2.3959
"GCSHP1",0
"TWF1P1",0.6329
"RN7SL869P",0
"RNU1-31P",0
"SGO1",0.8699
"OR5H5P",0
"ADRA1A",0.0089
"CBX1P1",0.243
"OR8B12",0
"ANP32BP2",0.0571
"FABP6",0.0178
"LINC00313",0.0135
"POLR2J",24.9288
"FKBP4",10.4183
"SLC6A7",0.1559
"PTPRN2",0.5839
"SNORD115-28",0
"RNU4-36P",0
"PRSS53",0.6789
"RN7SL60P",0
"PIP4P2",4.0874
"XPNPEP1",5.9585
"LINC00355",0.011
"CCDC117",1.6907
"HNRNPA1P35",1.2927
"RAD23BP1",0.2536
"TSTD1",0.2143
"H3P32",0
"HNRNPFP1",0
"LINC00973",0.0108
"SGO2",3.256
"CALCR",0.0205
"LINC01899",0
"CDCA4",15.0309
"TNIP3",0.022
"TEX29",0.5466
"NNMT",83.5662
"PIN1",17.7134
"CDC73",4.278
"EYA1",3.4795
"MIR4515",0
"IGHVII-33-1",0
"RN7SKP244",0.1014
"LRRFIP2",2.6033
"HDHD2",2.8163
"VENTXP4",0.0108
"SCN5A",0.0425
"RN7SL815P",0.0358
"CREB1",3.6188
"AURKAP1",0.0856
"RPL31P58",0.1916
"LINC02252",0.0213
"MYLK",4.7526
"TMEM222",8.2813
"MAP4K4",18.9713
"ZNF330",11.5156
"DIPK2B",2.3852
"PUSL1",4.0638
"MIR132",0
"HMGN1P13",0.3007
"SLC16A3",42.2617
"TERC",0.1151
"LINC00618",0.3242
"LINC01886",0
"RN7SKP298",0
"CICP27",0.0082
"RPS27AP11",2.2977
"ARL4AP4",0.2003
"NUDT18",3.9406
"ABCD2",0.627
"RNA5SP60",0.1192
"MIR6823",0
"RNU7-115P",0.9431
"CALB1",0.0203
"RPL35P1",12.1407
"NAP1L4",12.6526
"ATRX",4.7773
"MIR518B",0
"RRAD",0.8377
"SNHG21",2.197
"SEPTIN14P24",0
"IZUMO1",0.0577
"NPRL3",8.8328
"RNU6-661P",0.097
"KPNA1",5.1325
"RNVU1-21",1.995
"CST9L",0
"PCYOX1L",2.2205
"DCTN1-AS1",0.0425
"ABCA9",0.0965
"RNA5SP232",0
"SUMO2P8",0.0363
"MIR4473",0
"NLRP12",0.0856
"RN7SL78P",0
"LMLN",1.295
"IGF2R",12.8483
"SNORA70D",0.0768
"MIR3174",1.3117
"KANTR",0.4666
"MIR548BB",0
"FTLP5",1.5931
"C2orf42",3.5981
"AGXT2",0
"CARD19",10.9669
"E2F2",1.9866
"ZNRF2P3",0.0277
"ZMYND15",0.3015
"PCK2",10.295
"MYL12B",55.3824
"CALML6",0.1877
"ILF3-DT",12.8697
"CDY4P",0
"SNORD104",8.2994
"ZNF507",1.4307
"CHCHD3P2",0.0162
"MIR2467",0
"ACTG1P24",0.071
"RNA5SP140",0.1128
"VN1R107P",0.3475
"MTND5P15",0
"CYYR1-AS1",0.0196
"ATF2",8.6389
"RGS11",0.5406
"TUBB8P4",0.0078
"ELAVL1",13.2296
"CRYBB1",0.3295
"IFNL2",0
"LINC00574",0.0358
"LINC02723",0.0105
"RPL30P5",0.0618
"MIR3943",0
"EEF1A1P34",0.0573
"LINC00326",0
"LINC01847",0
"CICP3",0.0211
"PDHA1",8.2177
"LINC01503",1.4383
"SMCO4",21.1048
"RNU6-48P",0.1939
"DDT",5.8588
"HLA-DRB1",166.2665
"MORF4L2",101.8855
"LINC00632",0.5898
"EIF3F",17.3444
"RIOK3P1",0.0068
"OR7E33P",0
"AMPD3",0.8736
"USP40",3.7029
"NDUFS5P4",0
"PKD1P6",1.3453
"ZCCHC8",2.8198
"BEST2",0.0274
"RNU6-293P",0
"RAP1AP",0.23
"TTR",0.0095
"DEFB110",0
"TUBAP",0.0077
"LIN7C",5.8377
"PLXNC1",2.3294
"CALCRL",3.3889
"HSPE1P16",0
"CROCC",2.9225
"RN7SKP204",0
"SYNRG",4.0772
"SECTM1",2.8765
"CDC25A",1.0306
"RPL32P34",0.3631
"DIPK1A",11.6396
"RPL29P24",0.6412
"SYF2P2",0.0356
"ALDH9A1",13.8114
"RNA5SP50",0
"LINC02347",0
"TRIAP1P1",0
"YIPF1",8.4394
"PLCH1-AS2",0
"LRRC46",0.2244
"WNT9A",0.2848
"STS",1.4557
"LINC02646",0
"TCTE1",0.1015
"RNU6-1258P",0
"LINC01181",0
"RPSAP62",0
"TRUB1",2.9674
"GJB1",0
"MIR3118-1",0
"LINC02809",0.106
"ALG5",7.7547
"CNBP",116.927
"BOK",2.577
"HSPA8P14",0.069
"ZFYVE16",4.1014
"LINC00349",0.0123
"LSR",0.6155
"INAFM1",10.0105
"OR7E29P",0.0458
"PCDH9-AS2",0
"CYCSP28",0.1616
"SIAH2-AS1",0.3058
"RNU6-640P",0.1976
"PCDHGB2",0.9702
"RNU6-1179P",0
"MSX2",2.9843
"RNU6ATAC28P",0
"POM121L3P",0.0089
"TMEM97P1",0
"RNA5SP399",0.1773
"PDE5A",1.264
"RBFADN",0.2036
"RPL34P3",0
"NEU1",8.8231
"EZR",51.7347
"NOX3",0.0762
"CCDC105",0.012
"DUSP15",0.4515
"MIR6511A3",0
"THAP12P6",0
"MGAT3",0.1882
"MAPRE3",5.9234
"PSMA8",0.011
