"","x"
"COL6A3",132.2922
"RNU4-25P",0.1092
"CHST2",3.7271
"RN7SL78P",0
"PRR20FP",0
"BHLHE40",76.6061
"LENG8",7.5782
"COX6B1P6",0.0985
"CCNB2P1",0.0437
"DHH",0.0649
"SNORD115-42",0
"FAM74A1",0
"SUMO2P3",0.2616
"CELP",0
"RPS3AP39",0.0324
"ZNF223",0.5658
"ADAT3",2.3576
"DLGAP1-AS4",0
"COQ5",6.7389
"TSPAN13",2.5408
"PAK6",0.0078
"HNRNPA1P7",1.9299
"MIR3928",0
"IFNAR1",18.1751
"SAP30L",4.3834
"DONSON",4.847
"VSX2",0.0084
"FAM223A",0
"KRTAP9-8",0
"POLB",1.9879
"PSMD6-AS1",0
"IFI27L1",4.6746
"LINC01685",0.0636
"GSDMC",0.0257
"RNA5SP29",0
"DHFR2",2.2101
"PI4KAP2",1.2433
"TRGV2",0
"ATXN1-AS1",0.6836
"LINC01186",0
"MIR4477A",0.6201
"HMGB3P12",0.0452
"CCDC144B",0.2212
"KIAA1841",2.184
"RNA5SP142",0
"LINCMD1",0
"ASZ1",0
"SNORD115-21",0
"RNU2-6P",0
"RNU1-35P",0
"TBC1D30",0.3369
"LINC01817",0
"RPL6P5",0.0303
"USB1",3.8986
"SLC22A20P",0.1072
"INF2",20.7839
"C19orf53",35.9387
"CD28",0.9871
"LINC01543",0
"EIF4EBP3",1.4901
"SCYL1",17.39
"USH1G",0.0212
"CAP2",1.6573
"ZNF718",0.5123
"ZNF652P1",0
"MSH4",0.1
"MYO15A",0.176
"LINC01920",0.0199
"MANBAL",14.43
"SIN3B",8.7844
"SERP2",0.2737
"LINC00514",0.0117
"NR1H4",0.0508
"ZNF326",4.6483
"OLFM4",0
"OSBPL10",2.4326
"RPS13P2",5.0781
"PTOV1-AS1",2.5216
"TEDDM2P",0
"DIMT1",14.2175
"RPL30P15",0.1565
"LINP1",0
"CA15P1",0
"SNX18P1Y",0.0491
"MED15P9",0.0223
"LINC02594",0.0457
"SNAPIN",11.2396
"WBP1LP11",0
"SNORD115-30",0
"SAFB2",12.8155
"OSTCP8",0.953
"LRRC4",8.5436
"ADAMTS6",0.9791
"ACAD11",0.0664
"RIPPLY1",0.1266
"C3orf52",0.3963
"PADI1",0
"ARNTL2",3.0246
"C5AR1",3.651
"BBC3",0.8292
"RPS26P5",0
"CATSPERD",0.0092
"ZNF585A",1.2373
"GRID2IP",0.1094
"TF",6.1048
"RPS26P56",0.1046
"PBOV1",0.01
"RNU6-865P",0
"RPL21P110",0.6194
"ZNF584",3.4247
"LINC01779",0
"SCARA3",7.7069
"RPL39P6",0.3349
"NOTCH1",6.637
"CRTC1",4.6875
"FMO10P",0
"PAFAH1B1",23.2725
"FAM21FP",0.2286
"RNU7-102P",0
"MIR4525",1.0046
"MIR34AHG",0.1116
"LINC00448",0
"DNAAF4-CCPG1",0.0328
"C6orf136",1.4585
"RPS26P31",0.866
"WDR72",0.0645
"MTCYBP31",0
"MIR4303",0
"SHLD2P1",0.0484
"RNU4-26P",0
"TPM4",80.5798
"SENP2",2.7395
"DUX4L26",0.6404
"SFTPA3P",0
"GORAB-AS1",0.3312
"HAL",0.0439
"SNORD41",0.3588
"RNU4-22P",1.2103
"PAUPAR",0.0085
"C8B",0
"ATP9B",2.5905
"RNU6-941P",0
"RNA5SP376",0
"COMP",47.7908
"C16orf86",0.6738
"EIF3A",45.2276
"LINC02138",0
"LINC00683",0.0255
"KDF1",0.084
"ZNF734P",0
"GFRA4",0.0331
"TXNP5",0.7176
"DLEU7",0.5083
"PPP2R2DP1",0
"RBM8A",25.3395
"ENO1P2",0.0516
"LINC02640",0
"HMGN2",82.5498
"RNU6-1148P",0
"WDR93",0.0556
"IER3",7.575
"CDH2",17.1589
"CDHR5",0.3242
"CPB1",3.6771
"ZYX",38.4792
"ADIPOR1P2",0
"MIR4271",0
"NAIPP1",0.2957
"RNU6-700P",0
"NDNF",4.1881
"LINC02712",0.0999
"PSMC1P4",0.0568
"RNU6-417P",0
"ASCC3",4.1083
"ITGB8",0.9163
"MIR558",0.8015
"OR1E1",0
"LINC02319",0.072
"USP9YP33",0
"TRAJ56",0
"SNORA9",0
"MTCYBP39",0
"MIR503HG",2.4845
"CAPN10",0.7997
"LAPTM4A",164.0429
"KIAA2012-AS1",0.0812
"RNU7-125P",1.2152
"PIBF1",4.4052
"RAB40A",0.0813
"RPS14P7",0.1121
"NAA35",11.8225
"PPIAP23",0
"FUNDC2P3",0.0471
"STAMBP",5.3798
"ESS2",6.3926
"RNU6-472P",0
"ASH1L-AS1",0.9763
"RDX",15.2812
"MTCO1P21",0
"FAHD2CP",1.0327
"PPIL3",3.1457
"MTND2P28",97.9793
"RPL22P16",0.5386
"OR9R1P",0
"RNU7-200P",0.4051
"CTAGE3P",0.0313
"LINC00323",0.0206
"BRD1",4.8855
"CLPS",0
"YWHAZP6",0.4084
"AQP4",0.0042
"XGY1",0
"H4C11",0.808
"SDCBP2P1",0.1227
"IGHD6-13",0
"CFTRP1",0
"RNU4-18P",0
"RPS12P15",0
"RN7SL841P",0
"TRAJ61",0
"NLRC4",0.7207
"MIR4319",0.2955
"RAB3B",0.045
"FAM76A",4.4327
"DBET",0.0299
"LINC01866",0.9996
"AP1AR",3.4711
"RN7SL833P",1.7686
"PPP3CB",5.9803
"CEP250-AS1",0.3293
"CNTNAP5",0.1061
"MIR3129",2.9741
"MTCO1P40",10.8895
"AGT",4.9549
"MIR4274",0
"RNU6-1052P",0
"SUSD2P2",0
"FAM157A",0.0329
"UPK3B",0.0661
"DERL2",7.2244
"ANKRD26P1",0.0078
"TMEM104",15.7097
"PIR",3.5992
"ASCL1",0.0813
"PLCE1-AS1",0.0108
"ATP6V0C",13.3986
"RAB11B-AS1",2.2594
"TREM1",0.0638
"WNT6",0.1917
"GSTP1",40.9959
"MRPL35P2",0.4915
"CDV3P1",0
"LINC02325",0
"PQLC1P1",0.0585
"SNCB",0
"KRT8P24",0.0161
"ANKFY1",10.7198
"RASAL2",8.9678
"GEMIN4",9.4413
"ITIH1",0.0276
"MELTF",7.2802
"LINC02207",0.032
"HMGB1P23",0.1326
"RNU6-1098P",0.2616
"AZGP1",0.0093
"LINC02569",0.059
"CYCSP27",0.0857
"LINC02449",0.9528
"RNA5S3",0
"SNORD70",0.5708
"LINC02393",0.0217
"TRNP1",1.4743
"CFD",41.2885
"ADGRA1-AS1",0.0046
"C2CD4C",0.1216
"ATP6V1G1",44.6861
"HMGB4",0
"AKT1",19.2553
"MIR3973",0.2347
"RN7SL493P",0.252
"CACNA2D1-AS1",0.0189
"SLC25A39",31.6599
"TDRD7",1.8487
"MUC5AC",0.0014
"CENPJ",0.7951
"RCL1",1.2155
"RPL7P27",0
"RN7SKP73",0
"IQCF5",0
"ATP5PB",29.7615
"CXorf56",10.5811
"SALL4P1",0.0405
"SNORD3B-2",2.1273
"ZNF793-AS1",0.8935
"DENND10P1",0.8351
"OPRPN",0.0229
"APOOL",3.8277
"CYB5RL",1.4205
"NEURL1B",7.2286
"FANCF",0.7236
"HMGB1P10",2.275
"MIR4261",0
"HTRA4",0.1079
"RNU6-639P",0
"PRAMEF27",0
"RNU6-1055P",0.2347
"SETSIP",1.1051
"MRPS16P3",0
"GSTO1",15.0745
"SNORA40C",0.3924
"FBXO34",7.6321
"TRGJP2",0
"CR2",0
"RNU6-41P",0
"BCAR3-AS1",0.2828
"RPL7AP31",0.3462
"C11orf97",0.091
"SLC43A1",1.1661
"RARA-AS1",0.2946
"DEFB134",0.0235
"SPCS2P2",0.0413
"PTPN2P1",0.4685
"CEACAMP7",0
"ACCS",0.7458
"GPAT2P1",0.1007
"RPL23AP67",0.4239
"RPL12P47",0.5933
"FAM83H",3.8378
"LINC00993",0
"OR5M2P",0
"C2orf72",0.0457
"PNMA8A",6.4145
"LINC00881",0
"RFC4",2.9413
"LINC02106",0
"DPPA3P3",0
"RCC2-AS1",0
"DEF6",2.2006
"PTCHD4",0.2571
"ZNF154",1.9386
"BMS1P11",0.1703
"IGHV3-42",0
"PPP2R1B",3.9428
"TBC1D22A-AS1",0
"RNU6-1236P",0
"CAPN1",13.8356
"CENPQ",1.71
"WARS1P1",0.0553
"RIMKLBP1",0.2158
"CLEC9A",0.0352
"IMPDH2",36.6525
"TAF13P2",0.2634
"PTCH2",1.1608
"NDRG4",0.4009
"PGAM1P12",0
"ADORA1",0.0779
"RNU6-1045P",0
"CHKB",0.3159
"CORT",2.2003
"RNU6-914P",0
"IDI1",4.6044
"RNU6-498P",0
"SEPTIN12",0
"EIF2B3",13.3486
"ENPP3",0.1034
"MOGAT2",0
"RANBP17",0.032
"COMMD5",12.2343
"E2F1",8.4684
"MRPL47",10.7056
"RNU7-51P",0
"OR8G3P",0
"PDIA3P2",0.6358
"TSPAN3",28.9171
"IGHVIII-67-3",0
"TMEM150B",0.7624
"RN7SKP246",0.0792
"LINC02604",0.8831
"RNU6-3P",0.4694
"MTCYBP4",0.1009
"RNA5SP49",0
"PKD1P6",1.19
"SKA1",6.7425
"NAV2-IT1",0
"KRT8P14",0
"PAGE3",0
"LINC00334",0.2794
"SPANXC",0
"PRKAA2",0.1235
"FER1L4",0.7672
"RPL23AP63",0.16
"MAP7D3",6.9902
"AADACL2-AS1",0.4746
"IL6ST",35.1119
"RTRAF",11.587
"TAF12",12.1327
"ZBTB18",2.0382
"FAM86HP",0.5984
"DDX11L9",0
"BNIP3P33",0
"SON",82.1743
"STX1A",1.2853
"TH",4.1818
"RNU2-71P",0
"RPL41P5",14.811
"FAM111A",3.8118
"SND1",61.1359
"ABHD6",1.0776
"RNU7-11P",0
"PNN",26.0588
"CIAO1",32.1856
"RNU6-1003P",1.1959
"TERF1P3",0.0614
"RNU6-710P",0
"DHX36",8.9809
"BACH1-IT1",3.3343
"KRT18P55",0
"ZBTB46",1.3581
"H3C5P",0.8969
"TAAR9",0.024
"RNU5D-1",0.433
"RNA5SP364",0.322
"LINC00674",16.5261
"RPL29P30",0.292
"LINC02497",0
"HLA-H",6.8285
"ACSL5",0.7589
"DEGS1",22.3183
"ACTR3BP5",0
"CRY2",2.3291
"HOXA-AS3",0.202
"CALML4",1.2861
"RB1CC1",20.4146
"LINC02109",0
"MAPK8IP1",3.4749
"FAM156B",0.2424
"RN7SL715P",0
"PPIAP1",0
"SLC4A3",1.4454
"OSMR-AS1",0.2666
"MTND5P27",0
"RN7SL513P",0.0843
"POLR1B",6.3569
"OSBPL9P2",0
"MIR4515",0
"RN7SKP135",0
"SNORA70",0
"RNU1-87P",0.2955
"MRPS18C",4.4128
"XKR7",0.0352
"IGHD5OR15-5A",0
"RNU4ATAC15P",0
"IREB2",8.892
"OR5F2P",0
"ILF3",34.5498
"ALDH1L1-AS2",0
"RNU6-1211P",0
"IGHD2-15",0
"SPSB3",0.3068
"PPIAP90",0.6959
"NIPSNAP3A",7.5974
"RN7SL43P",0.0863
"ALDH7A1P3",0
"BORCS7",8.7177
"KLHDC4",1.083
"MIR548I3",0
"MIR3194",0.6881
"TRAK2",6.2959
"LINC02158",0
"PNMA8B",0.1733
"AKAP14",0.0429
"MAS1LP1",0
"ATXN10",14.6607
"MZF1",2.1395
"TSNARE1",3.5296
"PKD1L1",0.05
"MRPL58",10.3812
"BTF3P5",0.7529
"SPATA31D4",0
"RPSAP5",0.5398
"RNU6-957P",0
"RPL12P49",0
"CFAP161",0.0761
"NDUFA8",46.4197
"GAPDHP34",0
"ACTA2-AS1",0.2683
"VKORC1",7.6455
"HMGN2P7",2.5758
"LINC02401",0
"GAL3ST3",0
"FGF3",0
"IGLV8OR8-1",0
"GSTO2",0.0329
"IL23R",0.0417
"DNAJC22",7.4751
"GCNT2",0.0555
"SNORA70E",0
"SNRPGP8",0
"LINC00314",0.0827
"GFPT1",12.4127
"ZNF699",1.4418
"PLAT",0.8576
"TMC4",0.9514
"GPR141",0.1955
"RNU7-103P",0
"ZNF620",0.5667
"CDC14A",0.7136
"LINC01976",0
"UGT1A4",0
"PCGF5",4.3752
"SNX18P13",0.0949
"TOR2A",1.913
"VPS35L",4.6593
"CXCL6",0.0575
"CDCA8",22.6934
"TLN2",1.4958
"KRTAP27-1",0
"RN7SL731P",0
"C1R",16.3252
"RNA5SP411",0
"GEM",40.934
"RCOR3",2.3369
"MIR193B",0
"RNU6-140P",6.5111
"LINC02274",0.0214
"FAM242C",0.067
"LINC02502",0.0782
"BANF1",36.1065
"DECR2",0.789
"SATB2",8.7343
"ATP7B",0.7316
"RN7SL856P",0
"MIR30C1",0
"LINC02294",0
"UBE2V2P1",0.1262
"RPS26P28",1.3712
"ARL5C",0.0441
"RIF1",3.3359
"ELOCP29",0
"CABP2",0.0504
"PPP1R35-AS1",0.6631
"ADAMTS20",0.0416
"LINC00964",0
"RPSAP6",0.0854
"MIR3612",0
"RPL29",89.7914
"RN7SL375P",0
"ANKRD22",0.855
"HLA-Z",0
"MTND4LP25",0
"LINC00467",1.4172
"SMOC1",2.4718
"RGS6",0.0197
"RSPO4",0.0278
"COX7B2",0
"FERP1",0.19
"PITPNC1",2.3801
"NKD1",1.1494
"ZFYVE21",3.1999
"TMEM9",21.1563
"SORBS3",6.9778
"RNU6-527P",0
"EVI2A",4.7536
"NUTF2",10.4842
"ERCC8",3.3265
"YRDCP3",0
"ZNF474",1.4979
"LSM14B",14.5961
"TRIM64FP",0
"CREB3L3",0
"RPL35AP21",0.3017
"MIR6882",0
"MIR1179",0
"RNU6-206P",0
"SERPINA3",0
"LGALS12",0.0221
"LINC01255",0.0253
"NUDT1",13.2471
"CHL1-AS2",0
"SWAP70",6.93
"LINC02708",0
"FGFBP2",0.9443
"MIR3650",0
"BPIFB2",0
"THOP1",8.2638
"RNU7-26P",0
"DIAPH1-AS1",0
"PKMP1",3.0342
"GOLGA2P5",0.0573
"THAP12P9",0
"SRBD1",3.2756
"IGLV8-61",0
"SPECC1L",14.0625
"GAA",9.3229
"PM20D1",0.1153
"LRRC3-DT",0.0641
"RPS26P52",0.1443
"SLC45A4",0.6302
"PLBD2",33.909
"ISY1",4.4755
"DUSP15",5.3064
"RNA5SP236",0
"PABPC4-AS1",0.7749
"RNU6-1181P",0
"RPL21P28",0.676
"MIR4307",0.299
"H2AC11",1.6854
"ACCSL",0.0135
"NPM1P49",0.2462
"IGHV2-26",0
"BOLA2",0
"RNA5SP288",1.6203
"VDAC1P8",0.8508
"NEU3",2.5726
"MTND4P6",0
"MTCO1P23",0.0165
"MAPT-IT1",0
"GSTA6P",0
"RNU2-8P",0.1322
"RNA5SP488",6.7116
"ACTN4P2",0.0265
"FAM90A12P",0
"RN7SKP256",0
"POP5",6.4144
"MIR4289",0
"OR5AU1",0
"BAZ2A",5.3803
"PCDHB12",0.2787
"NTN5",0.1371
"TLE4",4.402
"KRTAP4-11",0
"RNA5SP61",0
"GP9",0
"LINC01214",0
"AXIN1",3.5825
"FBXL14",4.8647
"SNHG7",3.6877
"RN7SKP42",0
"RNU11",0.1874
"MAP2K5",6.1201
"CDK5R1",2.9382
"SPATA42",0.0826
"RNU6-584P",0.5287
"CDK5P1",0.0859
"VSIR",4.3392
"TNRC6C",16.4544
"SLC16A7",0.9189
"H1-12P",4.3889
"TAOK2",6.9842
"KATNA1",6.4636
"IGHD4-4",0
"SNORD116-20",0
"RNU6-1194P",0
"HEXIM2",1.146
"MORC1-AS1",0
"ERMN",1.3606
"RNU6-641P",0
"RN7SKP281",0
"HNRNPCP6",0.2595
"TFIP11",11.1665
"PCDHB16",0.7332
"RN7SL850P",0.4315
"NSMAF",16.4088
"GIT2",2.8523
"USP27X",4.125
"FABP5P6",0
"CHRAC1",13.1315
"ITGB1",49.3804
"NUP188",20.5324
"WNT2B",0.6898
"MCAM",16.4925
"RNA5SP385",1.5982
"BLVRA",21.9147
"PCMTD1P2",0.0707
"LINC02119",0.0293
"SNORA59B",0.0358
"TTC17",4.1152
"GPM6BP3",0
"KCNK6",4.8812
"CDY4P",0.0332
"OR2T1",0
"KANSL1L",1.0054
"ZNF334",0.5561
"RNU6-881P",0
"RNA5SP97",0
"LPCAT2",2.7987
"ANKRD18DP",0
"FH",14.3862
"MRPL40",10.8509
"ADAR",64.0149
"C12orf76",0.6482
"IER3IP1",8.7633
"LINC00562",0.0813
"TRMT61A",10.671
"SPATA2P1",0
"BRD3OS",4.3156
"C1QTNF9B",0.0308
"ASIC4-AS1",0
"MIR3180-2",0
"POU2F3",0.068
"ACSM4",0.0811
"OR11J2P",0
"DUSP18",4.3005
"GADD45G",3.6665
"LINC01999",0
"BOD1P2",0
"RN7SKP85",0.079
"MIR6070",0.2438
"FAM224B",0.1483
"SDHAP3",2.2267
"RPLP2",58.6556
"TRAV13-2",0.0613
"NOC2L",28.143
"RASL12",2.7247
"TIMM9P2",2.6436
"RPS27AP19",0.1097
"BCAS1",0.0491
"MSL2",4.5891
"ABHD17AP8",0
"CYB5R3",28.3014
"SNORA60",0.5623
"KRT33B",0
"PCDHGA12",0.1669
"CSNK1A1",12.1859
"NT5DC1",1.7009
"LINC01122",0.0318
"SNORA77B",0
"USP17L7",0
"RNU6-685P",0
"TOPORSLP",0.0066
"PALLD",23.5176
"TAF1C",4.0033
"SLCO1A2",0.0065
"HMGB3P27",0.0895
"ZNF518B",2.8903
"LINC01609",0
"HEG1",6.369
"RPEP2",0
"MSMB",0
"CALB1",0.0246
"SOX18",6.8849
"TAF5L",2.4519
"LINC02418",0.0267
"PNKP",4.0557
"RNU6-729P",0
"RNU6-818P",0
"RN7SL800P",0
"MIR8088",0
"RN7SL685P",0.0843
"SMIM31",0.0079
"CCDC162P",0.0047
"TRIM43",0.0149
"ASTE1",1.517
"RPL10AP6",5.8934
"KPNA7",0.0437
"RNU6-213P",0
"MTND1P11",0.0573
"ARG2",2.3265
"IL1R1",12.3426
"ANKRD63",0
"ANAPC1",3.0566
"DEFB122",0
"RPLP0P2",0.7003
"SPDYE2B",0.3394
"MIR548V",0.3139
"RPL30P9",0.0761
"PIK3IP1-AS1",0.2826
"S100A10",170.0869
"RNU6ATAC7P",0.3955
"ARL10",5.6523
"C13orf42",0.008
"RNU6-1262P",2.3545
"DEFA9P",0
"HLA-DQB1-AS1",0.0455
"FHDC1",0.6971
"RN7SL720P",0.0826
"SNORA4",0
"IGIP",2.8615
"PABPC1P2",0.9044
"CDC42SE2",2.589
"CRELD2",5.8446
"RNU6-912P",0
"BEND4",0.4986
"MBD3",29.1735
"HOXC6",2.5398
"SYTL2",5.6354
"MIR466",0
"RNU6-442P",0
"TRAPPC9",7.1064
"IRX1P1",0
"MTND5P33",0
"P2RY13",0.5633
"MIR4431",1.0687
"MIRLET7E",0
"OR10A7",0
"SETP4",0.0868
"RMDN3",6.6886
"PPIAP41",1.0464
"RPL34P1",0.2838
"HAS2",52.7999
"LINC01795",0
"KTN1-AS1",1.8303
"SMPD2",0.8854
"ZNF767P",1.0892
"TMEM208",11.7209
"TACO1",11.6404
"MYO18A",5.9843
"OR2AP1",0
"GTF2H2B",1.2371
"FAM122B",4.0888
"KRT18P66",0
"OTOP1",0.2425
"ZNF823",1.7056
"RGS1",0.8967
"SLC1A2",0.0163
"RNU6-20P",0.7041
"GIMAP7",2.8194
"PID1",1.7619
"TEX43",0
"PRDM1",1.7942
"GOLGA2P6",0
"SARS2",1.2903
"SORBS1",0.5594
"RNU6-210P",0
"RLN1",0.0228
"H1-8",0.0199
"RIOK2",3.0081
"RNU6-924P",0
"PIK3CG",0.5675
"NCAPG",7.1653
"UQCRBP3",0
"MIR135B",0
"KCNE1",0.422
"ELL2",7.3166
"MFSD5",8.5336
"RHBDD2",41.0718
"GCOM1",0.0109
"IQCD",0.4798
"TOLLIP",6.586
"SNORA26",0.8234
"RNU6-953P",0
"RANP6",0.312
"AARD",0
"LINC02729",0
"MIR4288",0.7497
"CPSF7",10.5558
"TTLL10-AS1",0.0071
"FAM86EP",0.4913
"RNU6-649P",0
"SNORD114-15",0
"EXOSC3P1",0.1507
"MIR107",0
"KRTAP2-1",0
