"","x"
"ATP4B",0.033
"HOXA10-AS",0.1287
"SNX17",46.3639
"PPCS",8.9472
"RNF138",3.8579
"TOMM22P3",0.0475
"CAPN14",0.3468
"GPR32P1",0
"TRBVA",0.0518
"DPP10-AS3",0
"SULT1D1P",0
"RNU7-157P",0
"GTF3AP1",0
"MIR3591",0
"TRIM22",5.6747
"NEK4P1",0
"GSN",76.9962
"MTND4P14",0
"CEACAM20",0.0672
"FAM174B",2.4194
"DEK",25.7913
"RNU1-112P",0
"RNU6-91P",0
"MIRLET7A1HG",0.1141
"RRP9",20.1337
"RNU6-717P",0
"ISCA2",2.6376
"RNU6-358P",0.2184
"IGHVII-30-1",0
"LINC00967",0.0082
"ASCL4",0
"SNORA64",0
"RNU6-1088P",0
"SLC4A1",0.0124
"KIAA1324L",0.113
"PPIAP10",0
"OR11H3P",0
"IGF2-AS",0.0057
"FXYD6P1",0.1149
"HNRNPUL2-BSCL2",1.0233
"GBGT1",3.8681
"NCOA4P2",0
"PIP5KL1",0.2696
"MIR345",0
"ADAM30",0
"RNU6-538P",0
"RNU6-580P",0
"DNAH8",0.0152
"MOB4",3.7473
"ACTG1P10",0.1968
"RNU6-1178P",0
"PRMT6",13.3468
"TK1",72.1687
"LZTR1",12.0355
"SLC4A11",0.297
"LACTB",4.7704
"P2RX5",0.1055
"USP9YP11",0
"LINC02479",0
"BRDT",0.0265
"PAWRP1",0.029
"FLT1",2.9452
"ENY2",8.0665
"RNY1P6",0
"TM4SF5",0.0351
"IMPG1",0.0345
"ELOCP28",0
"SCML2P1",0
"LAMB4",0.0467
"RPL7P58",0.0648
"MRPS16",39.4707
"MIR4744",0
"CXCL3",0.2435
"DAB2IP",18.4687
"DCAF4L1",1.3556
"NUDT4",2.6211
"SEPTIN7",16.6822
"IRS2",0.8613
"H3C7",0.4383
"MIR5689HG",0.019
"LMO4",19.774
"RPS18P6",0.5364
"PHBP9",0.1985
"ASIC4-AS1",0
"JKAMP",9.3103
"SLC2A3P2",0.1107
"OR9H1P",0
"SNORD22",0
