"","x"
"POLR1A",1.9836
"FOSB",0.1453
"PRMT7",6.3262
"ILF2P1",0.3455
"RNU6-531P",0
"CCDC171",0.1865
"ZNF710-AS1",1.1124
"LCN12",0.0651
"TKFC",4.5862
"RNU4-92P",0
"MTCO1P46",0
"CXCL17",0
"FBXO42",4.6714
"TMEM106C",24.6819
"MAML1",3.1057
"TMEM74B",0.7304
"RNF152",0.1932
"DBT",1.5254
"LMBRD2",0.6142
"ALG3",30.5003
"PIK3AP1",1.1603
"SNORD11B",1.6304
"CACNA2D1-AS1",0
"MIR4436B1",0
"HSD3BP4",0.0328
"ENY2",11.5794
"SYNJ2BP",3.5845
"ZNF468",0.7989
"GLI3",1.5367
"APP",86.0554
"CTAG1B",3.0358
"MDH1",27.6278
"RNU6-5P",0.6857
"ELOCP32",0
"IRS4",0
"SLC46A2",0.0147
"SYT1",0.3107
"ZNF860",0.0112
"RNU6-311P",0
"SNORD91A",0.1921
"RNF128",0.1283
"NIP7P3",0
"FREM2",0.1334
"SNRPN",23.4262
"MTND4LP9",0.2108
"SLCO4A1",1.141
"LYPD1",1.0038
"OR2T2",0
"NOL4",0.1742
"COL4A4",0.0667
"CPM",0.8423
"C1QTNF3-AMACR",0
"PSME3IP1",13.798
"SYP",0.2743
"GNAL",0.2302
"MTND2P5",0
"RN7SL343P",0
"SEC24C",1.0716
"YPEL5P3",0
"CDR2",6.4208
"C1orf158",0.0802
"RPS25",433.9868
"SKAP1",0.2355
"RN7SL322P",0
"RAD1",2.9441
"RFXANK",33.4753
"TMEM217",0.2413
"PPIB",398.084
"LINC01867",0
"USP9YP33",0
"PRAMEF28P",0
"RNU6-836P",0
"EGFLAM-AS2",0
"CXorf49B",0
"YWHAZP8",0.0502
"IGHD3-10",0
"LINC02304",0
"UPK2",0.3317
"PRAMEF12",0
"VKORC1L1",5.5659
"F11R",1.7162
"PGM5",0.0346
"BRCC3",4.2426
"CAPRIN1",15.0529
"MT1F",63.6794
"PRDM15",0.5134
"ARHGDIB",64.9232
"NTN1",0.2184
"RNU6-1121P",0
"LINC00385",0
"FASTKD3",1.9903
"TIMM8B",136.5465
"PIK3R1",3.523
"PAICSP2",0
"RNA5SP425",0
"MRPS21P6",0.9839
"TMEM9B-AS1",1.1365
"LINC00278",0.0473
"RNA5SP494",0
"OR11A1",0
"EPCAM-DT",0.031
"SRGAP3-AS2",0
"RNU6-440P",0
"MTCYBP34",0
"VPS16",15.7907
"PRR13P4",0.4357
"TRIM31",0.0208
"FRG1",10.8744
"OR10J2P",0
"SRMP2",0
"VWCE",0.1054
"LINC01562",0
"LETM1P2",0.2021
"MIR1271",0
"RPSA",303.6678
"CEP41",1.267
"IGHD1OR15-1B",0
"FGD3",6.0913
"RNA5SP120",0
"RN7SL418P",0
"MIR1253",0
"HCG27",0.7636
"RPS29P9",0
"C14orf119",13.3926
"MTCO3P19",0
"DYRK3",1.9308
"CDC5L",8.2817
"NKX2-3",0
"TEX22",0.2586
"RNU6-247P",0
"ITCH-IT1",0.5291
"TUBB4BP6",0
"KARS1P3",0.0976
"MIR4774",0
"MIR3691",0
"GREM2",0.3079
"INTS6-AS1",0.2231
"FAM217B",3.9077
"ARL10",2.1674
"ATP6V0D2",8.1414
"DYNLT1",48.2541
"GEMIN2",2.4341
"PPIAP8",0.5965
"MTRNR2L5",0.0496
"MYH6",0.0056
"LINC00345",0
"ZNF202",2.2432
"OR5AS1",0
"RNA5SP327",0
"RN7SKP159",0
"RNA5SP315",0
"RNA5SP240",0
"GEMIN8P4",0.4026
"METTL16",2.5212
"LINC01101",0
"RNA5SP141",2.4457
"IGHV3-32",0
"ZMYND8",7.8807
"PER2",1.1949
"RASAL1",0.0381
"SNORA15B-1",0
"PKN2-AS1",0.0817
"RPS16P8",0.0851
"ALDH1A3",2.5741
"LRRC52",0
"CES5A",0
"OR6M3P",0
"DPPA2P3",0
"NARS1",17.8267
"PCSK7",0.6481
"IGHV4OR15-8",0
"RPL10A",502.8618
"CAMK2B",0.0495
"CPEB3",0.1527
"OR52K3P",0
"PPIE",16.6358
"TTLL6",0.0432
"CDC20P1",2.7636
"RBBP4P1",1.725
"VN1R4",0
"LINC02657",0.1053
"HLA-H",14.0582
"TXNRD1",9.401
"WWOX",2.3426
"MPC1L",0
"NOL10",14.2174
"SNORD115-24",0
"RNU6-57P",0
"IGLV2-14",0
"MIR559",0
"IPP",3.9705
"SDAD1P2",0.0904
"RNU6-1040P",0
"LINC02014",0.0515
"DPP6",0
"EXOC8",0.3453
"PCAT7",0
"FAM83F",0.0381
"YJEFN3",1.6117
"RNU6-1126P",0
"H2BP3",0.2896
"DHX35",3.862
"RNU6-709P",0
"KCNMB1",0.3862
"TEX13A",0
"HSPD1",107.2466
"ENO1P2",0
"AMY1C",0
"SHROOM1",5.0463
"LINC00892",0
"TUBB8P7",0.0149
"REM2",0.0477
"C9orf64",5.6997
"NT5C3AP1",0.0662
"ZMYM2",1.786
"RNU6-1225P",0
"GDF15",2.9531
"RNA5SP383",0
"PUDP",2.5476
"NUDT19P5",0.0645
"C20orf181",0
"IGHVIII-13-1",0
"LINC02654",0
"NOP53",29.4181
"MTCP1",0.3803
"MIR3613",0
"RIOX2",2.1648
"MIR4330",0
"DIRC1",0
"ELOCP5",0
"NACAP7",0.0602
"CCND1",5.6661
"KRT85",0
"EPB41L2",7.665
"RN7SL415P",0
"RNU5E-7P",0
"SNORD115-17",0
"HMGXB3",13.2144
"ZBTB26",1.2873
"RCN1",21.5795
"LINC00867",0.0378
"RPL27AP5",6.2912
"MIR6130",0
"GRIA2",0.0041
"RPL22L1",6.1194
"PKD1P6",0.8478
"RNA5SP84",0
"NLGN3",0.1099
"CRYBB3",0
"MIR26A1",0
"DNAJA3",8.8613
"PPM1L",0.3448
"LINC02468",0
"RNA5SP109",0
"DERL3",2.0585
"RNU6-1257P",0
"EIF3C",2.3854
"RPS24P17",1.0407
"KPNA4",4.9417
"E2F3-IT1",0
"ABAT",0.064
"MTATP8P1",12.4056
"TRAJ55",0
"MRNIP",1.8869
"RN7SL598P",0
"HMGN2P16",0
"FCRL5",0.0118
"TCF7L1-IT1",0
"HTR2A",0.3588
"BNIP3P39",0
"KLF8P1",0
"ZNF157",0.0633
"NPM3",102.6234
"TESC",0.3429
"ABCF2P1",0.1572
"MTCO2P8",0
"PAQR6",1.3086
"TRMT10A",1.1393
"DDN",0.5284
"SNORD57",0
"SPATA31A7",0
"LINC02309",0
"EEF1A1P26",0.0269
"GJB7",0
"MSMO1",4.871
"NDUFA5P11",1.0695
"GCNT1P3",0
"RNU6-1326P",0
"ACTA2-AS1",0.219
"RNU7-45P",0
"SLC25A41",0.2225
"RNF19BPY",0
"HSPA8P16",0.0197
"ANKRD61",0.1751
"CCL4L2",1.7332
"OR2J2",0.1154
"SEPTIN6",3.1193
"ST3GAL5",1.4412
"RNU6-87P",0
"LEAP2",0.2441
"MIR2117HG",0
"IFNL2",0
"IGLV3-10",0
"FZD5",2.4993
"RNU6-207P",0
"LETM2",0.558
"DCTN1-AS1",0
"ACADSB",0.868
"FCRLB",0.4104
"CASP4",7.1135
"SCGB2A2",0
"RNU6-986P",0
"VIM-AS1",0.3867
"LINC02218",0
"OSBPL9",3.2821
"NF1P4",0
"C12orf29",2.609
"BICC1",1.7256
"CERNA3",0.1317
"RBAK",0.7801
"MRPL57P6",0
"MTCO3P9",0.047
"POU5F1P5",0
"PRELID3A",3.5394
"KRT78",0.1013
"ADAMTS3",0.6072
"LINC02762",5.1248
"MIR302E",0
"RNA5SP305",0
"GRXCR2",0
"TTC39DP",0
"IGHVII-28-1",0
"LINC02488",0
"RNY4P27",0
"KLHL2",1.7907
"SH3PXD2B",15.9166
"GZMM",3.6491
"IPO8",3.7872
"ZBTB34",1.3217
"FOXG1",0
"MIR23A",0
"HNRNPDP1",0.5838
"COX6CP8",0
"RBMY2XP",0
"FRG1JP",2.2066
"FBXO8",4.6738
"TTF1",4.3132
"ARLNC1",0.0145
"LINC00326",0
"LCN9",0
"OFD1P1Y",0
"PAK4",7.435
"OSTM1",5.8007
"CYP46A1",0.2354
"RPL39P18",0.4734
"KRT18P42",0
"MUC22",0.0366
"SNX18P3",0
"RN7SKP296",0
"LINC2194",0
"MRPS9",18.0839
"TMEM161A",26.9352
"SNORD68",0
"MIR3134",0
"MAPRE1P3",0
"OR2W1",0.0714
"OR9L1P",0
"GUSBP11",0.0728
"RAB11FIP2",0.6125
"SNORD114-17",0
"LRP1-AS",0.7095
"RNU6-453P",0
"PRCP",10.434
"RPL22P5",0
"LRRC20",2.4086
"PPP1R35",49.511
"DDX39BP1",0
"GATAD2B",3.5419
"SNORD115-45",0
"RNU6-509P",0
"TRPC5OS",0
"RN7SKP165",0
"OR6V1",0
"NBPF13P",0.0193
"AP2B1",14.8636
"MIR1200",0
"DNAH12",0.0028
"TPT1P12",1.7895
"ITIH5",0.0476
"RN7SL241P",0
"SUCLA2-AS1",0.7975
"SCARNA3",0
"PPP2R2C",0.012
"SETP20",0.1722
"FBXL22",0.2842
"SNORD115-15",0
"CFTR-AS1",0
"ORC3",5.6982
"B3GNT9",12.5512
"TRMT10BP1",0
"GOLGA8Q",0
"TUBBP9",0.3338
"CMC2",3.9552
"LINC01567",0
"MAN1A1",1.9389
"ZNF479",0
"MIR580",0
"ABHD14B",19.0795
"ERLNC1",0
"MYO16-AS2",0
"TMEM68",1.566
"RNU6-403P",0
"RNA5SP133",0
"MIR551B",0
"HELB",0.5425
"BNIP3P31",0
"NSG1",0.0084
"TSPAN11",10.5573
"RN7SL192P",0.6135
"CCT6B",0.1354
"USP9YP11",0
"PPM1J",0.3702
"LINC02744",0
"TRAJ11",0
"SLC25A15P2",0
"SORBS1",0.0407
"RNU6-424P",0
"MTND4LP20",0
"NEUROD6",0
"LINC00092",0.1273
"MTR",0.9128
"STMN1P2",0.0836
"PWAR5",0.1038
"ZNF777",7.2394
"MBOAT2",2.7562
"IGHVII-44-2",0
"LINC02139",0.7319
"TMCC1",1.3465
"LINC00861",0
"LCNL1",0.1811
"OR8H3",0
"HNRNPMP1",0
"RN7SKP114",0.1315
"SLC35F1",0.0076
"SLC25A13",4.0739
"UBTFL10",0
"ATP6V1G1P4",0
"KRTAP9-12P",0
"NDUFA5P7",0
"DPP7",55.3398
"CCM2L",0.3545
"CPLANE2",4.1315
"RAD51AP1P1",0
"CTNNA2",0.1266
"RUFY4",16.587
"CFAP410",3.0374
"CDC40",1.2833
"RNU6-649P",0
"USP9YP12",0
"PPP1R26P5",0.01
"DDX3X",8.1747
"CEP63",1.6138
"B3GALT1-AS1",0
"PPIAP84",0.0761
"PABPC4-AS1",0
"MAGOHB",8.3554
"PCDHGA1",0.7804
"GBX2",0.0158
"ZBTB20-AS2",0
"RPL29P33",6.269
"ATP4A",0.0094
"AKR1A1",71.2074
"WDR88",0.2192
"RNU6-1306P",0
"ATP5PBP7",0.1931
"SPINK9",0.0872
"NDUFA5P3",0
"MIR6165",0
"PLA2G2D",0
"UGT1A11P",0
"ZNF292",0.7349
"SSR4P1",0.9185
"CT47A1",0
"DSCR4-IT1",0.3461
"RN7SL288P",0
"IMPG2",0.0088
"TRUB1",1.7115
"RPL21P4",0.5361
"LINC02734",0
