Distribution_1,Distribution_2,Distribution_3
22.47989869,0.393092057,2.658857093
34.7338792,1.858737964,12.3512454
69.49576977,1.030992274,1.899996178
38.28548134,3.33892393,1.023043682
53.16238021,3.011437556,2.31298031
85.52640655,-1.701949587,1.434608148
7.948635617,-0.200090201,2.2775305
57.14596889,0.914992703,4.891540264
75.96968571,1.558318265,0.075576123
27.30094411,-2.240108211,0.84017885
57.87235016,-2.22885398,2.031157423
97.66939862,-0.383655183,2.001253706
7.367495444,1.396748133,1.289703986
23.27484926,2.871060112,2.920328333
80.01940269,-0.628081044,4.703072405
28.66189517,0.646726946,2.215899078
29.94926278,2.292215494,0.309998766
12.99880694,1.15282446,4.539521042
27.07248833,1.496099929,4.408322591
34.76304464,4.396575731,1.989953851
14.98379062,0.359511123,1.661669926
24.70191754,1.587399131,2.252681171
70.74587253,0.928444553,2.332107668
81.70243211,-3.269209918,1.23154303
70.25202894,3.033057767,1.147937054
45.99042143,-0.993534527,0.963453597
36.25826701,-0.34537155,3.537177123
30.65173236,-2.949916916,0.065581478
8.205392543,2.34427897,0.743139737
96.19351669,-1.566481763,0.098083633
45.63921916,0.909147441,1.668462898
50.55326474,-0.983310586,0.369887423
94.78338073,2.511759073,3.355708798
96.86044445,1.787661057,1.204503047
64.07589669,0.723951293,0.540383204
47.48118505,3.074500602,0.97280237
58.49203414,-1.170233314,0.777154979
94.11050621,0.85063557,1.429384526
99.80286369,-1.877500386,0.383478771
88.52201204,3.919884758,2.170750623
30.27877919,-0.396508461,4.236968132
51.83500278,0.151443963,2.078107191
59.6447079,0.172894891,5.595843935
12.98867706,-0.405752718,0.700696905
41.5340327,2.850342193,1.290154781
11.26942909,2.332468156,3.042549979
28.14602528,2.500035516,0.058878905
50.29273851,1.800996898,2.181030166
85.02977008,-0.225272041,1.471887586
71.7605015,-0.935898505,0.454044447
93.28939115,-0.494727136,1.874738088
54.43138086,1.449461503,0.348610465
97.60522539,-0.947763234,1.716593854
81.78800724,-0.010510613,4.014533191
58.93927862,1.897220904,1.144647338
12.47100026,2.952481446,6.100278843
39.65815787,2.845656497,3.450186956
40.0246351,-0.266679657,1.544781415
30.08711481,1.810502359,0.623681157
77.30636672,1.202258557,0.145428133
24.31757256,6.441223677,0.269583142
33.04458366,2.422439385,2.697484811
15.81990502,0.602154877,0.445858762
22.30736414,3.614298622,2.144466899
68.40629278,-0.016617677,0.742807541
79.51249417,-0.508589022,0.491316319
61.6843736,-0.872438604,0.391219963
90.73333107,1.353659411,0.886706919
95.09438655,3.583502341,0.991121919
86.74834881,1.30684822,2.415903355
2.883961081,6.0683551,2.487949459
34.27556595,2.652479593,1.734773228
65.96813059,4.61541483,1.298860332
85.92345361,1.091350941,3.441175858
48.72215793,1.215155345,0.066021392
5.3929336,0.94283227,1.745138085
29.68413783,0.156522036,1.033108217
53.88066129,2.036883382,2.501509201
92.69537269,2.527002955,2.556188953
27.56952273,-0.550726872,1.410209089
93.62736454,0.504952555,1.465991785
64.61245051,0.17990379,2.192030597
60.73292687,1.821762357,0.516077428
33.24828771,-0.887854827,2.023549055
29.31854888,-0.646109973,0.178606225
37.20140273,1.129693743,1.662818406
66.08251559,3.223173087,2.646289437
74.50567425,-1.560890323,0.120342828
19.89590452,0.138857072,4.707221786
74.31761369,1.351380154,1.453583656
84.08134559,-0.546572427,4.022402477
92.19088845,-1.675242849,2.915644049
65.8151999,-3.731040971,1.034153802
20.02496848,2.498375614,1.492497409
44.51972177,0.194232579,3.309028159
92.72849832,1.510641245,0.993350226
83.8721763,0.942936187,2.794584604
91.27693858,1.221250982,0.421773762
49.01643191,1.566727183,1.94437842
8.694048748,4.704399876,0.574863212
24.06542989,3.267964136,2.433300024
67.8395539,2.142121844,0.549952838
57.63049863,0.447251658,0.905299394
67.63427586,2.538968332,0.482033156
25.85248024,-0.340183872,0.696335097
36.35469541,-1.197983319,0.720342427
77.47177468,4.412572601,0.794134712
3.628153415,1.244024154,0.803163447
37.34210643,1.017358423,1.083257094
58.41676264,1.887325483,3.293296713
42.51506904,-1.914632065,0.681549397
23.19533256,0.837000516,1.049498443
4.778654306,1.916137339,1.634928544
65.76147084,1.760480973,2.894102613
65.50664825,2.039319671,2.602971664
97.83203996,2.797460421,0.596109209
84.89288604,0.556288817,1.65402188
15.47461217,2.134771942,0.58064052
62.7470165,2.322419983,0.168440854
80.7039001,0.430094237,1.844963872
15.57911181,-0.405322757,0.556820537
63.68476741,1.732488092,0.035892878
53.62041086,4.168311596,6.23181158
41.0126905,2.022857057,7.85997177
13.94304855,4.6398055,1.241305066
29.62022672,-1.137147397,0.471792768
32.03123987,-0.764516084,4.057352273
93.54009062,2.124818156,2.37040359
21.98193416,0.602775144,0.296595076
66.3787154,0.819256706,0.068832336
62.77229658,-0.378860594,7.456832492
42.95990042,0.903419214,1.220409113
93.87830185,0.507050876,0.603987473
43.03745148,4.48994447,8.626887051
60.52416129,1.075632667,9.684534281
89.57763815,1.28119628,0.173519649
89.81828353,-2.085283784,0.176324382
73.79992069,0.295674943,0.242551557
59.88869639,4.201373292,0.003169802
74.2890991,1.535327424,1.057996341
4.693803435,1.177421398,6.797335878
67.19686944,0.890388233,1.829393877
57.90529377,-0.91684766,2.798962358
5.7110051,3.579815852,0.830915686
35.54362915,3.123859415,1.163410358
17.61787215,0.892782768,0.871616165
33.25864211,-0.303653386,5.263663878
36.2544193,0.733031068,0.195634987
38.14197734,-0.271614204,0.015575674
4.15193603,1.888755882,5.491806454
75.20082464,-0.048866749,1.205730415
80.95597276,1.651466323,5.267577102
81.21786768,2.849932778,1.893960777
21.11426053,-2.002218682,6.12069259
68.22300611,5.449733856,0.91012358
91.48371031,3.396877462,2.766104653
2.042038245,0.351332467,1.216284463
85.99201404,6.470415007,0.423468622
81.65291002,2.189435296,2.665738821
12.92051493,3.161091714,0.796823175
62.86452491,-0.012667437,6.539756526
96.37877855,0.492100639,2.619586425
42.18960272,2.80505136,0.755700738
86.84280569,1.306030961,0.115178397
49.45194543,4.322789023,0.377225454
91.31312439,1.487046688,0.465853396
29.12951144,-0.773993485,1.347695804
61.76597811,5.416447902,0.960725007
23.77041001,-4.080682442,2.272387374
46.56083596,0.600296178,3.099126274
36.70656513,0.453763482,0.447952275
28.89059144,-1.010070217,0.354517474
61.50168333,3.978444801,0.131428758
70.71898971,-0.094931262,2.865513363
35.16835719,2.600848626,0.966067669
89.47722123,3.935766074,1.370387137
46.81278907,-0.172444434,2.618203687
49.86802912,1.389615737,0.59927359
94.54462813,-1.552385682,0.668048838
37.78922222,2.76500281,0.919482886
84.68368988,0.106141166,3.860796355
74.97205589,-1.936304591,10.0331066
27.84870056,-0.700361576,0.071248523
21.47919714,4.327110659,2.030889429
65.22608522,-1.426554163,0.048248542
88.06802777,-1.23397835,2.402808921
22.25391637,5.009945256,1.13671351
66.97477307,-0.023834215,2.412696421
70.06542985,-0.976680964,3.385130547
71.5834637,-5.475285962,0.698852485
97.32509287,3.073264565,0.401368839
45.55998969,0.750962769,1.044803206
36.14493504,2.525748707,0.521523015
55.62553962,-0.501086919,0.315956348
66.39896542,0.915767503,0.301123564
54.47629237,3.814658672,1.495234107
92.47472318,-0.829649512,1.69153652
73.0739652,-1.818861907,2.49495791
99.95515808,1.241071011,1.215161675
4.698145033,1.506593482,1.411715984
43.42605899,1.087239157,0.400810921
56.21021355,-3.414615908,2.742626254
60.72355209,5.05155759,0.418252283
20.91870238,1.1423828,1.141075071
15.098371,5.089875438,0.308442687
75.05925209,3.044286334,1.019984125
13.49912988,3.017286013,3.272620254
73.33740055,1.312246303,1.5953958
97.20493745,-0.592037095,0.843382266
22.73998505,4.807007071,1.947600535
81.14424485,2.098455192,1.380251427
55.82137417,0.519842229,0.854636758
45.96758774,-2.685337547,7.9248803
30.03042572,2.473367407,0.627197068
9.944412633,1.946019491,0.022586974
25.97121547,4.411972674,1.87512736
24.56693822,0.428992273,3.495807499
87.27331122,0.360094134,0.488485265
82.40885428,1.028792271,2.001175674
45.0328503,3.293734403,2.621515986
5.476197193,1.879723241,2.67684708
23.88927016,-0.44281883,2.457575649
24.81464971,5.997030417,1.45180792
74.30131266,-1.602856525,0.288181036
48.693907,2.491220257,1.410914123
8.212064451,0.551024221,1.224581032
33.57165378,-0.969583787,1.176371509
54.72633104,3.636727302,0.080956203
1.30102861,4.718895275,0.064560915
30.56156434,-1.013402747,0.552744737
25.37344313,-0.060343473,1.010212639
15.10984729,2.38436595,3.847730337
4.235931066,1.232524845,0.425007878
89.05256098,0.955164274,6.731804787
10.88204328,-0.120508783,0.536391239
55.87197054,3.623305134,0.137704394
81.92925934,2.332212294,0.792669086
96.20767325,0.647281677,0.815257632
45.52493468,-0.46158889,0.237858221
68.43348301,-2.271684564,1.969403797
85.68886219,3.533750944,0.587381295
98.35675115,3.518424438,1.114618868
34.89688796,0.009570663,0.90079519
49.9690209,-3.355183018,2.90293839
20.37064774,-0.377722005,1.869330924
22.93938374,1.221546825,1.508620445
49.62563883,2.345748381,0.08295762
12.68700692,0.442655662,0.188609238
95.68883186,0.559295902,0.885917563
31.12592915,2.342822949,1.476537198
60.69420413,-1.32803413,4.720652983
44.47972021,0.094426147,0.926110631
21.47296559,1.662085061,1.805816964
77.38825888,-3.188194326,1.554275336
46.36202604,2.221315084,3.773510584
36.81890617,1.62336958,1.582672435
6.745733835,-0.433090863,4.823624322
100.433874,-0.125191545,2.830554164
28.42278066,0.181532834,1.815107119
84.25106084,2.158766197,0.416207898
77.83432139,1.128636018,1.740091555
17.60144397,2.394227908,0.278502727
15.3876114,1.444129431,0.394593432
78.71980393,1.884256136,0.158370485
40.1953065,5.779892427,2.928098911
14.94148999,2.448538606,0.247326073
80.63714286,-0.715193912,2.021111126
30.05112811,-1.449968003,2.186711491
36.97110561,4.268350238,2.336705805
79.52742188,-1.321389336,0.247524438
51.81833022,1.394240782,1.282285694
70.74503409,1.327494518,2.448906611
97.1294834,0.320053628,1.815266011
53.54933416,0.213529078,0.612945405
51.23675146,1.639785178,2.913614897
39.45200553,3.004246987,0.14629344
72.55954512,4.102076013,0.216320134
46.24741249,5.668957057,1.807248559
13.52734356,0.046392462,6.541757795
