Variable,pvalue,coef,fdr,survival_effect
GABRA3,0.00013059279773167852,-0.28006566180719866,0.01865611396166836,Positive correlated with survival
TDO2,0.001015784691761234,-0.2954565726815538,0.04837069960767781,Positive correlated with survival
TAC4,5.711874394077348e-06,0.36093997552864154,0.003595226970883627,Negative correlated with survival
MKRN3,9.74777706651989e-05,-0.32090275342530405,0.016246295110866484,Positive correlated with survival
PCDHB6,0.00017610338358723084,-0.351970333481013,0.01956704262080343,Positive correlated with survival
CGREF1,6.42036196338374e-05,0.5220123501584295,0.012840723926767479,Negative correlated with survival
GJA5,4.7441848304597705e-05,-0.3756913344668063,0.011860462076149426,Positive correlated with survival
ELFN1-AS1,1.202915377543906e-05,0.47088571789852013,0.004009717925146353,Negative correlated with survival
CORT,0.00016042508097482503,0.4367984294651387,0.01956704262080343,Negative correlated with survival
CCL2,0.0006190564907727077,-0.39513171761548893,0.04127043271818052,Positive correlated with survival
KIF25,0.0005123168695728193,0.4894702990770412,0.036594062112344235,Negative correlated with survival
ACTA2,7.190453941767254e-06,-0.477902354250981,0.003595226970883627,Positive correlated with survival
