Variable,pvalue,coef,fdr
PRAME,0.03732039253832801,-0.09252474311268624,0.390037314895031
SOST,0.006559524602076299,0.13392567134715927,0.23426873578843926
KERA,0.014216334664858785,-0.13289223976047274,0.3113232013368736
MFAP4,0.04527558291831602,-0.10648561460219379,0.39380019165399843
PAGE5,0.018973945131373605,-0.1328761993120386,0.33287623037497555
SSX1,0.0013723642102462176,-0.17890973225623463,0.2287273683743696
EPYC,0.005448554842840106,-0.172298695270563,0.23426873578843926
IGKC,0.04136888682664378,-0.12233395627500476,0.390037314895031
IFITM5,0.024132810620791572,0.18625777418087683,0.337787098001619
MAGEA3,0.0008151537518845263,-0.17857149211876552,0.20378843797113158
MAGEA6,0.005881798863967377,-0.14552290145469823,0.23426873578843926
CA3,0.0224150562366282,0.15704848130877141,0.33455307815862984
IGHA1,0.019555897619316965,-0.1433000698128762,0.33455307815862984
PTPRZ1,0.032215533532616775,0.13581210270322802,0.379006276854315
KCNIP4-IT1,0.012869412155696524,0.1552446497862574,0.3098907479101401
PANX3,0.021947211829136556,0.17350615285928414,0.33455307815862984
MB,0.005078491916645523,0.12591447703432032,0.23426873578843926
MYO3A,0.0420820612334647,0.1304803821003606,0.390037314895031
MAGEA12,0.0022510553043802593,-0.2061227743736818,0.23426873578843926
MAGEC2,0.017456923651178263,-0.1533583420570447,0.3139573850876224
CTAG2,0.009429428217147352,-0.19342345682126022,0.26941223477563864
CSAG1,0.007106770233617454,-0.16987674922073495,0.24506104253853286
COCH,0.0162502947265136,0.151202134753561,0.3125056678175693
IGHG3,0.04291983891791868,-0.12841198793876005,0.390037314895031
LINC00837,0.0026867557691964703,0.17639770453132478,0.23426873578843926
LMO3,0.028192414113714225,-0.12807269956173886,0.3537457982530416
TMEM132E,0.039681869876816274,0.12623701018280106,0.390037314895031
MAGEA10,0.0007478580864850908,-0.2365462708150001,0.20378843797113158
MAGEA11,0.004133913458690351,-0.17618071961324283,0.23426873578843926
MUC15,0.006337877047663103,-0.18300901449570398,0.23426873578843926
IGLC2,0.030869471138930422,-0.15948959819687386,0.36749370403488596
GABRA3,0.00013059279773167852,-0.28006566180719866,0.13059279773167853
C10orf71,0.0036840042767987092,0.19438934696986085,0.23426873578843926
SLC13A5,0.04897612599341279,0.13493885147795273,0.4185993674650666
COL11A2,0.0031635134542637292,0.24684523546421588,0.23426873578843926
IGHG2,0.017480585045348093,-0.17980530182883422,0.3139573850876224
COL22A1,0.007969795014308338,0.19798608946359417,0.2570901617518819
GLB1L2,0.004858875825936105,0.18002957037015432,0.23426873578843926
TERT,0.002994119781465706,0.2320776704536374,0.23426873578843926
PAGE2,0.01173365707830102,-0.2108948914942842,0.3008630020077185
ALX1,0.036373890175696255,-0.1420499031319215,0.390037314895031
LINC02141,0.02132870790676922,0.16357585248445003,0.33455307815862984
IGHM,0.03382397461260484,-0.16810269776263145,0.38004465856859376
C1QTNF7,0.03502658200766539,-0.1439425392024571,0.3891842445296155
AIM2,0.026136474954326566,-0.14004053437229336,0.3468157796062979
CADM2,0.038041494240464005,-0.1388730451231807,0.390037314895031
KCNC2,0.021263376764695332,0.16414093608080949,0.33455307815862984
NPW,0.03833232491561382,0.13939956910200366,0.390037314895031
IHH,0.0053571872159528106,0.18575395798485253,0.23426873578843926
SLC6A5,0.02635799925007864,0.19268024043536,0.3468157796062979
FRMD1,0.006174592457184094,0.1839660861286393,0.23426873578843926
COL25A1,0.03718172728472519,-0.15401196430524,0.390037314895031
SLC8A3,0.021373969418119136,0.1997850944877403,0.33455307815862984
MUC2,0.02055969493425253,0.1486080766393965,0.33455307815862984
RSPO3,0.02160222581211688,-0.15725488119673836,0.33455307815862984
LINC01549,0.008865681019234848,0.24640935964652994,0.26941223477563864
GPAT2,0.04953445954286889,-0.14906671080694034,0.41978355544804147
NOTUM,0.022835336316166424,0.18918687745214607,0.3358137693553886
ZIC1,0.014490319276001837,-0.13051521370994268,0.3113232013368736
DSCR8,0.011038433575757888,-0.18859788071284284,0.2962665244025819
SLC38A4,0.005139548513356499,-0.19936506532827536,0.23426873578843926
RORB,0.009073816004133452,-0.19864252363820026,0.26941223477563864
SNAP25,0.022366688684986025,-0.15689715713365404,0.33455307815862984
